valid_time,latitude,longitude,d2m,number
2024-12-01,-6.3,106.7,296.9161,0
2024-12-01,-6.3,106.95,297.14844,0
2024-12-02,-6.3,106.7,297.00403,0
2024-12-02,-6.3,106.95,297.10635,0
2024-12-03,-6.3,106.7,296.4054,0
2024-12-03,-6.3,106.95,296.56384,0
2024-12-04,-6.3,106.7,296.34268,0
2024-12-04,-6.3,106.95,296.38538,0
2024-12-05,-6.3,106.7,297.10977,0
2024-12-05,-6.3,106.95,297.13983,0
2024-12-06,-6.3,106.7,296.83005,0
2024-12-06,-6.3,106.95,296.83478,0
2024-12-07,-6.3,106.7,297.3824,0
2024-12-07,-6.3,106.95,297.42535,0
2024-12-08,-6.3,106.7,298.00702,0
2024-12-08,-6.3,106.95,297.90106,0
2024-12-09,-6.3,106.7,297.50275,0
2024-12-09,-6.3,106.95,297.421,0
2024-12-10,-6.3,106.7,297.00815,0
2024-12-10,-6.3,106.95,296.97894,0
2024-12-11,-6.3,106.7,296.6764,0
2024-12-11,-6.3,106.95,296.5622,0
2024-12-12,-6.3,106.7,295.71237,0
2024-12-12,-6.3,106.95,295.59134,0
2024-12-13,-6.3,106.7,295.98724,0
2024-12-13,-6.3,106.95,295.95404,0
2024-12-14,-6.3,106.7,296.55234,0
2024-12-14,-6.3,106.95,296.45026,0
2024-12-15,-6.3,106.7,296.66885,0
2024-12-15,-6.3,106.95,296.64325,0
2024-12-16,-6.3,106.7,297.11658,0
2024-12-16,-6.3,106.95,297.03723,0
2024-12-17,-6.3,106.7,296.97983,0
2024-12-17,-6.3,106.95,296.998,0
2024-12-18,-6.3,106.7,296.43835,0
2024-12-18,-6.3,106.95,296.36307,0
2024-12-19,-6.3,106.7,296.95386,0
2024-12-19,-6.3,106.95,296.82703,0
2024-12-20,-6.3,106.7,297.14145,0
2024-12-20,-6.3,106.95,296.90125,0
2024-12-21,-6.3,106.7,296.9794,0
2024-12-21,-6.3,106.95,296.90912,0
2024-12-22,-6.3,106.7,297.64328,0
2024-12-22,-6.3,106.95,297.51953,0
2024-12-23,-6.3,106.7,297.75577,0
2024-12-23,-6.3,106.95,297.75375,0
2024-12-24,-6.3,106.7,297.15976,0
2024-12-24,-6.3,106.95,297.26172,0
2024-12-25,-6.3,106.7,296.97803,0
2024-12-25,-6.3,106.95,296.89645,0
2024-12-26,-6.3,106.7,297.0521,0
2024-12-26,-6.3,106.95,296.94485,0
2024-12-27,-6.3,106.7,296.7184,0
2024-12-27,-6.3,106.95,296.80563,0
2024-12-28,-6.3,106.7,296.06134,0
2024-12-28,-6.3,106.95,296.23236,0
2024-12-29,-6.3,106.7,296.986,0
2024-12-29,-6.3,106.95,297.09,0
2024-12-30,-6.3,106.7,296.93088,0
2024-12-30,-6.3,106.95,296.72784,0
2024-12-31,-6.3,106.7,296.4964,0
2024-12-31,-6.3,106.95,296.36734,0
