valid_time,latitude,longitude,t2m,number
2024-12-01,-6.3,106.7,301.41162,0
2024-12-01,-6.3,106.95,301.30835,0
2024-12-02,-6.3,106.7,300.13947,0
2024-12-02,-6.3,106.95,300.14587,0
2024-12-03,-6.3,106.7,298.90076,0
2024-12-03,-6.3,106.95,298.88123,0
2024-12-04,-6.3,106.7,298.63422,0
2024-12-04,-6.3,106.95,298.55093,0
2024-12-05,-6.3,106.7,299.54846,0
2024-12-05,-6.3,106.95,299.4593,0
2024-12-06,-6.3,106.7,299.3647,0
2024-12-06,-6.3,106.95,299.27704,0
2024-12-07,-6.3,106.7,300.08795,0
2024-12-07,-6.3,106.95,300.08395,0
2024-12-08,-6.3,106.7,300.64883,0
2024-12-08,-6.3,106.95,300.72244,0
2024-12-09,-6.3,106.7,299.3497,0
2024-12-09,-6.3,106.95,299.24762,0
2024-12-10,-6.3,106.7,299.92227,0
2024-12-10,-6.3,106.95,300.14783,0
2024-12-11,-6.3,106.7,301.3596,0
2024-12-11,-6.3,106.95,301.257,0
2024-12-12,-6.3,106.7,301.4622,0
2024-12-12,-6.3,106.95,301.6161,0
2024-12-13,-6.3,106.7,301.57724,0
2024-12-13,-6.3,106.95,301.47403,0
2024-12-14,-6.3,106.7,300.4354,0
2024-12-14,-6.3,106.95,300.26205,0
2024-12-15,-6.3,106.7,299.51984,0
2024-12-15,-6.3,106.95,299.42834,0
2024-12-16,-6.3,106.7,299.964,0
2024-12-16,-6.3,106.95,300.08246,0
2024-12-17,-6.3,106.7,300.27286,0
2024-12-17,-6.3,106.95,300.06918,0
2024-12-18,-6.3,106.7,299.9317,0
2024-12-18,-6.3,106.95,299.94446,0
2024-12-19,-6.3,106.7,299.67603,0
2024-12-19,-6.3,106.95,299.81073,0
2024-12-20,-6.3,106.7,299.7798,0
2024-12-20,-6.3,106.95,299.72928,0
2024-12-21,-6.3,106.7,300.03693,0
2024-12-21,-6.3,106.95,300.01227,0
2024-12-22,-6.3,106.7,300.11523,0
2024-12-22,-6.3,106.95,300.13657,0
2024-12-23,-6.3,106.7,299.71884,0
2024-12-23,-6.3,106.95,299.70044,0
2024-12-24,-6.3,106.7,299.71054,0
2024-12-24,-6.3,106.95,299.63748,0
2024-12-25,-6.3,106.7,299.46942,0
2024-12-25,-6.3,106.95,299.38412,0
2024-12-26,-6.3,106.7,300.24292,0
2024-12-26,-6.3,106.95,300.38614,0
2024-12-27,-6.3,106.7,301.0081,0
2024-12-27,-6.3,106.95,301.09897,0
2024-12-28,-6.3,106.7,301.3136,0
2024-12-28,-6.3,106.95,301.45135,0
2024-12-29,-6.3,106.7,301.15305,0
2024-12-29,-6.3,106.95,300.99707,0
2024-12-30,-6.3,106.7,300.0915,0
2024-12-30,-6.3,106.95,300.1705,0
2024-12-31,-6.3,106.7,300.38135,0
2024-12-31,-6.3,106.95,300.31516,0
