valid_time,latitude,longitude,u10,number
2024-12-01,-6.3,106.7,2.402592,0
2024-12-01,-6.3,106.95,2.0222824,0
2024-12-02,-6.3,106.7,2.6129558,0
2024-12-02,-6.3,106.95,2.619791,0
2024-12-03,-6.3,106.7,3.0695293,0
2024-12-03,-6.3,106.95,2.9565275,0
2024-12-04,-6.3,106.7,2.0783389,0
2024-12-04,-6.3,106.95,2.224858,0
2024-12-05,-6.3,106.7,2.917428,0
2024-12-05,-6.3,106.95,3.0305986,0
2024-12-06,-6.3,106.7,1.5717702,0
2024-12-06,-6.3,106.95,1.8881955,0
2024-12-07,-6.3,106.7,0.07730307,0
2024-12-07,-6.3,106.95,0.39463088,0
2024-12-08,-6.3,106.7,0.7061688,0
2024-12-08,-6.3,106.95,1.0006472,0
2024-12-09,-6.3,106.7,1.0532186,0
2024-12-09,-6.3,106.95,1.3606592,0
2024-12-10,-6.3,106.7,3.1162863,0
2024-12-10,-6.3,106.95,3.2977638,0
2024-12-11,-6.3,106.7,2.5822418,0
2024-12-11,-6.3,106.95,2.8245518,0
2024-12-12,-6.3,106.7,3.1495078,0
2024-12-12,-6.3,106.95,3.1610782,0
2024-12-13,-6.3,106.7,2.3130817,0
2024-12-13,-6.3,106.95,2.4424152,0
2024-12-14,-6.3,106.7,2.5821137,0
2024-12-14,-6.3,106.95,2.8430018,0
2024-12-15,-6.3,106.7,2.1246293,0
2024-12-15,-6.3,106.95,2.4879243,0
2024-12-16,-6.3,106.7,1.77421,0
2024-12-16,-6.3,106.95,2.0717876,0
2024-12-17,-6.3,106.7,2.0151548,0
2024-12-17,-6.3,106.95,2.3724449,0
2024-12-18,-6.3,106.7,2.2747402,0
2024-12-18,-6.3,106.95,2.6306372,0
2024-12-19,-6.3,106.7,3.0377893,0
2024-12-19,-6.3,106.95,3.5478697,0
2024-12-20,-6.3,106.7,2.3986108,0
2024-12-20,-6.3,106.95,2.7608583,0
2024-12-21,-6.3,106.7,1.6553067,0
2024-12-21,-6.3,106.95,2.3534307,0
2024-12-22,-6.3,106.7,0.5708246,0
2024-12-22,-6.3,106.95,1.181972,0
2024-12-23,-6.3,106.7,1.1091951,0
2024-12-23,-6.3,106.95,1.5439187,0
2024-12-24,-6.3,106.7,1.5015543,0
2024-12-24,-6.3,106.95,2.0347545,0
2024-12-25,-6.3,106.7,0.7865315,0
2024-12-25,-6.3,106.95,1.1742868,0
2024-12-26,-6.3,106.7,1.6037802,0
2024-12-26,-6.3,106.95,1.8509482,0
2024-12-27,-6.3,106.7,1.5224484,0
2024-12-27,-6.3,106.95,1.5367539,0
2024-12-28,-6.3,106.7,1.7353126,0
2024-12-28,-6.3,106.95,1.7912651,0
2024-12-29,-6.3,106.7,1.3571068,0
2024-12-29,-6.3,106.95,1.7662235,0
2024-12-30,-6.3,106.7,2.815608,0
2024-12-30,-6.3,106.95,3.3096275,0
2024-12-31,-6.3,106.7,2.4787219,0
2024-12-31,-6.3,106.95,2.878805,0
