TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2024-01-01,68.0,100.0,14.0,56.0,16.0,2.0,SEDANG,SEDANG,BAIK,SEDANG,BAIK,BAIK,SEDANG
2024-01-02,68.0,94.0,14.0,47.0,17.0,2.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-03,52.0,71.0,14.0,38.0,16.0,0.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-04,51.0,73.0,14.0,36.0,8.0,0.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-05,,,,,,,,,,,,,
2024-01-06,52.0,69.0,15.0,47.0,19.0,3.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-07,57.0,77.0,15.0,73.0,17.0,20.0,SEDANG,SEDANG,BAIK,SEDANG,BAIK,BAIK,SEDANG
2024-01-08,55.0,76.0,15.0,69.0,21.0,19.0,SEDANG,SEDANG,BAIK,SEDANG,BAIK,BAIK,SEDANG
2024-01-09,56.0,73.0,21.0,55.0,19.0,33.0,SEDANG,SEDANG,BAIK,SEDANG,BAIK,BAIK,SEDANG
2024-01-10,51.0,74.0,35.0,23.0,22.0,44.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-11,59.0,81.0,39.0,16.0,20.0,45.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-12,52.0,61.0,43.0,12.0,14.0,56.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-13,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,
2024-01-15,58.0,79.0,44.0,16.0,10.0,54.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-16,51.0,63.0,46.0,7.0,7.0,91.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-17,52.0,71.0,48.0,10.0,7.0,0.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-18,,,,,,,,,,,,,
2024-01-19,36.0,37.0,45.0,7.0,9.0,84.0,BAIK,BAIK,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-20,33.0,54.0,45.0,8.0,8.0,72.0,BAIK,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-21,52.0,65.0,45.0,9.0,8.0,81.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-22,43.0,50.0,45.0,5.0,8.0,70.0,BAIK,BAIK,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-23,31.0,52.0,46.0,6.0,9.0,52.0,BAIK,SEDANG,BAIK,BAIK,BAIK,SEDANG,SEDANG
2024-01-24,47.0,66.0,47.0,9.0,10.0,45.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-25,42.0,58.0,47.0,7.0,11.0,31.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-26,46.0,63.0,51.0,9.0,17.0,23.0,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2024-01-27,50.0,67.0,50.0,11.0,18.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-28,45.0,65.0,49.0,13.0,12.0,21.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-29,36.0,0.0,48.0,18.0,12.0,24.0,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
2024-01-30,59.0,89.0,50.0,24.0,13.0,37.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-01-31,54.0,60.0,50.0,14.0,17.0,26.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-01,52.0,72.0,48.0,16.0,16.0,23.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-02,43.0,58.0,48.0,14.0,15.0,33.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-03,34.0,50.0,48.0,9.0,10.0,34.0,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
2024-02-04,35.0,53.0,48.0,7.0,8.0,31.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-05,55.0,79.0,50.0,18.0,13.0,42.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-06,61.0,80.0,50.0,18.0,15.0,41.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-07,54.0,59.0,49.0,13.0,9.0,33.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2024-02-08,56.0,78.0,52.0,22.0,11.0,81.0,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
