name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.35693, 106.80367",1/1/2022,31.8,25,28.3,37.7,25,31.2,23.8,77.8,0.502,100,12.5,rain,0,0,37.1,21.8,257.9,1009.6,48.4,6.8,249.2,20.6,9,,2022-01-01T05:41:44,2022-01-01T18:10:43,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/2/2022,32.8,25,27.9,37.9,25,30.3,23.7,79.2,0.009,100,4.17,rain,0,0,30.6,23.2,256.7,1009.1,44.3,6.9,220.2,19,7,,2022-01-02T05:42:15,2022-01-02T18:11:08,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/3/2022,34.2,23.8,28.4,38,23.8,30.7,22.5,72.3,0,0,0,,0,0,18.4,20,317.8,1008.9,41,6.7,283.9,24.5,9,,2022-01-03T05:42:46,2022-01-03T18:11:33,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/4/2022,32.8,24,28,37,24,30.8,23.1,75.7,0,0,0,,0,0,18,15.1,346.4,1009.9,40.3,6,291.8,25.1,10,,2022-01-04T05:43:16,2022-01-04T18:11:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/5/2022,32.8,24.5,28.3,38,24.5,30.8,23.8,78.1,16.889,100,4.17,rain,0,0,19.4,14.2,354.8,1009.7,45.6,5,255.1,22.1,8,,2022-01-05T05:43:47,2022-01-05T18:12:20,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/6/2022,32,25,27.3,39.4,25,29.7,24.8,87.2,8.459,100,16.67,rain,0,0,27.4,16.6,294.7,1010.5,55.9,4.9,226.3,19.5,8,,2022-01-06T05:44:17,2022-01-06T18:12:43,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/7/2022,33.8,24.2,27.7,38.4,24.2,29.6,23.5,79.8,1.258,100,12.5,rain,0,0,31,23.7,239,1010.8,51.1,6.1,233.4,20.1,8,,2022-01-07T05:44:47,2022-01-07T18:13:05,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/8/2022,32,24.2,28.1,38.1,24.2,30.9,24,80,0.051,100,4.17,rain,0,0,23.8,21.4,295.4,1009.9,49.8,6,266.6,23.1,9,,2022-01-08T05:45:17,2022-01-08T18:13:26,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/9/2022,31.8,25.2,28.4,38.1,25.2,31.7,24.1,78.3,0.177,100,4.17,rain,0,0,30.6,17.8,274.1,1009.1,48.7,6.2,218.9,18.9,8,,2022-01-09T05:45:47,2022-01-09T18:13:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/10/2022,31.7,25.2,27.7,38.7,25.2,30.4,24.5,83.4,8.84,100,12.5,rain,0,0,30.6,19.3,290,1009.1,49.9,6.1,235.5,20.2,8,10,2022-01-10T05:46:16,2022-01-10T18:14:06,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/11/2022,31.7,24,26.3,38.7,24,27.8,24.3,89.7,51.69,100,25,rain,0,0,36.4,14.8,273.4,1011,65,5.5,143.7,12.4,6,10,2022-01-11T05:46:45,2022-01-11T18:14:25,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/12/2022,30.2,23.9,26.2,36.4,23.9,28.3,24.1,88.8,17.026,100,20.83,rain,0,0,51.8,20.6,285.9,1011,61.2,5.6,205,17.6,7,10,2022-01-12T05:47:14,2022-01-12T18:14:44,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/13/2022,30.8,24,26.9,36.5,24,29.7,24.1,85.6,5.949,100,20.83,rain,0,0,27.4,24.1,316.4,1010.9,52.4,6.2,130.6,11.3,6,30,2022-01-13T05:47:42,2022-01-13T18:15:01,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/14/2022,29.1,23.9,26.7,34.5,23.9,29.3,24.3,87.3,14.183,100,25,rain,0,0,28.8,19,305.9,1010.7,52.8,5.5,224.4,19.4,8,30,2022-01-14T05:48:10,2022-01-14T18:15:18,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/15/2022,29,24,26.7,34.1,24,29.2,24.3,87.2,5.342,100,12.5,rain,0,0,30.2,16.6,291.1,1010.6,61.5,5.6,167.9,14.5,6,30,2022-01-15T05:48:37,2022-01-15T18:15:33,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/16/2022,29,24.9,26.9,34.7,24.9,29.6,25.2,90.3,6.368,100,12.5,rain,0,0,27.7,11.6,300.9,1010.1,48.7,4.8,206.1,17.6,7,30,2022-01-16T05:49:04,2022-01-16T18:15:48,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/17/2022,31,24.8,27.7,37.7,24.8,31,24.7,84.6,9.578,100,20.83,rain,0,0,29.9,18.4,301.2,1009.6,59.8,5.8,235.3,20.3,9,30,2022-01-17T05:49:31,2022-01-17T18:16:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/18/2022,28,24,25.9,32.2,24,27.1,24.6,92.5,92.373,100,29.17,rain,0,0,40.7,18.4,302,1009.4,67.3,4.9,160.2,13.8,5,30,2022-01-18T05:49:56,2022-01-18T18:16:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/19/2022,30.7,24,26.9,36.4,24,29.1,24,85.1,48.866,100,29.17,rain,0,0,55.4,27.7,288.5,1008.7,66.3,5.8,235.2,20.2,8,10,2022-01-19T05:50:22,2022-01-19T18:16:28,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/20/2022,29.8,24,25.6,34.2,24,26.2,23.3,87.2,8.048,100,16.67,rain,0,0,31.3,14.2,250.1,1009.5,54.6,6.4,84.3,7.2,4,10,2022-01-20T05:50:47,2022-01-20T18:16:39,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/21/2022,31,24,27,36,24,29.5,23.7,82.8,2.127,100,12.5,rain,0,0,33.5,14.8,277.1,1009.3,47.9,6.4,238.4,20.6,8,30,2022-01-21T05:51:11,2022-01-21T18:16:49,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/22/2022,30.8,24,27,36.5,24,29.5,24.1,85,15.391,100,16.67,rain,0,0,21.2,16.6,277.9,1009.4,54,5.8,97.3,8.4,6,10,2022-01-22T05:51:35,2022-01-22T18:16:59,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/23/2022,33.5,25,28.7,41.1,25,32,23.9,76.3,0,0,0,,0,0,27.7,17.3,267.9,1008.4,44.4,6.7,237.4,20.6,8,30,2022-01-23T05:51:58,2022-01-23T18:17:07,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/24/2022,34.7,25,28.8,41,25,31.7,23.5,74.6,0,0,0,,0,0,36.4,28.4,250,1007.4,41.3,6.9,270.8,23.4,9,30,2022-01-24T05:52:20,2022-01-24T18:17:15,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
