"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","51","59","44","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","51","59","44","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","52","58","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","52","58","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","52","58","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","52","59","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","52","59","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","52","59","43","7","28","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","52","60","43","7","28","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","52","60","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","52","61","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","52","61","43","7","29","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","53","61","43","7","31","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","53","62","43","7","31","8","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","54","62","43","7","31","7","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","54","62","42","7","31","8","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","54","60","42","7","30","8","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","54","57","42","7","30","8","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","53","54","41","8","30","9","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","53","53","41","8","30","9","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","52","53","41","8","30","9","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
