"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","58","108","57","19","14","50","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"04:00","61","114","57","21","14","54","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"05:00","64","121","57","23","14","59","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","73","132","57","25","14","68","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"08:00","77","135","57","25","13","72","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"09:00","80","137","56","26","13","76","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"10:00","84","139","56","26","13","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"11:00","86","139","56","26","13","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"12:00","88","140","56","26","12","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"13:00","90","141","56","26","12","80","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"14:00","92","142","57","26","12","80","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"15:00","93","142","57","26","11","80","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","94","142","56","27","10","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"18:00","95","143","56","27","10","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"19:00","95","144","56","27","10","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"20:00","96","147","56","27","10","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","98","152","56","25","11","79","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"23:00","99","151","56","23","11","78","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
