"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","56","0","36","20","19","31","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"04:00","56","0","36","19","19","31","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"05:00","56","0","36","19","19","30","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"06:00","56","0","36","19","19","30","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"07:00","56","0","36","19","19","30","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"08:00","55","0","36","19","19","30","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"09:00","55","0","37","18","19","29","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"10:00","54","0","37","18","18","28","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"11:00","53","0","37","17","18","26","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"12:00","53","0","37","17","18","26","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"13:00","52","0","38","17","18","26","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"14:00","52","0","39","18","20","26","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"15:00","52","0","40","18","21","27","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"16:00","53","0","41","18","22","27","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"17:00","53","0","41","18","22","27","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"18:00","53","0","40","18","22","27","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"19:00","54","0","40","19","21","28","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"20:00","54","0","40","19","20","29","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"21:00","55","0","40","19","20","30","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","55","0","40","19","20","29","Sedang","-","Baik","Baik","Baik","Baik","pm10","Sedang"
