"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","46","64","38","15","56","31","Baik","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"04:00","47","65","38","15","56","32","Baik","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"05:00","49","67","38","16","56","32","Baik","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"06:00","50","68","38","16","56","33","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"07:00","51","69","38","17","56","33","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"08:00","52","70","38","16","55","32","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"09:00","52","70","38","16","55","32","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"10:00","52","69","38","16","54","31","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"11:00","52","67","38","16","54","31","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"12:00","52","67","38","16","54","31","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"13:00","52","67","38","16","54","31","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"14:00","52","66","38","16","54","30","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"15:00","52","66","38","16","55","28","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"16:00","51","66","38","16","54","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"17:00","51","65","38","16","54","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"18:00","51","65","37","16","53","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"19:00","51","65","37","16","52","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"20:00","50","65","37","16","51","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"21:00","50","65","37","17","50","30","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"22:00","50","66","38","18","49","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","50","66","39","19","49","30","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
