"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","73","106","26","5","39","15","Sedang","Tidak Sehat","Baik","Baik","Baik","Baik","pm25","Tidak Sehat"
"04:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"05:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"06:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"07:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"08:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"09:00","64","88","21","6","32","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","63","88","21","6","32","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","63","88","21","6","31","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","63","127","21","6","31","17","Sedang","Tidak Sehat","Baik","Baik","Baik","Baik","pm25","Tidak Sehat"
"13:00","62","129","21","6","31","17","Sedang","Tidak Sehat","Baik","Baik","Baik","Baik","pm25","Tidak Sehat"
"14:00","62","129","21","6","31","17","Sedang","Tidak Sehat","Baik","Baik","Baik","Baik","pm25","Tidak Sehat"
"15:00","62","88","21","6","31","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","62","88","21","6","31","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","62","84","21","6","30","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","62","85","21","6","30","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","62","86","21","6","30","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","62","86","21","6","30","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","63","85","21","5","30","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","63","85","21","5","30","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
