"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","61","82","25","5","5","6","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","61","80","25","4","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","60","78","25","3","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","60","76","25","2","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","60","75","25","2","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","59","76","25","2","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","59","78","26","2","5","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","59","79","26","2","6","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","60","81","26","2","6","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","60","82","26","2","6","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","61","84","26","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","62","86","26","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","64","87","26","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","64","89","26","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20:00","65","90","25","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","70","89","26","2","7","5","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","70","88","26","0","7","5","Sedang","Sedang","Baik","-","Baik","Baik","pm25","Sedang"
"23:00","69","87","26","0","8","4","Sedang","Sedang","Baik","-","Baik","Baik","pm25","Sedang"
