datetime,BUNDARANHI,JAGAKARSA,KEBUNJERUK,KELAPAGADING,LUBANGBUAYA
2022-01-01,53.0,52.75,51.75,86.55,50.75
2022-01-02,53.0,52.75,51.75,86.55,50.75
2022-01-03,53.0,52.75,51.75,86.55,50.75
2022-01-04,53.0,52.75,51.75,86.55,50.75
2022-01-05,53.0,52.75,51.75,86.55,50.75
2022-01-06,53.0,52.75,51.75,86.55,50.75
2022-01-07,53.0,52.75,51.75,80.15,50.75
2022-01-08,53.0,52.75,51.75,58.67,50.75
2022-01-09,53.0,52.75,51.75,67.6,50.75
2022-01-10,53.0,52.75,51.75,53.95,50.75
2022-01-11,53.0,52.75,51.75,43.13,50.75
2022-01-12,53.0,52.75,51.75,50.19,50.75
2022-01-13,49.92,54.67,50.83,53.93,53.75
2022-01-14,46.92,60.92,52.92,52.63,54.17
2022-01-15,52.75,68.83,59.83,55.71,52.08
2022-01-16,52.12,80.92,66.97,70.98,52.99
2022-01-17,51.5,93.0,74.1,69.37,53.9
2022-01-18,51.07,62.13,62.93,58.6,36.53
2022-01-19,39.69,57.5,49.31,53.68,37.25
2022-01-20,48.63,58.68,54.26,52.5,46.53
2022-01-21,42.38,53.85,54.08,50.07,36.38
2022-01-22,48.85,68.31,59.0,49.46,25.19
2022-01-23,51.25,73.44,58.31,50.77,14.0
2022-01-24,51.22,73.22,58.33,53.47,50.44
2022-01-25,44.0,56.29,55.29,36.83,37.14
2022-01-26,48.42,54.08,56.08,53.26,43.42
2022-01-27,53.42,75.25,64.92,50.01,49.0
2022-01-28,57.88,82.18,66.18,56.32,55.71
2022-01-29,81.11,87.11,98.16,72.57,89.89
2022-01-30,91.0,108.47,128.63,93.38,97.74
2022-01-31,91.79,97.0,120.21,109.55,98.07
2022-02-01,54.83,88.42,74.92,59.07,53.92
2022-02-02,60.44,93.22,87.33,65.55,55.67
2022-02-03,53.6,83.0,73.85,52.45,62.45
2022-02-04,46.35,74.95,56.85,52.06,45.7
