TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
1/1/2022,,,,,,,,,,,,,
1/2/2022,,,,,,,,,,,,,
1/5/2022,,,,,,,,,,,,,
1/6/2022,,,,,,,,,,,,,
1/7/2022,,,,,,,,,,,,,
1/12/2022,33,53,23,10,16,7,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/13/2022,40,59,26,12,16,11,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/16/2022,,,,,,,,,,,,,
1/18/2022,69,92,27,13,21,10,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/20/2022,49,67,33,9,22,11,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/21/2022,44,58,25,9,12,7,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/24/2022,57,75,26,11,11,7,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/25/2022,41,58,25,7,10,3,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/27/2022,58,78,27,14,20,7,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
1/30/2022,79,118,24,19,22,14,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
1/31/2022,79,110,24,19,20,12,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2/1/2022,66,91,25,17,15,11,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/4/2022,64,90,27,16,23,13,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2/6/2022,39,52,34,7,15,5,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
