TANGGAL,ISPU_PM2_5
2022-01-01,53.0
2022-01-02,53.0
2022-01-03,53.0
2022-01-04,53.0
2022-01-05,53.0
2022-01-06,53.0
2022-01-07,53.0
2022-01-08,53.0
2022-01-09,53.0
2022-01-10,53.0
2022-01-11,53.0
2022-01-12,53.0
2022-01-13,59.0
2022-01-14,65.6
2022-01-15,72.2
2022-01-16,78.8
2022-01-17,85.4
2022-01-18,92.0
2022-01-19,79.5
2022-01-20,67.0
2022-01-21,58.0
2022-01-22,63.67
2022-01-23,69.33
2022-01-24,75.0
2022-01-25,58.0
2022-01-26,68.0
2022-01-27,78.0
2022-01-28,91.33
2022-01-29,104.67
2022-01-30,118.0
2022-01-31,110.0
2022-02-01,91.0
2022-02-02,90.67
2022-02-03,90.33
2022-02-04,90.0
2022-02-05,71.0
2022-02-06,52.0
2022-02-07,61.0
2022-02-08,87.0
2022-02-09,73.5
2022-02-10,60.0
2022-02-11,103.0
2022-02-12,79.0
2022-02-13,99.0
2022-02-14,95.5
2022-02-15,92.0
2022-02-16,88.5
2022-02-17,85.0
2022-02-18,81.5
2022-02-19,78.0
2022-02-20,74.5
2022-02-21,71.0
2022-02-22,67.5
2022-02-23,64.0
2022-02-24,58.0
2022-02-25,57.67
2022-02-26,57.33
2022-02-27,57.0
2022-02-28,43.5
2022-03-01,30.0
2022-03-02,34.0
2022-03-03,42.5
2022-03-04,51.0
2022-03-05,53.0
2022-03-06,55.0
2022-03-07,57.0
2022-03-08,62.5
2022-03-09,68.0
2022-03-10,76.5
2022-03-11,85.0
2022-03-12,77.0
2022-03-13,64.0
2022-03-14,77.0
2022-03-15,75.5
2022-03-16,74.0
2022-03-17,82.5
2022-03-18,91.0
2022-03-19,73.0
2022-03-20,79.0
2022-03-21,59.0
2022-03-22,63.0
2022-03-23,80.0
2022-03-24,97.0
2022-03-25,114.0
2022-03-26,94.67
2022-03-27,75.33
2022-03-28,56.0
2022-03-29,86.0
2022-03-30,106.0
2022-03-31,102.5
2022-04-01,99.0
2022-04-02,84.0
2022-04-03,69.0
2022-04-04,54.0
2022-04-05,60.0
2022-04-06,60.0
2022-04-07,59.0
2022-04-08,71.67
2022-04-09,84.33
2022-04-10,97.0
2022-04-11,98.0
2022-04-12,99.0
2022-04-13,109.0
2022-04-14,104.0
2022-04-15,103.0
2022-04-16,102.0
2022-04-17,111.0
2022-04-18,100.0
2022-04-19,93.0
2022-04-20,86.0
2022-04-21,93.0
2022-04-22,100.0
2022-04-23,82.0
2022-04-24,96.0
2022-04-25,89.0
2022-04-26,82.0
2022-04-27,79.0
2022-04-28,68.5
2022-04-29,58.0
2022-04-30,79.0
2022-05-01,100.0
2022-05-02,97.0
2022-05-03,66.0
2022-05-04,72.0
2022-05-05,78.0
2022-05-06,65.0
2022-05-07,104.0
2022-05-08,95.75
2022-05-09,87.5
2022-05-10,79.25
2022-05-11,71.0
2022-05-12,65.5
2022-05-13,60.0
2022-05-14,102.0
2022-05-15,96.0
2022-05-16,90.0
2022-05-17,88.0
2022-05-18,93.0
2022-05-19,98.0
2022-05-20,100.0
2022-05-21,89.5
2022-05-22,79.0
2022-05-23,99.0
2022-05-24,98.0
2022-05-25,97.0
2022-05-26,96.0
2022-05-27,102.0
2022-05-28,108.0
2022-05-29,99.67
2022-05-30,91.33
2022-05-31,83.0
2022-06-01,77.67
2022-06-02,72.33
2022-06-03,67.0
2022-06-04,86.0
2022-06-05,87.0
2022-06-06,88.0
2022-06-07,74.0
2022-06-08,79.5
2022-06-09,85.0
2022-06-10,74.0
2022-06-11,74.0
2022-06-12,84.0
2022-06-13,86.5
2022-06-14,89.0
2022-06-15,103.0
2022-06-16,117.0
2022-06-17,131.0
2022-06-18,128.2
2022-06-19,125.4
2022-06-20,122.6
2022-06-21,119.8
2022-06-22,117.0
2022-06-23,105.0
2022-06-24,106.5
2022-06-25,108.0
2022-06-26,101.0
2022-06-27,94.0
2022-06-28,90.0
2022-06-29,86.0
2022-06-30,82.0
2022-07-01,94.0
2022-07-02,103.0
2022-07-03,112.0
2022-07-04,94.0
2022-07-05,99.0
2022-07-06,114.0
2022-07-07,143.0
2022-07-08,104.0
2022-07-09,65.0
2022-07-10,69.0
2022-07-11,94.0
2022-07-12,93.33
2022-07-13,92.67
2022-07-14,92.0
2022-07-15,76.5
2022-07-16,61.0
2022-07-17,75.0
2022-07-18,89.0
2022-07-19,103.0
2022-07-20,110.0
2022-07-21,104.0
2022-07-22,102.0
2022-07-23,79.0
2022-07-24,73.0
2022-07-25,67.0
2022-07-26,84.0
2022-07-27,101.0
2022-07-28,118.0
2022-07-29,108.5
2022-07-30,99.0
2022-07-31,111.0
2022-08-01,107.0
2022-08-02,103.0
2022-08-03,118.0
2022-08-04,110.0
2022-08-05,104.0
2022-08-06,98.0
2022-08-07,97.0
2022-08-08,66.0
2022-08-09,76.0
2022-08-10,99.0
2022-08-11,91.0
2022-08-12,76.0
2022-08-13,73.0
2022-08-14,68.5
2022-08-15,64.0
2022-08-16,68.33
2022-08-17,72.67
2022-08-18,77.0
2022-08-19,78.0
2022-08-20,79.0
2022-08-21,72.0
2022-08-22,72.0
2022-08-23,83.0
2022-08-24,94.0
2022-08-25,84.0
2022-08-26,114.0
2022-08-27,98.67
2022-08-28,83.33
2022-08-29,68.0
2022-08-30,75.5
2022-08-31,83.0
2022-09-01,90.5
2022-09-02,98.0
2022-09-03,78.0
2022-09-04,58.0
2022-09-05,86.0
2022-09-06,84.0
2022-09-07,75.0
2022-09-08,75.0
2022-09-09,75.0
2022-09-10,75.0
2022-09-11,75.0
2022-09-12,75.0
2022-09-13,75.0
2022-09-14,75.0
2022-09-15,80.0
2022-09-16,85.0
2022-09-17,90.0
2022-09-18,95.0
2022-09-19,93.0
2022-09-20,91.0
2022-09-21,89.0
2022-09-22,86.0
2022-09-23,74.0
2022-09-24,74.62
2022-09-25,75.25
2022-09-26,75.88
2022-09-27,76.5
2022-09-28,77.12
2022-09-29,77.75
2022-09-30,78.38
2022-10-01,79.0
2022-10-02,68.0
2022-10-03,71.0
2022-10-04,64.0
2022-10-05,62.0
2022-10-06,68.0
2022-10-07,75.4
2022-10-08,82.8
2022-10-09,90.2
2022-10-10,97.6
2022-10-11,105.0
2022-10-12,85.0
2022-10-13,67.0
2022-10-14,60.0
2022-10-15,62.0
2022-10-16,64.0
2022-10-17,67.0
2022-10-18,70.0
2022-10-19,67.0
2022-10-20,66.0
2022-10-21,70.0
2022-10-22,74.0
2022-10-23,78.0
2022-10-24,54.0
2022-10-25,50.0
2022-10-26,52.25
2022-10-27,54.5
2022-10-28,56.75
2022-10-29,59.0
2022-10-30,56.5
2022-10-31,54.0
2022-11-01,66.0
2022-11-02,69.0
2022-11-03,65.0
2022-11-04,95.0
2022-11-05,82.0
2022-11-06,80.75
2022-11-07,79.5
2022-11-08,78.25
2022-11-09,77.0
2022-11-10,78.0
2022-11-11,70.0
2022-11-12,62.0
2022-11-13,64.0
2022-11-14,72.0
2022-11-15,104.0
2022-11-16,83.0
2022-11-17,66.0
2022-11-18,49.0
2022-11-19,66.0
2022-11-20,63.0
2022-11-21,63.0
2022-11-22,74.0
2022-11-23,75.0
2022-11-24,58.0
2022-11-25,93.5
2022-11-26,129.0
2022-11-27,109.0
2022-11-28,90.5
2022-11-29,72.0
2022-11-30,76.0
2022-12-01,84.0
2022-12-02,95.0
2022-12-03,86.0
2022-12-04,76.0
2022-12-05,79.0
2022-12-06,82.0
2022-12-07,78.0
2022-12-08,86.0
2022-12-09,94.0
2022-12-10,81.0
2022-12-11,68.0
2022-12-12,63.0
2022-12-13,77.0
2022-12-14,76.0
2022-12-15,75.0
2022-12-16,74.0
2022-12-17,85.25
2022-12-18,96.5
2022-12-19,107.75
2022-12-20,119.0
2022-12-21,108.67
2022-12-22,98.33
2022-12-23,88.0
2022-12-24,77.67
2022-12-25,67.33
2022-12-26,57.0
2022-12-27,48.0
2022-12-28,67.0
2022-12-29,60.0
2022-12-30,63.0
2022-12-31,74.0
2023-01-01,58.0
2023-01-02,45.0
2023-01-03,38.0
2023-01-04,46.0
2023-01-05,63.0
2023-01-06,80.0
2023-01-07,76.0
2023-01-08,72.0
2023-01-09,74.0
2023-01-10,74.0
2023-01-11,70.0
2023-01-12,82.0
2023-01-13,82.12
2023-01-14,82.25
2023-01-15,82.38
2023-01-16,82.5
2023-01-17,82.62
2023-01-18,82.75
