TANGGAL,ISPU_PM2_5
1/1/2022,53
1/2/2022,53
1/3/2022,53
1/4/2022,53
1/5/2022,53
1/6/2022,53
1/7/2022,53
1/8/2022,53
1/9/2022,53
1/10/2022,53
1/11/2022,53
1/12/2022,53
1/13/2022,59
1/14/2022,65.6
1/15/2022,72.2
1/16/2022,78.8
1/17/2022,85.4
1/18/2022,92
1/19/2022,79.5
1/20/2022,67
1/21/2022,58
1/22/2022,63.67
1/23/2022,69.33
1/24/2022,75
1/25/2022,58
1/26/2022,68
1/27/2022,78
1/28/2022,91.33
1/29/2022,104.67
1/30/2022,118
1/31/2022,110
2/1/2022,91
2/2/2022,90.67
2/3/2022,90.33
2/4/2022,90
2/5/2022,71
2/6/2022,52
2/7/2022,61
2/8/2022,87
2/9/2022,73.5
2/10/2022,60
2/11/2022,103
2/12/2022,79
2/13/2022,99
2/14/2022,95.5
2/15/2022,92
2/16/2022,88.5
2/17/2022,85
2/18/2022,81.5
2/19/2022,78
2/20/2022,74.5
2/21/2022,71
2/22/2022,67.5
2/23/2022,64
2/24/2022,58
2/25/2022,57.67
2/26/2022,57.33
2/27/2022,57
2/28/2022,43.5
3/1/2022,30
3/2/2022,34
3/3/2022,42.5
3/4/2022,51
3/5/2022,53
3/6/2022,55
3/7/2022,57
3/8/2022,62.5
3/9/2022,68
3/10/2022,76.5
3/11/2022,85
3/12/2022,77
3/13/2022,64
3/14/2022,77
3/15/2022,75.5
3/16/2022,74
3/17/2022,82.5
3/18/2022,91
3/19/2022,73
3/20/2022,79
3/21/2022,59
3/22/2022,63
3/23/2022,80
3/24/2022,97
3/25/2022,114
3/26/2022,94.67
3/27/2022,75.33
3/28/2022,56
3/29/2022,86
3/30/2022,106
3/31/2022,102.5
4/1/2022,99
4/2/2022,84
4/3/2022,69
4/4/2022,54
4/5/2022,60
4/6/2022,60
4/7/2022,59
4/8/2022,71.67
4/9/2022,84.33
4/10/2022,97
4/11/2022,98
4/12/2022,99
4/13/2022,109
4/14/2022,104
4/15/2022,103
4/16/2022,102
4/17/2022,111
4/18/2022,100
4/19/2022,93
4/20/2022,86
4/21/2022,93
4/22/2022,100
4/23/2022,82
4/24/2022,96
4/25/2022,89
4/26/2022,82
4/27/2022,79
4/28/2022,68.5
4/29/2022,58
4/30/2022,79
5/1/2022,100
5/2/2022,97
5/3/2022,66
5/4/2022,72
5/5/2022,78
5/6/2022,65
