TANGGAL,CRITICAL_PARAMETER,OVERALL_STATUS
2022-01-01,-,-
2022-01-02,-,-
2022-01-05,-,-
2022-01-06,-,-
2022-01-07,-,-
2022-01-12,-,-
2022-01-13,-,-
2022-01-16,-,-
2022-01-18,pm25,Sedang
2022-01-20,pm25,Sedang
2022-01-21,pm25,-
2022-01-24,-,-
2022-01-25,-,-
2022-01-27,-,-
2022-01-30,pm25,Tidak Sehat
2022-01-31,pm25,-
2022-02-01,-,-
2022-02-04,pm25,Sedang
2022-02-06,-,-
2022-02-07,pm25,Sedang
2022-02-08,pm25,Sedang
2022-02-10,pm25,Baik
2022-02-11,pm25,Sedang
2022-02-12,pm25,Sedang
2022-02-13,pm25,Sedang
2022-02-19,-,-
2022-02-20,-,-
2022-02-22,-,-
2022-02-23,-,-
2022-02-24,-,-
2022-02-27,pm25,-
2022-03-01,so2,Baik
2022-03-02,so2,Baik
2022-03-04,pm25,Sedang
2022-03-07,pm25,Baik
2022-03-09,pm25,Sedang
2022-03-11,pm25,Sedang
2022-03-12,pm25,Sedang
2022-03-13,pm25,Sedang
2022-03-14,pm25,Sedang
2022-03-15,-,-
2022-03-16,pm25,Sedang
2022-03-18,pm25,Sedang
2022-03-19,-,-
2022-03-20,pm25,Sedang
2022-03-21,pm25,Baik
2022-03-22,pm25,Sedang
2022-03-24,-,-
2022-03-25,-,-
2022-03-27,-,-
2022-03-28,pm25,Sedang
2022-03-29,pm25,Sedang
2022-03-30,pm25,Sedang
2022-04-01,pm25,Sedang
2022-04-04,pm25,Sedang
2022-04-05,pm25,Sedang
2022-04-06,pm25,Sedang
2022-04-07,pm25,Sedang
2022-04-10,pm25,Sedang
2022-04-12,pm25,Sedang
2022-04-13,pm25,Tidak Sehat
2022-04-14,pm25,Sedang
2022-04-16,pm25,Sedang
2022-04-17,pm25,Tidak Sehat
2022-04-18,pm25,Sedang
2022-04-20,pm25,Sedang
2022-04-22,pm25,Sedang
2022-04-23,pm25,Sedang
2022-04-24,pm25,Sedang
2022-04-26,pm25,Sedang
2022-04-27,pm25,Sedang
2022-04-29,pm25,Sedang
2022-05-01,pm25,Sedang
2022-05-02,pm25,Sedang
2022-05-03,pm25,Sedang
2022-05-05,pm25,Sedang
2022-05-06,pm25,Sedang
2022-05-07,pm25,Sedang
2022-05-11,pm25,Sedang
2022-05-13,pm25,Sedang
2022-05-14,pm25,Sedang
2022-05-16,pm25,Sedang
2022-05-17,pm25,Sedang
2022-05-19,pm25,Sedang
2022-05-20,pm25,Sedang
2022-05-22,pm25,Sedang
2022-05-23,pm25,Sedang
2022-05-25,pm25,Sedang
2022-05-26,pm25,Sedang
2022-05-28,pm25,Tidak Sehat
2022-05-31,pm25,Sedang
2022-06-03,pm25,Sedang
2022-06-04,pm25,Sedang
2022-06-06,pm25,Sedang
2022-06-07,pm25,Sedang
2022-06-09,pm25,Sedang
2022-06-10,pm25,Sedang
2022-06-11,pm25,Sedang
2022-06-12,pm25,Sedang
2022-06-14,pm25,Sedang
2022-06-15,-,-
2022-06-17,-,-
2022-06-22,pm25,Tidak Sehat
2022-06-23,pm25,Tidak Sehat
2022-06-25,pm25,Tidak Sehat
2022-06-27,-,-
2022-06-28,pm25,Sedang
2022-06-30,-,-
2022-07-01,pm25,Sedang
2022-07-03,pm25,Tidak Sehat
2022-07-04,pm25,Sedang
2022-07-05,-,-
2022-07-06,pm25,Sedang
2022-07-07,pm25,Tidak Sehat
2022-07-08,-,-
2022-07-09,pm25,Sedang
2022-07-10,pm25,Sedang
2022-07-11,pm25,Sedang
2022-07-14,pm25,Sedang
2022-07-16,pm25,-
2022-07-19,pm25,Sedang
2022-07-20,pm25,Tidak Sehat
2022-07-21,pm25,Sedang
2022-07-22,pm25,Sedang
2022-07-23,pm25,Sedang
2022-07-25,pm25,Sedang
2022-07-28,pm25,Tidak Sehat
