TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2022-01-01,,,,,,,,,,,,,
2022-01-02,,,,,,,,,,,,,
2022-01-05,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,
2022-01-07,,,,,,,,,,,,,
2022-01-12,33.0,53.0,23.0,10.0,16.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-13,40.0,59.0,26.0,12.0,16.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-16,,,,,,,,,,,,,
2022-01-18,69.0,92.0,27.0,13.0,21.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-20,49.0,67.0,33.0,9.0,22.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-21,44.0,58.0,25.0,9.0,12.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-24,57.0,75.0,26.0,11.0,11.0,7.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-25,41.0,58.0,25.0,7.0,10.0,3.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-27,58.0,78.0,27.0,14.0,20.0,7.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-01-30,79.0,118.0,24.0,19.0,22.0,14.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-01-31,79.0,110.0,24.0,19.0,20.0,12.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-02-01,66.0,91.0,25.0,17.0,15.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-04,64.0,90.0,27.0,16.0,23.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-06,39.0,52.0,34.0,7.0,15.0,5.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-07,42.0,61.0,32.0,11.0,14.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-08,60.0,87.0,29.0,23.0,14.0,17.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-10,53.0,60.0,27.0,11.0,17.0,6.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-11,71.0,103.0,28.0,20.0,11.0,9.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-02-12,64.0,79.0,29.0,10.0,20.0,7.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-13,70.0,99.0,29.0,19.0,19.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-19,,,,,,,,,,,,,
2022-02-20,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,,,
2022-02-23,51.0,64.0,35.0,8.0,15.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-24,50.0,58.0,33.0,6.0,15.0,6.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-02-27,42.0,57.0,29.0,9.0,8.0,5.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-03-01,26.0,30.0,28.0,6.0,8.0,3.0,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
