system:index,Optical_Depth_047,date,name,.geo
MCD19A2_A2000082_h28v09_061_2022154044919_01_0_0,15,2000-03-22,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000082_h28v09_061_2022154044919_01_1_0,8,2000-03-22,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000082_h28v09_061_2022154044919_01_2_0,0,2000-03-22,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000082_h28v09_061_2022154044919_01_3_0,0,2000-03-22,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000082_h28v09_061_2022154044919_01_4_0,0,2000-03-22,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000091_h28v09_061_2022154074319_01_2_0,204,2000-03-31,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000096_h28v09_061_2022154093911_01_0_0,0,2000-04-05,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000105_h28v09_061_2022154140452_01_0_0,6,2000-04-14,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000105_h28v09_061_2022154140452_01_1_0,10,2000-04-14,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000105_h28v09_061_2022154140452_01_2_0,0,2000-04-14,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000105_h28v09_061_2022154140452_01_3_0,0,2000-04-14,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000105_h28v09_061_2022154140452_01_4_0,0,2000-04-14,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000112_h28v09_061_2022154150027_01_1_0,174,2000-04-21,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000112_h28v09_061_2022154150027_01_2_0,24,2000-04-21,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000121_h28v09_061_2022154170855_01_3_0,532,2000-04-30,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000126_h28v09_061_2022154183348_01_4_0,105,2000-05-05,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000132_h28v09_061_2022154200950_01_2_0,165,2000-05-11,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000133_h28v09_061_2022154202922_01_3_0,412,2000-05-12,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000133_h28v09_061_2022154202922_01_4_0,521,2000-05-12,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000135_h28v09_061_2022154210023_01_4_0,225,2000-05-14,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
