date,name,Optical_Depth_047,Optical_Depth_047_filled,Optical_Depth_047_smoothed,system:index,.geo
2022-01-01,jagakarsa,,417.0,411.2083333333333,,
2022-01-02,jagakarsa,,417.0,403.1,,
2022-01-03,jagakarsa,417.0,417.0,393.8333333333333,MCD19A2_A2022003_h28v09_061_2022349000046_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-01-04,jagakarsa,,393.8333333333333,383.9047619047619,,
2022-01-05,jagakarsa,,370.6666666666667,367.35714285714283,,
2022-01-06,jagakarsa,,347.5,347.5,,
2022-01-07,jagakarsa,,324.3333333333333,324.3333333333333,,
2022-01-08,jagakarsa,,301.16666666666663,301.16666666666663,,
2022-01-09,jagakarsa,,278.0,278.0,,
2022-01-10,jagakarsa,,254.83333333333331,254.83333333333331,,
2022-01-11,jagakarsa,,231.66666666666666,231.66666666666666,,
2022-01-12,jagakarsa,,208.5,208.5,,
2022-01-13,jagakarsa,,185.33333333333331,185.33333333333331,,
2022-01-14,jagakarsa,,162.16666666666666,162.16666666666666,,
2022-01-15,jagakarsa,,139.0,139.0,,
2022-01-16,jagakarsa,,115.83333333333331,115.83333333333333,,
2022-01-17,jagakarsa,,92.66666666666663,92.66666666666664,,
2022-01-18,jagakarsa,,69.5,69.49999999999999,,
2022-01-19,jagakarsa,,46.333333333333314,49.642857142857125,,
2022-01-20,jagakarsa,,23.16666666666663,33.09523809523808,,
2022-01-21,jagakarsa,0.0,0.0,19.85714285714285,MCD19A2_A2022021_h28v09_061_2022349134615_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-01-22,jagakarsa,,0.0,9.92857142857142,,
2022-01-23,jagakarsa,,0.0,3.309523809523804,,
2022-01-24,jagakarsa,,0.0,0.0,,
2022-01-25,jagakarsa,,0.0,0.0,,
2022-01-26,jagakarsa,,0.0,0.0,,
2022-01-27,jagakarsa,,0.0,0.0,,
2022-01-28,jagakarsa,,0.0,0.0,,
2022-01-29,jagakarsa,,0.0,0.0,,
2022-01-30,jagakarsa,,0.0,0.0,,
2022-01-31,jagakarsa,,0.0,0.0,,
2022-02-01,jagakarsa,,0.0,0.0,,
2022-02-02,jagakarsa,,0.0,0.0,,
2022-02-03,jagakarsa,,0.0,0.0,,
2022-02-04,jagakarsa,,0.0,0.0,,
2022-02-05,jagakarsa,,0.0,0.0,,
2022-02-06,jagakarsa,,0.0,0.0,,
2022-02-07,jagakarsa,,0.0,0.0,,
2022-02-08,jagakarsa,,0.0,0.0,,
2022-02-09,jagakarsa,,0.0,0.0,,
2022-02-10,jagakarsa,,0.0,0.0,,
2022-02-11,jagakarsa,,0.0,0.0,,
2022-02-12,jagakarsa,,0.0,0.0,,
2022-02-13,jagakarsa,,0.0,0.0,,
2022-02-14,jagakarsa,,0.0,0.0,,
2022-02-15,jagakarsa,,0.0,0.0,,
2022-02-16,jagakarsa,,0.0,0.0,,
2022-02-17,jagakarsa,,0.0,0.0,,
2022-02-18,jagakarsa,,0.0,0.0,,
2022-02-19,jagakarsa,,0.0,0.0,,
2022-02-20,jagakarsa,,0.0,0.0,,
2022-02-21,jagakarsa,,0.0,7.0,,
2022-02-22,jagakarsa,0.0,0.0,21.0,MCD19A2_A2022053_h28v09_061_2024229173749_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-02-22,jagakarsa,0.0,0.0,42.0,MCD19A2_A2022053_h28v09_061_2022354000342_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-02-23,jagakarsa,,49.0,70.0,,
2022-02-24,jagakarsa,,98.0,105.0,,
2022-02-25,jagakarsa,,147.0,141.17142857142858,,
2022-02-26,jagakarsa,,196.0,178.5142857142857,,
2022-02-27,jagakarsa,245.0,245.0,210.02857142857144,MCD19A2_A2022058_h28v09_061_2024229193339_02_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-02-28,jagakarsa,,253.2,235.71428571428572,,
2022-03-01,jagakarsa,,261.4,255.57142857142858,,
2022-03-02,jagakarsa,,269.6,269.6,,
2022-03-03,jagakarsa,,277.8,277.8,,
2022-03-04,jagakarsa,,286.0,286.0,,
2022-03-05,jagakarsa,,294.2,294.2,,
2022-03-06,jagakarsa,,302.4,302.40000000000003,,
2022-03-07,jagakarsa,,310.6,310.59999999999997,,
2022-03-08,jagakarsa,,318.8,318.8,,
2022-03-09,jagakarsa,,327.0,327.0,,
2022-03-10,jagakarsa,,335.2,335.2,,
2022-03-11,jagakarsa,,343.4,343.4,,
2022-03-12,jagakarsa,,351.6,312.85714285714283,,
2022-03-13,jagakarsa,,359.79999999999995,281.64285714285717,,
2022-03-14,jagakarsa,368.0,368.0,249.75714285714284,MCD19A2_A2022073_h28v09_061_2022354092520_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-03-14,jagakarsa,105.0,105.0,217.20000000000002,MCD19A2_A2022073_h28v09_061_2024230032858_01_2_0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022-03-15,jagakarsa,,108.5,183.97142857142856,,
2022-03-16,jagakarsa,,112.0,150.07142857142858,,
2022-03-17,jagakarsa,,115.5,115.5,,
