datetime,ISPU_PM25,temp,dew,humidity,precip,windspeed,AOD,year,month,day
2022-01-01,53.0,27.552633,23.291676,77.6,0.0,3.4626694,0.112,2022,1,1
2022-01-02,53.0,26.869137,23.168165,80.2,0.0,2.6185215,0.112,2022,1,2
2022-01-03,53.0,27.825922,22.565855,73.1,0.0,1.1868448,0.112,2022,1,3
2022-01-04,53.0,27.53386,23.212856,77.3,0.0,1.4651548,0.112,2022,1,4
2022-01-05,53.0,27.796076,23.56397,77.8,0.0,1.433192,0.112,2022,1,5
2022-01-06,53.0,26.791426,23.892963,84.2,0.0,2.008004,0.579941176470588,2022,1,6
2022-01-07,53.0,27.48711,23.28289,77.9,0.0,2.1337502,0.564647058823529,2022,1,7
2022-01-08,53.0,27.56408,23.741129,79.7,0.0,1.7624629,0.549352941176471,2022,1,8
2022-01-09,53.0,27.25908,24.030565,82.6,0.0,1.948848,0.534058823529412,2022,1,9
2022-01-10,53.0,26.6136,23.898603,85.1,0.0,3.2119415,0.456185185185185,2022,1,10
2022-01-11,53.0,26.027826,23.520086,86.1,0.0,2.951024,0.362666666666667,2022,1,11
2022-01-12,53.0,25.994562,23.484385,86.1,0.0,2.2979684,0.269148148148148,2022,1,12
2022-01-13,49.92,26.124807,23.609465,86.1,0.0,1.9773006,0.17562962962963,2022,1,13
2022-01-14,46.92,26.40135,23.87028,86.0,0.0,1.8963135,0.0821111111111111,2022,1,14
2022-01-15,52.75,26.404062,23.913507,86.2,0.0,1.818485,0.0383809523809524,2022,1,15
2022-01-16,52.12,26.477076,24.306986,87.9,0.0,1.6806377,0.0693333333333333,2022,1,16
2022-01-17,51.5,27.060017,23.881266,82.8,0.0,2.7646508,0.100285714285714,2022,1,17
2022-01-18,51.07,25.91132,23.676872,87.5,0.0,2.6524522,0.131238095238095,2022,1,18
2022-01-19,39.69,26.341516,23.359087,83.7,0.0,3.4749887,0.172947368421053,2022,1,19
2022-01-20,48.63,25.420826,22.504099,83.9,0.0,2.473528,0.257684210526316,2022,1,20
2022-01-21,42.38,26.566633,23.384806,82.7,0.0,2.7104976,0.342421052631579,2022,1,21
2022-01-22,48.85,26.347143,23.62562,85.0,0.0,2.2815561,0.427157894736842,2022,1,22
2022-01-23,51.25,27.904146,23.594225,77.4,0.0,2.778515,0.49275,2022,1,23
2022-01-24,51.22,27.918432,23.572248,77.3,0.0,3.4308121,0.529625,2022,1,24
2022-01-25,44.0,27.222637,23.806288,81.6,0.0,3.1949742,0.5665,2022,1,25
2022-01-26,48.42,26.662464,23.9828,85.3,0.0,2.7196136,0.569,2022,1,26
2022-01-27,53.42,27.502583,23.889177,80.7,0.0,2.2909057,0.434,2022,1,27
2022-01-28,57.88,27.198885,23.546623,80.5,0.0,1.972473,0.547,2022,1,28
2022-01-29,81.11,26.9285,23.760792,82.8,0.0,1.6710299,0.549,2022,1,29
2022-01-30,91.0,26.986494,24.03386,83.9,0.0,1.8383046,0.2605,2022,1,30
2022-01-31,91.79,26.931429,23.795118,83.0,0.0,2.5373354,0.559666666666667,2022,1,31
2022-02-01,54.83,26.9491,23.528608,81.6,0.0,1.8754047,0.489636363636364,2022,2,1
2022-02-02,60.44,26.899086,23.886536,83.6,0.0,1.5918207,0.394181818181818,2022,2,2
2022-02-03,53.6,27.26652,23.886667,81.8,0.0,1.3811907,0.514333333333333,2022,2,3
2022-02-04,46.35,26.493767,23.86232,85.5,0.0,1.8722262,0.685272727272727,2022,2,4
2022-02-05,57.57,25.824198,23.660084,87.9,0.0,2.6193194,0.965727272727273,2022,2,5
2022-02-06,23.84,26.640331,23.685324,83.9,0.0,2.7615602,0.643285714285714,2022,2,6
2022-02-07,35.53,26.891087,23.544207,81.9,0.0,2.1612122,0.384714285714286,2022,2,7
2022-02-08,53.9,25.805603,23.999403,89.8,0.0,1.6002569,0.408529411764706,2022,2,8
2022-02-09,67.1,26.367994,23.177586,82.7,0.0,3.071683,0.502941176470588,2022,2,9
2022-02-10,26.1,26.336905,22.936558,81.6,0.0,2.752158,0.597352941176471,2022,2,10
2022-02-11,54.35,27.340342,23.326708,78.8,0.0,2.4391274,0.616666666666667,2022,2,11
2022-02-12,61.68,27.103146,23.914038,82.7,0.0,2.0150058,0.542,2022,2,12
2022-02-13,66.57,26.193289,23.600634,85.7,0.0,1.1549057,0.455875,2022,2,13
2022-02-14,65.17,26.772932,22.707077,78.4,0.0,1.7049974,0.390666666666667,2022,2,14
2022-02-15,66.53,27.415396,23.184523,77.7,0.0,1.1562783,0.325458333333333,2022,2,15
