datetime,station_name,ispu_pm25
1/1/2022,bundaran_hi,53
1/1/2022,jagakarsa,52.75
1/1/2022,kebun_jeruk,51.75
1/1/2022,kelapa_gading,86.55
1/1/2022,lubang_buaya,50.75
1/2/2022,bundaran_hi,53
1/2/2022,jagakarsa,52.75
1/2/2022,kebun_jeruk,51.75
1/2/2022,kelapa_gading,86.55
1/2/2022,lubang_buaya,50.75
1/3/2022,bundaran_hi,53
1/3/2022,jagakarsa,52.75
1/3/2022,kebun_jeruk,51.75
1/3/2022,kelapa_gading,86.55
1/3/2022,lubang_buaya,50.75
1/4/2022,bundaran_hi,53
1/4/2022,jagakarsa,52.75
1/4/2022,kebun_jeruk,51.75
1/4/2022,kelapa_gading,86.55
1/4/2022,lubang_buaya,50.75
1/5/2022,bundaran_hi,53
1/5/2022,jagakarsa,52.75
1/5/2022,kebun_jeruk,51.75
1/5/2022,kelapa_gading,86.55
1/5/2022,lubang_buaya,50.75
1/6/2022,bundaran_hi,53
1/6/2022,jagakarsa,52.75
1/6/2022,kebun_jeruk,51.75
1/6/2022,kelapa_gading,86.55
1/6/2022,lubang_buaya,50.75
1/7/2022,bundaran_hi,53
1/7/2022,jagakarsa,52.75
1/7/2022,kebun_jeruk,51.75
1/7/2022,kelapa_gading,80.15
1/7/2022,lubang_buaya,50.75
1/8/2022,bundaran_hi,53
1/8/2022,jagakarsa,52.75
1/8/2022,kebun_jeruk,51.75
1/8/2022,kelapa_gading,58.67
1/8/2022,lubang_buaya,50.75
1/9/2022,bundaran_hi,53
1/9/2022,jagakarsa,52.75
1/9/2022,kebun_jeruk,51.75
1/9/2022,kelapa_gading,67.6
1/9/2022,lubang_buaya,50.75
1/10/2022,bundaran_hi,53
1/10/2022,jagakarsa,52.75
1/10/2022,kebun_jeruk,51.75
1/10/2022,kelapa_gading,53.95
1/10/2022,lubang_buaya,50.75
1/11/2022,bundaran_hi,53
1/11/2022,jagakarsa,52.75
1/11/2022,kebun_jeruk,51.75
1/11/2022,kelapa_gading,43.13
1/11/2022,lubang_buaya,50.75
1/12/2022,bundaran_hi,53
1/12/2022,jagakarsa,52.75
1/12/2022,kebun_jeruk,51.75
1/12/2022,kelapa_gading,50.19
1/12/2022,lubang_buaya,50.75
1/13/2022,bundaran_hi,49.92
1/13/2022,jagakarsa,54.67
1/13/2022,kebun_jeruk,50.83
1/13/2022,kelapa_gading,53.93
1/13/2022,lubang_buaya,53.75
1/14/2022,bundaran_hi,46.92
1/14/2022,jagakarsa,60.92
1/14/2022,kebun_jeruk,52.92
1/14/2022,kelapa_gading,52.63
1/14/2022,lubang_buaya,54.17
1/15/2022,bundaran_hi,52.75
1/15/2022,jagakarsa,68.83
1/15/2022,kebun_jeruk,59.83
1/15/2022,kelapa_gading,55.71
1/15/2022,lubang_buaya,52.08
1/16/2022,bundaran_hi,52.12
1/16/2022,jagakarsa,80.92
1/16/2022,kebun_jeruk,66.97
1/16/2022,kelapa_gading,70.98
1/16/2022,lubang_buaya,52.99
1/17/2022,bundaran_hi,51.5
1/17/2022,jagakarsa,93
1/17/2022,kebun_jeruk,74.1
1/17/2022,kelapa_gading,69.37
1/17/2022,lubang_buaya,53.9
1/18/2022,bundaran_hi,51.07
1/18/2022,jagakarsa,62.13
1/18/2022,kebun_jeruk,62.93
1/18/2022,kelapa_gading,58.6
1/18/2022,lubang_buaya,36.53
1/19/2022,bundaran_hi,39.69
1/19/2022,jagakarsa,57.5
1/19/2022,kebun_jeruk,49.31
1/19/2022,kelapa_gading,53.68
1/19/2022,lubang_buaya,37.25
1/20/2022,bundaran_hi,48.63
1/20/2022,jagakarsa,58.68
1/20/2022,kebun_jeruk,54.26
1/20/2022,kelapa_gading,52.5
1/20/2022,lubang_buaya,46.53
1/21/2022,bundaran_hi,42.38
1/21/2022,jagakarsa,53.85
1/21/2022,kebun_jeruk,54.08
1/21/2022,kelapa_gading,50.07
1/21/2022,lubang_buaya,36.38
1/22/2022,bundaran_hi,48.85
1/22/2022,jagakarsa,68.31
1/22/2022,kebun_jeruk,59
1/22/2022,kelapa_gading,49.46
1/22/2022,lubang_buaya,25.19
1/23/2022,bundaran_hi,51.25
1/23/2022,jagakarsa,73.44
1/23/2022,kebun_jeruk,58.31
1/23/2022,kelapa_gading,50.77
1/23/2022,lubang_buaya,14
1/24/2022,bundaran_hi,51.22
1/24/2022,jagakarsa,73.22
1/24/2022,kebun_jeruk,58.33
1/24/2022,kelapa_gading,53.47
1/24/2022,lubang_buaya,50.44
1/25/2022,bundaran_hi,44
1/25/2022,jagakarsa,56.29
1/25/2022,kebun_jeruk,55.29
1/25/2022,kelapa_gading,36.83
1/25/2022,lubang_buaya,37.14
1/26/2022,bundaran_hi,48.42
1/26/2022,jagakarsa,54.08
1/26/2022,kebun_jeruk,56.08
1/26/2022,kelapa_gading,53.26
1/26/2022,lubang_buaya,43.42
1/27/2022,bundaran_hi,53.42
1/27/2022,jagakarsa,75.25
1/27/2022,kebun_jeruk,64.92
1/27/2022,kelapa_gading,50.01
1/27/2022,lubang_buaya,49
1/28/2022,bundaran_hi,57.88
1/28/2022,jagakarsa,82.18
1/28/2022,kebun_jeruk,66.18
1/28/2022,kelapa_gading,56.32
1/28/2022,lubang_buaya,55.71
1/29/2022,bundaran_hi,81.11
1/29/2022,jagakarsa,87.11
1/29/2022,kebun_jeruk,98.16
1/29/2022,kelapa_gading,72.57
1/29/2022,lubang_buaya,89.89
1/30/2022,bundaran_hi,91
1/30/2022,jagakarsa,108.47
1/30/2022,kebun_jeruk,128.63
1/30/2022,kelapa_gading,93.38
1/30/2022,lubang_buaya,97.74
1/31/2022,bundaran_hi,91.79
1/31/2022,jagakarsa,97
1/31/2022,kebun_jeruk,120.21
1/31/2022,kelapa_gading,109.55
1/31/2022,lubang_buaya,98.07
2/1/2022,bundaran_hi,54.83
2/1/2022,jagakarsa,88.42
2/1/2022,kebun_jeruk,74.92
2/1/2022,kelapa_gading,59.07
2/1/2022,lubang_buaya,53.92
2/2/2022,bundaran_hi,60.44
2/2/2022,jagakarsa,93.22
2/2/2022,kebun_jeruk,87.33
2/2/2022,kelapa_gading,65.55
2/2/2022,lubang_buaya,55.67
2/3/2022,bundaran_hi,53.6
2/3/2022,jagakarsa,83
2/3/2022,kebun_jeruk,73.85
2/3/2022,kelapa_gading,52.45
2/3/2022,lubang_buaya,62.45
2/4/2022,bundaran_hi,46.35
2/4/2022,jagakarsa,74.95
2/4/2022,kebun_jeruk,56.85
2/4/2022,kelapa_gading,52.06
2/4/2022,lubang_buaya,45.7
2/5/2022,bundaran_hi,57.57
2/5/2022,jagakarsa,58.81
2/5/2022,kebun_jeruk,63.24
2/5/2022,kelapa_gading,57.19
2/5/2022,lubang_buaya,54.43
2/6/2022,bundaran_hi,23.84
2/6/2022,jagakarsa,10.84
2/6/2022,kebun_jeruk,26.74
2/6/2022,kelapa_gading,52
2/6/2022,lubang_buaya,25
2/7/2022,bundaran_hi,35.53
2/7/2022,jagakarsa,58.32
2/7/2022,kebun_jeruk,53.47
2/7/2022,kelapa_gading,47.05
2/7/2022,lubang_buaya,42.05
2/8/2022,bundaran_hi,53.9
2/8/2022,jagakarsa,71.5
2/8/2022,kebun_jeruk,76.85
2/8/2022,kelapa_gading,53.29
2/8/2022,lubang_buaya,64.8
2/9/2022,bundaran_hi,67.1
2/9/2022,jagakarsa,89
2/9/2022,kebun_jeruk,88.81
2/9/2022,kelapa_gading,76.68
2/9/2022,lubang_buaya,81.48
2/10/2022,bundaran_hi,26.1
2/10/2022,jagakarsa,35.71
2/10/2022,kebun_jeruk,40.24
2/10/2022,kelapa_gading,52.15
2/10/2022,lubang_buaya,31.71
2/11/2022,bundaran_hi,54.35
2/11/2022,jagakarsa,74.4
2/11/2022,kebun_jeruk,82.55
2/11/2022,kelapa_gading,58.29
2/11/2022,lubang_buaya,59.95
2/12/2022,bundaran_hi,61.68
2/12/2022,jagakarsa,69.32
2/12/2022,kebun_jeruk,70.84
2/12/2022,kelapa_gading,63.76
2/12/2022,lubang_buaya,58.89
2/13/2022,bundaran_hi,66.57
2/13/2022,jagakarsa,94.57
2/13/2022,kebun_jeruk,89.62
2/13/2022,kelapa_gading,70.15
2/13/2022,lubang_buaya,66.57
2/14/2022,bundaran_hi,65.17
2/14/2022,jagakarsa,88.39
2/14/2022,kebun_jeruk,92.28
2/14/2022,kelapa_gading,80.71
2/14/2022,lubang_buaya,86.72
2/15/2022,bundaran_hi,66.53
2/15/2022,jagakarsa,108.76
2/15/2022,kebun_jeruk,112.29
2/15/2022,kelapa_gading,73.27
2/15/2022,lubang_buaya,85.53
2/16/2022,bundaran_hi,73.1
2/16/2022,jagakarsa,72.6
2/16/2022,kebun_jeruk,90.7
2/16/2022,kelapa_gading,65.84
2/16/2022,lubang_buaya,79.1
2/17/2022,bundaran_hi,68
2/17/2022,jagakarsa,67.21
2/17/2022,kebun_jeruk,88.6
2/17/2022,kelapa_gading,58.41
2/17/2022,lubang_buaya,74.36
2/18/2022,bundaran_hi,67.87
2/18/2022,jagakarsa,66.25
2/18/2022,kebun_jeruk,86.5
2/18/2022,kelapa_gading,50.98
2/18/2022,lubang_buaya,73.2
2/19/2022,bundaran_hi,67.73
2/19/2022,jagakarsa,65.28
2/19/2022,kebun_jeruk,84.4
2/19/2022,kelapa_gading,43.55
2/19/2022,lubang_buaya,72.04
2/20/2022,bundaran_hi,67.6
2/20/2022,jagakarsa,64.31
2/20/2022,kebun_jeruk,82.3
2/20/2022,kelapa_gading,36.12
2/20/2022,lubang_buaya,70.88
2/21/2022,bundaran_hi,67.47
2/21/2022,jagakarsa,63.34
2/21/2022,kebun_jeruk,80.2
2/21/2022,kelapa_gading,28.69
2/21/2022,lubang_buaya,69.72
2/22/2022,bundaran_hi,67.33
2/22/2022,jagakarsa,62.37
2/22/2022,kebun_jeruk,78.1
2/22/2022,kelapa_gading,21.26
2/22/2022,lubang_buaya,68.56
2/23/2022,bundaran_hi,67.2
2/23/2022,jagakarsa,61.4
2/23/2022,kebun_jeruk,76
2/23/2022,kelapa_gading,13.83
2/23/2022,lubang_buaya,67.4
2/24/2022,bundaran_hi,48.24
2/24/2022,jagakarsa,6.76
2/24/2022,kebun_jeruk,50.47
2/24/2022,kelapa_gading,55.64
2/24/2022,lubang_buaya,54.65
2/25/2022,bundaran_hi,41.45
2/25/2022,jagakarsa,50.5
2/25/2022,kebun_jeruk,51.5
2/25/2022,kelapa_gading,39.95
2/25/2022,lubang_buaya,54.64
2/26/2022,bundaran_hi,34
2/26/2022,jagakarsa,54.85
2/26/2022,kebun_jeruk,50.15
2/26/2022,kelapa_gading,33.06
2/26/2022,lubang_buaya,41.4
2/27/2022,bundaran_hi,37.79
2/27/2022,jagakarsa,43
2/27/2022,kebun_jeruk,54.29
2/27/2022,kelapa_gading,41.32
2/27/2022,lubang_buaya,40.5
2/28/2022,bundaran_hi,32.67
2/28/2022,jagakarsa,30.14
2/28/2022,kebun_jeruk,47.76
2/28/2022,kelapa_gading,36.99
2/28/2022,lubang_buaya,38.52
3/1/2022,bundaran_hi,36.75
3/1/2022,jagakarsa,26.4
3/1/2022,kebun_jeruk,48.75
3/1/2022,kelapa_gading,50.1
3/1/2022,lubang_buaya,24.55
3/2/2022,bundaran_hi,36.32
3/2/2022,jagakarsa,27.32
3/2/2022,kebun_jeruk,50.53
3/2/2022,kelapa_gading,47.86
3/2/2022,lubang_buaya,48.32
3/3/2022,bundaran_hi,36.15
3/3/2022,jagakarsa,32.95
3/3/2022,kebun_jeruk,47.25
3/3/2022,kelapa_gading,48.21
3/3/2022,lubang_buaya,46.2
3/4/2022,bundaran_hi,40.14
3/4/2022,jagakarsa,49.48
3/4/2022,kebun_jeruk,52
3/4/2022,kelapa_gading,41.61
3/4/2022,lubang_buaya,45.76
3/5/2022,bundaran_hi,51.53
3/5/2022,jagakarsa,59.58
3/5/2022,kebun_jeruk,65.26
3/5/2022,kelapa_gading,50.82
3/5/2022,lubang_buaya,55.05
3/6/2022,bundaran_hi,38.38
3/6/2022,jagakarsa,41.38
3/6/2022,kebun_jeruk,46.67
3/6/2022,kelapa_gading,50.31
3/6/2022,lubang_buaya,48.81
3/7/2022,bundaran_hi,5.28
3/7/2022,jagakarsa,45.61
3/7/2022,kebun_jeruk,38.83
3/7/2022,kelapa_gading,29.42
3/7/2022,lubang_buaya,37.28
3/8/2022,bundaran_hi,37.6
3/8/2022,jagakarsa,63.25
3/8/2022,kebun_jeruk,47.5
3/8/2022,kelapa_gading,41.55
3/8/2022,lubang_buaya,57.8
3/9/2022,bundaran_hi,63.74
3/9/2022,jagakarsa,63.21
3/9/2022,kebun_jeruk,66.74
3/9/2022,kelapa_gading,59.13
