datetime,ISPU_PM25,temp,dew,humidity,precip,windspeed,AOD,year,month,day
2022-01-01,86.55,27.552633,23.291676,77.6,0.0,3.4626694,0.112,2022,1,1
2022-01-02,86.55,26.869137,23.168165,80.2,0.0,2.6185215,0.112,2022,1,2
2022-01-03,86.55,27.825922,22.565855,73.1,0.0,1.1868448,0.112,2022,1,3
2022-01-04,86.55,27.53386,23.212856,77.3,0.0,1.4651548,0.112,2022,1,4
2022-01-05,86.55,27.796076,23.56397,77.8,0.0,1.433192,0.112,2022,1,5
2022-01-06,86.55,26.791426,23.892963,84.2,0.0,2.008004,0.576882352941176,2022,1,6
2022-01-07,80.15,27.48711,23.28289,77.9,0.0,2.1337502,0.561588235294118,2022,1,7
2022-01-08,58.67,27.56408,23.741129,79.7,0.0,1.7624629,0.546294117647059,2022,1,8
2022-01-09,67.6,27.25908,24.030565,82.6,0.0,1.948848,0.531,2022,1,9
2022-01-10,53.95,26.6136,23.898603,85.1,0.0,3.2119415,0.437481481481482,2022,1,10
2022-01-11,43.13,26.027826,23.520086,86.1,0.0,2.951024,0.343962962962963,2022,1,11
2022-01-12,50.19,25.994562,23.484385,86.1,0.0,2.2979684,0.250444444444445,2022,1,12
2022-01-13,53.93,26.124807,23.609465,86.1,0.0,1.9773006,0.156925925925926,2022,1,13
2022-01-14,52.63,26.40135,23.87028,86.0,0.0,1.8963135,0.0634074074074074,2022,1,14
2022-01-15,55.71,26.404062,23.913507,86.2,0.0,1.818485,0.0445714285714286,2022,1,15
2022-01-16,70.98,26.477076,24.306986,87.9,0.0,1.6806377,0.0755238095238095,2022,1,16
2022-01-17,69.37,27.060017,23.881266,82.8,0.0,2.7646508,0.106476190476191,2022,1,17
2022-01-18,58.6,25.91132,23.676872,87.5,0.0,2.6524522,0.137428571428571,2022,1,18
2022-01-19,53.68,26.341516,23.359087,83.7,0.0,3.4749887,0.189894736842105,2022,1,19
2022-01-20,52.5,25.420826,22.504099,83.9,0.0,2.473528,0.274631578947368,2022,1,20
2022-01-21,50.07,26.566633,23.384806,82.7,0.0,2.7104976,0.359368421052632,2022,1,21
2022-01-22,49.46,26.347143,23.62562,85.0,0.0,2.2815561,0.444105263157895,2022,1,22
2022-01-23,50.77,27.904146,23.594225,77.4,0.0,2.778515,0.500125,2022,1,23
2022-01-24,53.47,27.918432,23.572248,77.3,0.0,3.4308121,0.537,2022,1,24
2022-01-25,36.83,27.222637,23.806288,81.6,0.0,3.1949742,0.573875,2022,1,25
2022-01-26,53.26,26.662464,23.9828,85.3,0.0,2.7196136,0.542,2022,1,26
2022-01-27,50.01,27.502583,23.889177,80.7,0.0,2.2909057,0.407,2022,1,27
2022-01-28,56.32,27.198885,23.546623,80.5,0.0,1.972473,0.508333333333333,2022,1,28
2022-01-29,72.57,26.9285,23.760792,82.8,0.0,1.6710299,0.608,2022,1,29
2022-01-30,93.38,26.986494,24.03386,83.9,0.0,1.8383046,0.356,2022,1,30
2022-01-31,109.55,26.931429,23.795118,83.0,0.0,2.5373354,0.566,2022,1,31
2022-02-01,59.07,26.9491,23.528608,81.6,0.0,1.8754047,0.470545454545454,2022,2,1
