datetime,ISPU_PM25,temp,dew,humidity,precip,windspeed,AOD,year,month,day
2022-01-01,50.75,27.552633,23.291676,77.6,0.0,3.4626694,0.112,2022,1,1
2022-01-02,50.75,26.869137,23.168165,80.2,0.0,2.6185215,0.112,2022,1,2
2022-01-03,50.75,27.825922,22.565855,73.1,0.0,1.1868448,0.112,2022,1,3
2022-01-04,50.75,27.53386,23.212856,77.3,0.0,1.4651548,0.112,2022,1,4
2022-01-05,50.75,27.796076,23.56397,77.8,0.0,1.433192,0.583,2022,1,5
2022-01-06,50.75,26.791426,23.892963,84.2,0.0,2.008004,0.567705882352941,2022,1,6
2022-01-07,50.75,27.48711,23.28289,77.9,0.0,2.1337502,0.552411764705882,2022,1,7
2022-01-08,50.75,27.56408,23.741129,79.7,0.0,1.7624629,0.537117647058824,2022,1,8
2022-01-09,50.75,27.25908,24.030565,82.6,0.0,1.948848,0.474888888888889,2022,1,9
2022-01-10,50.75,26.6136,23.898603,85.1,0.0,3.2119415,0.38137037037037,2022,1,10
2022-01-11,50.75,26.027826,23.520086,86.1,0.0,2.951024,0.287851851851852,2022,1,11
2022-01-12,50.75,25.994562,23.484385,86.1,0.0,2.2979684,0.194333333333333,2022,1,12
2022-01-13,53.75,26.124807,23.609465,86.1,0.0,1.9773006,0.100814814814815,2022,1,13
2022-01-14,54.17,26.40135,23.87028,86.0,0.0,1.8963135,0.0321904761904762,2022,1,14
2022-01-15,52.08,26.404062,23.913507,86.2,0.0,1.818485,0.0631428571428571,2022,1,15
2022-01-16,52.99,26.477076,24.306986,87.9,0.0,1.6806377,0.0940952380952381,2022,1,16
2022-01-17,53.9,27.060017,23.881266,82.8,0.0,2.7646508,0.125047619047619,2022,1,17
2022-01-18,36.53,25.91132,23.676872,87.5,0.0,2.6524522,0.156,2022,1,18
2022-01-19,37.25,26.341516,23.359087,83.7,0.0,3.4749887,0.240736842105263,2022,1,19
2022-01-20,46.53,25.420826,22.504099,83.9,0.0,2.473528,0.325473684210526,2022,1,20
2022-01-21,36.38,26.566633,23.384806,82.7,0.0,2.7104976,0.41021052631579,2022,1,21
2022-01-22,25.19,26.347143,23.62562,85.0,0.0,2.2815561,0.485375,2022,1,22
2022-01-23,14.0,27.904146,23.594225,77.4,0.0,2.778515,0.52225,2022,1,23
2022-01-24,50.44,27.918432,23.572248,77.3,0.0,3.4308121,0.559125,2022,1,24
