epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
1000,0.0001,adam,16,0.4623034944956693,0.1405071135594145,-0.07452947370682085,-221.13506318731996,2021185902292007.0
1000,0.0001,adam,32,0.4783958293502175,0.138388573536754,-0.025926094201168887,-181.4334250234626,1859045041676739.5
1000,0.0001,adam,64,0.1762270100162895,0.17391357363609053,-0.09437581107822317,-194.56417175991365,2087393278284981.8
1000,0.0001,rmsprop,16,0.09324933006751124,0.18246251120945778,-0.08359615102108466,-166.8020556359899,2051432335309785.5
1000,0.0001,rmsprop,32,-0.11691301156908396,0.20250669242109737,-0.08314890337461159,-161.02619047237383,2049940317284600.8
1000,0.0001,rmsprop,64,0.21152078628598237,0.17014720897964766,-0.10856214083153376,-218.0179216016916,2134718870426292.2
1000,0.0001,sgd,16,0.07543225145673738,0.18424642724973367,-0.04403880133923041,-143.2794502842411,1919469027689808.5
1000,0.0001,sgd,32,0.2768412630966649,0.16294705807845872,-0.07348236734366563,-182.99104919199405,2017692755753541.5
1000,0.0001,sgd,64,0.20964820441723298,0.17034913290205098,-0.08336326728514534,-184.87259668147638,2050655435230974.5
1000,0.0001,nadam,16,0.16093025229205626,0.17552085940957918,0.0634564672882189,-159.10501292537327,1560864841219675.5
1000,0.0001,nadam,32,0.09320620487075848,0.18246685012995686,-0.07093383741849588,-156.9148687177687,2009190860626623.0
1000,0.0001,nadam,64,0.2613283188284137,0.1646855254980877,-0.09386378753214558,-206.69386374028448,2085685167876597.8
1000,0.001,adam,16,0.7587486860966794,0.09411623572274107,-0.03199658631424696,-232.91395545553914,1879296201690384.5
1000,0.001,adam,32,0.45874283058321175,0.14097156988519824,-0.07736779788276146,-205.95900463500178,2030654550959504.2
1000,0.001,adam,64,0.4427071982372155,0.14304458494624508,-0.05165806396390036,-168.6625473190148,1944886885702626.5
1000,0.001,rmsprop,16,0.6201602631707945,0.1180945629758881,-0.019263803575066865,-187.08243013738453,1836819641987001.2
1000,0.001,rmsprop,32,0.5110469375478739,0.13398719349176152,-0.033266071756973666,-168.1567901295449,1883531204776909.5
1000,0.001,rmsprop,64,0.4869308189414959,0.13725168008443348,-0.07826986561468942,-216.4983918283228,2033663848664226.5
1000,0.001,sgd,16,0.5951006266625503,0.12192794592273615,-0.013831730299818655,-189.6728656480506,1818698247040144.2
1000,0.001,sgd,32,0.2627667863219637,0.16452509548294073,-0.11829541000201228,-249.26706046479683,2167189053692417.5
1000,0.001,sgd,64,0.5007999060284882,0.135383904275348,-0.01209625188097394,-159.05871035316812,1812908691513905.5
1000,0.001,nadam,16,0.5107521460668434,0.1340275780752958,-0.033546995732812224,-179.20479957299352,1884468367082767.2
1000,0.001,nadam,32,0.5174116342067054,0.13311228207233544,-0.04725910982850009,-177.83550180728147,1930211975921139.5
1000,0.001,nadam,64,0.5081394993425472,0.1343849638769982,-0.0623595163251132,-188.4903844118785,1980586927825800.8
1000,0.01,adam,16,0.4498563427125932,0.14212411071519376,-0.08971980948389163,-226.10493946995766,2071860858251452.8
1000,0.01,adam,32,0.7483514989325664,0.09612290314857135,-0.04093401901398027,-229.68549481047916,1909111474709768.8
1000,0.01,adam,64,0.6285094235517752,0.11678944804145022,-0.0020952779410783008,-173.1153223060693,1779545445210901.5
1000,0.01,rmsprop,16,0.2333313517806097,0.16777743750174753,-0.08615280307251581,-174.3874090598278,2059961325847668.8
1000,0.01,rmsprop,32,0.5963447921635106,0.1217404730995435,0.04050272156544822,-187.2937824753613,1637438530615106.5
1000,0.01,rmsprop,64,-1.1117242027879777,0.2784506935108884,-0.20203861312983798,-284.08701345735165,2446556356211899.0
1000,0.01,sgd,16,0.5561358282691988,0.12765997365348764,-0.03224031070014429,-166.29914824732808,1880109266174459.0
1000,0.01,sgd,32,0.3669792996261799,0.1524539429830583,-0.0952727450841724,-202.1188708129748,2090385449881255.8
1000,0.01,sgd,64,-0.16033567032717633,0.20640562414521219,-0.07673311504199033,-155.64910862885978,2028537249177873.0
1000,0.01,nadam,16,0.21734901676742935,0.16951720095047149,-0.12494198155873938,-238.01108146760407,2189362014571059.5
1000,0.01,nadam,32,0.41277889594365713,0.14683531957446197,-0.023583374036975843,-148.18909363483115,1851229727855631.2
1000,0.01,nadam,64,-1.4845865221275298,0.30203464912505557,-0.23348458481305762,-334.44295138082106,2551460109067351.0
1000,0.1,adam,16,-0.006028698343605088,0.19219181583235737,-0.014851300420877362,-134.81096734811942,1822099532682568.2
1000,0.1,adam,32,-0.953617345036146,0.2678239780232746,0.18711798847575398,-262.7376088934541,1148330040671340.5
1000,0.1,adam,64,-0.04121626381493515,0.1955240465319289,-0.03890129112785097,-139.56419561501625,1902330295042711.2
1000,0.1,rmsprop,16,-0.6752815804462335,0.24801252385999573,0.1574629535804575,-225.16563158507986,1247259228896611.2
1000,0.1,rmsprop,32,-19.602900063020716,0.8697488899189385,-0.8483789184052252,-2780.3915085077965,4602747436206698.0
