datetime,Ispu Pm2.5,temp,dew,humidity,precip,windspeed,AOD,city
1/1/2022,53,27.553,23.292,77.6,0.496,3.463,0.112,DKI1 Bundaran HI
1/2/2022,53,26.869,23.168,80.2,0,2.619,0.112,DKI1 Bundaran HI
1/3/2022,53,27.826,22.566,73.1,0,1.187,0.112,DKI1 Bundaran HI
1/4/2022,53,27.534,23.213,77.3,0,1.465,0.112,DKI1 Bundaran HI
1/5/2022,53,27.796,23.564,77.8,27.896,1.433,0.112,DKI1 Bundaran HI
1/6/2022,53,26.791,23.893,84.2,13.511,2.008,0.58,DKI1 Bundaran HI
1/7/2022,53,27.487,23.283,77.9,0.339,2.134,0.565,DKI1 Bundaran HI
1/8/2022,53,27.564,23.741,79.7,0.006,1.762,0.549,DKI1 Bundaran HI
1/9/2022,53,27.259,24.031,82.6,0,1.949,0.534,DKI1 Bundaran HI
1/10/2022,53,26.614,23.899,85.1,11.093,3.212,0.456,DKI1 Bundaran HI
1/11/2022,53,26.028,23.52,86.1,61.27,2.951,0.363,DKI1 Bundaran HI
1/12/2022,53,25.995,23.484,86.1,19.686,2.298,0.269,DKI1 Bundaran HI
1/13/2022,49.92,26.125,23.609,86.1,0.752,1.977,0.176,DKI1 Bundaran HI
1/14/2022,46.92,26.401,23.87,86,13.302,1.896,0.082,DKI1 Bundaran HI
1/15/2022,52.75,26.404,23.914,86.2,3.657,1.818,0.038,DKI1 Bundaran HI
1/16/2022,52.12,26.477,24.307,87.9,11.826,1.681,0.069,DKI1 Bundaran HI
1/17/2022,51.5,27.06,23.881,82.8,5.967,2.765,0.1,DKI1 Bundaran HI
1/18/2022,51.07,25.911,23.677,87.5,163.023,2.652,0.131,DKI1 Bundaran HI
1/19/2022,39.69,26.342,23.359,83.7,53.715,3.475,0.173,DKI1 Bundaran HI
1/20/2022,48.63,25.421,22.504,83.9,0.154,2.474,0.258,DKI1 Bundaran HI
1/21/2022,42.38,26.567,23.385,82.7,0.511,2.71,0.342,DKI1 Bundaran HI
1/22/2022,48.85,26.347,23.626,85,8.921,2.282,0.427,DKI1 Bundaran HI
1/23/2022,51.25,27.904,23.594,77.4,0,2.779,0.493,DKI1 Bundaran HI
1/24/2022,51.22,27.918,23.572,77.3,0,3.431,0.53,DKI1 Bundaran HI
1/25/2022,44,27.223,23.806,81.6,4.895,3.195,0.567,DKI1 Bundaran HI
1/26/2022,48.42,26.662,23.983,85.3,0.753,2.72,0.569,DKI1 Bundaran HI
1/27/2022,53.42,27.503,23.889,80.7,0.006,2.291,0.434,DKI1 Bundaran HI
1/28/2022,57.88,27.199,23.547,80.5,4.923,1.972,0.547,DKI1 Bundaran HI
