datetime,Ispu Pm2.5,temp,dew,humidity,precip,windspeed,AOD,city
1/1/2022,53.00 ,27.55 ,23.29 ,77.60 ,0.50 ,3.46 ,0.11,DKI1 Bundaran HI
1/2/2022,53.00 ,26.87 ,23.17 ,80.20 ,0.00 ,2.62 ,0.11,DKI1 Bundaran HI
1/3/2022,53.00 ,27.83 ,22.57 ,73.10 ,0.00 ,1.19 ,0.11,DKI1 Bundaran HI
1/4/2022,53.00 ,27.53 ,23.21 ,77.30 ,0.00 ,1.47 ,0.11,DKI1 Bundaran HI
1/5/2022,53.00 ,27.80 ,23.56 ,77.80 ,27.90 ,1.43 ,0.11,DKI1 Bundaran HI
1/6/2022,53.00 ,26.79 ,23.89 ,84.20 ,13.51 ,2.01 ,0.579941176,DKI1 Bundaran HI
1/7/2022,53.00 ,27.49 ,23.28 ,77.90 ,0.34 ,2.13 ,0.564647059,DKI1 Bundaran HI
1/8/2022,53.00 ,27.56 ,23.74 ,79.70 ,0.01 ,1.76 ,0.549352941,DKI1 Bundaran HI
1/9/2022,53.00 ,27.26 ,24.03 ,82.60 ,0.00 ,1.95 ,0.534058824,DKI1 Bundaran HI
1/10/2022,53.00 ,26.61 ,23.90 ,85.10 ,11.09 ,3.21 ,0.456185185,DKI1 Bundaran HI
1/11/2022,53.00 ,26.03 ,23.52 ,86.10 ,61.27 ,2.95 ,0.362666667,DKI1 Bundaran HI
1/12/2022,53.00 ,25.99 ,23.48 ,86.10 ,19.69 ,2.30 ,0.269148148,DKI1 Bundaran HI
1/13/2022,49.92 ,26.12 ,23.61 ,86.10 ,0.75 ,1.98 ,0.17562963,DKI1 Bundaran HI
1/14/2022,46.92 ,26.40 ,23.87 ,86.00 ,13.30 ,1.90 ,0.082111111,DKI1 Bundaran HI
1/15/2022,52.75 ,26.40 ,23.91 ,86.20 ,3.66 ,1.82 ,0.038380952,DKI1 Bundaran HI
1/16/2022,52.12 ,26.48 ,24.31 ,87.90 ,11.83 ,1.68 ,0.069333333,DKI1 Bundaran HI
1/17/2022,51.50 ,27.06 ,23.88 ,82.80 ,5.97 ,2.77 ,0.100285714,DKI1 Bundaran HI
1/18/2022,51.07 ,25.91 ,23.68 ,87.50 ,163.02 ,2.65 ,0.131238095,DKI1 Bundaran HI
1/19/2022,39.69 ,26.34 ,23.36 ,83.70 ,53.72 ,3.48 ,0.172947368,DKI1 Bundaran HI
1/20/2022,48.63 ,25.42 ,22.50 ,83.90 ,0.15 ,2.47 ,0.257684211,DKI1 Bundaran HI
1/21/2022,42.38 ,26.57 ,23.38 ,82.70 ,0.51 ,2.71 ,0.342421053,DKI1 Bundaran HI
1/22/2022,48.85 ,26.35 ,23.63 ,85.00 ,8.92 ,2.28 ,0.427157895,DKI1 Bundaran HI
1/23/2022,51.25 ,27.90 ,23.59 ,77.40 ,0.00 ,2.78 ,0.49,DKI1 Bundaran HI
1/24/2022,51.22 ,27.92 ,23.57 ,77.30 ,0.00 ,3.43 ,0.53,DKI1 Bundaran HI
1/25/2022,44.00 ,27.22 ,23.81 ,81.60 ,4.90 ,3.20 ,0.57,DKI1 Bundaran HI
1/26/2022,48.42 ,26.66 ,23.98 ,85.30 ,0.75 ,2.72 ,0.57,DKI1 Bundaran HI
1/27/2022,53.42 ,27.50 ,23.89 ,80.70 ,0.01 ,2.29 ,0.43,DKI1 Bundaran HI
1/28/2022,57.88 ,27.20 ,23.55 ,80.50 ,4.92 ,1.97 ,0.55,DKI1 Bundaran HI
1/29/2022,81.11 ,26.93 ,23.76 ,82.80 ,0.00 ,1.67 ,0.55,DKI1 Bundaran HI
1/30/2022,91.00 ,26.99 ,24.03 ,83.90 ,0.00 ,1.84 ,0.26,DKI1 Bundaran HI
1/31/2022,91.79 ,26.93 ,23.80 ,83.00 ,0.00 ,2.54 ,0.559666667,DKI1 Bundaran HI
2/1/2022,54.83 ,26.95 ,23.53 ,81.60 ,0.00 ,1.88 ,0.489636364,DKI1 Bundaran HI
2/2/2022,60.44 ,26.90 ,23.89 ,83.60 ,4.40 ,1.59 ,0.394181818,DKI1 Bundaran HI
2/3/2022,53.60 ,27.27 ,23.89 ,81.80 ,1.03 ,1.38 ,0.514333333,DKI1 Bundaran HI
2/4/2022,46.35 ,26.49 ,23.86 ,85.50 ,101.87 ,1.87 ,0.685272727,DKI1 Bundaran HI
2/5/2022,57.57 ,25.82 ,23.66 ,87.90 ,42.91 ,2.62 ,0.965727273,DKI1 Bundaran HI
2/6/2022,23.84 ,26.64 ,23.69 ,83.90 ,0.08 ,2.76 ,0.643285714,DKI1 Bundaran HI
2/7/2022,35.53 ,26.89 ,23.54 ,81.90 ,12.73 ,2.16 ,0.384714286,DKI1 Bundaran HI
2/8/2022,53.90 ,25.81 ,24.00 ,89.80 ,68.18 ,1.60 ,0.408529412,DKI1 Bundaran HI
2/9/2022,67.10 ,26.37 ,23.18 ,82.70 ,1.24 ,3.07 ,0.502941176,DKI1 Bundaran HI
2/10/2022,26.10 ,26.34 ,22.94 ,81.60 ,0.01 ,2.75 ,0.597352941,DKI1 Bundaran HI
2/11/2022,54.35 ,27.34 ,23.33 ,78.80 ,0.39 ,2.44 ,0.616666667,DKI1 Bundaran HI
2/12/2022,61.68 ,27.10 ,23.91 ,82.70 ,0.00 ,2.02 ,0.54,DKI1 Bundaran HI
2/13/2022,66.57 ,26.19 ,23.60 ,85.70 ,0.01 ,1.16 ,0.46,DKI1 Bundaran HI
2/14/2022,65.17 ,26.77 ,22.71 ,78.40 ,23.56 ,1.71 ,0.390666667,DKI1 Bundaran HI
2/15/2022,66.53 ,27.42 ,23.18 ,77.70 ,2.11 ,1.16 ,0.325458333,DKI1 Bundaran HI
2/16/2022,73.10 ,27.24 ,23.33 ,79.20 ,47.03 ,1.31 ,0.26,DKI1 Bundaran HI
2/17/2022,68.00 ,26.36 ,23.82 ,86.00 ,0.03 ,1.42 ,0.195041667,DKI1 Bundaran HI
2/18/2022,67.87 ,25.92 ,23.98 ,89.10 ,2.83 ,1.66 ,0.684695652173913,DKI1 Bundaran HI
2/19/2022,67.73 ,26.68 ,23.88 ,84.60 ,2.33 ,1.29 ,0.541434782608696,DKI1 Bundaran HI
2/20/2022,67.60 ,26.79 ,24.11 ,85.30 ,0.86 ,1.38 ,0.398173913043478,DKI1 Bundaran HI
2/21/2022,67.47 ,27.19 ,23.55 ,80.60 ,0.02 ,1.71 ,0.254913043478261,DKI1 Bundaran HI
2/22/2022,67.33 ,27.43 ,23.57 ,79.50 ,2.99 ,1.97 ,0.111652173913043,DKI1 Bundaran HI
2/23/2022,67.20 ,27.20 ,23.11 ,78.40 ,15.89 ,3.14 ,0.23,DKI1 Bundaran HI
2/24/2022,48.24 ,27.17 ,22.28 ,74.70 ,3.04 ,2.99 ,0.53,DKI1 Bundaran HI
2/25/2022,41.45 ,26.04 ,22.64 ,81.50 ,3.03 ,3.07 ,0.24,DKI1 Bundaran HI
2/26/2022,34.00 ,26.07 ,23.07 ,83.60 ,0.06 ,3.10 ,0.346341463414634,DKI1 Bundaran HI
2/27/2022,37.79 ,26.37 ,23.22 ,82.90 ,1.16 ,3.19 ,0.340243902439024,DKI1 Bundaran HI
2/28/2022,32.67 ,26.94 ,23.19 ,79.90 ,3.78 ,3.28 ,0.334146341463415,DKI1 Bundaran HI
3/1/2022,36.75 ,26.17 ,23.14 ,83.40 ,16.33 ,3.64 ,0.328048780487805,DKI1 Bundaran HI
3/2/2022,36.32 ,26.79 ,23.05 ,80.00 ,6.23 ,4.23 ,0.321951219512195,DKI1 Bundaran HI
3/3/2022,36.15 ,27.35 ,23.59 ,80.00 ,0.01 ,3.20 ,0.315853658536585,DKI1 Bundaran HI
3/4/2022,40.14 ,26.72 ,23.67 ,83.40 ,3.32 ,1.24 ,0.309756097560976,DKI1 Bundaran HI
3/5/2022,51.53 ,26.47 ,23.60 ,84.30 ,12.15 ,2.01 ,0.303658536585366,DKI1 Bundaran HI
3/6/2022,38.38 ,26.77 ,23.50 ,82.30 ,0.63 ,3.07 ,0.297560975609756,DKI1 Bundaran HI
3/7/2022,5.28 ,26.97 ,23.79 ,82.80 ,0.00 ,2.46 ,0.291463414634146,DKI1 Bundaran HI
3/8/2022,37.60 ,27.18 ,23.84 ,82.00 ,0.59 ,1.96 ,0.285365853658537,DKI1 Bundaran HI
3/9/2022,63.74 ,26.74 ,23.91 ,84.50 ,0.00 ,1.26 ,0.279268292682927,DKI1 Bundaran HI
3/10/2022,77.05 ,27.21 ,23.97 ,82.50 ,0.08 ,1.26 ,0.273170731707317,DKI1 Bundaran HI
3/11/2022,90.60 ,26.80 ,24.14 ,85.40 ,8.07 ,2.62 ,0.267073170731707,DKI1 Bundaran HI
3/12/2022,51.58 ,26.65 ,24.18 ,86.30 ,34.20 ,2.77 ,0.260975609756098,DKI1 Bundaran HI
3/13/2022,54.43 ,26.92 ,24.41 ,86.20 ,3.00 ,1.70 ,0.254878048780488,DKI1 Bundaran HI
3/14/2022,69.25 ,27.25 ,24.54 ,85.20 ,3.31 ,1.26 ,0.252827586206896,DKI1 Bundaran HI
3/15/2022,70.26 ,26.22 ,23.90 ,87.10 ,5.91 ,1.51 ,0.266965517241379,DKI1 Bundaran HI
3/16/2022,62.70 ,27.53 ,24.23 ,82.30 ,0.01 ,1.59 ,0.281103448275862,DKI1 Bundaran HI
3/17/2022,96.24 ,27.73 ,24.50 ,82.60 ,0.69 ,1.59 ,0.295241379310345,DKI1 Bundaran HI
3/18/2022,84.48 ,27.80 ,24.28 ,81.20 ,0.00 ,2.14 ,0.309379310344828,DKI1 Bundaran HI
3/19/2022,30.32 ,28.08 ,23.57 ,76.50 ,0.00 ,2.74 ,0.32351724137931,DKI1 Bundaran HI
3/20/2022,42.25 ,28.25 ,23.24 ,74.30 ,0.00 ,3.35 ,0.337655172413793,DKI1 Bundaran HI
3/21/2022,22.33 ,27.97 ,23.40 ,76.30 ,0.00 ,3.34 ,0.351793103448276,DKI1 Bundaran HI
3/22/2022,19.59 ,27.91 ,23.88 ,78.80 ,1.94 ,2.46 ,0.365931034482759,DKI1 Bundaran HI
3/23/2022,52.55 ,26.62 ,23.56 ,83.40 ,0.15 ,2.47 ,0.380068965517241,DKI1 Bundaran HI
3/24/2022,42.10 ,27.84 ,23.67 ,78.10 ,4.86 ,1.52 ,0.394206896551724,DKI1 Bundaran HI
3/25/2022,78.70 ,27.91 ,24.40 ,81.30 ,0.01 ,1.13 ,0.408344827586207,DKI1 Bundaran HI
3/26/2022,74.06 ,26.38 ,23.59 ,84.70 ,23.02 ,1.54 ,0.39,DKI1 Bundaran HI
3/27/2022,64.15 ,27.21 ,23.76 ,81.40 ,9.18 ,2.44 ,0.336666666666667,DKI1 Bundaran HI
3/28/2022,54.25 ,27.29 ,23.65 ,80.60 ,5.43 ,1.85 ,0.288333333333333,DKI1 Bundaran HI
3/29/2022,62.57 ,27.85 ,23.80 ,78.70 ,0.00 ,1.81 ,0.24,DKI1 Bundaran HI
3/30/2022,64.38 ,28.09 ,23.53 ,76.30 ,0.00 ,1.22 ,0.191666666666667,DKI1 Bundaran HI
3/31/2022,105.75 ,27.44 ,23.73 ,80.30 ,0.01 ,1.58 ,0.159857142857143,DKI1 Bundaran HI
4/1/2022,84.45 ,27.23 ,23.55 ,80.40 ,3.89 ,1.29 ,0.194142857142857,DKI1 Bundaran HI
4/2/2022,70.05 ,27.47 ,23.81 ,80.50 ,17.49 ,2.34 ,0.257153846153846,DKI1 Bundaran HI
4/3/2022,51.62 ,26.49 ,23.44 ,83.30 ,26.72 ,2.01 ,0.327346153846154,DKI1 Bundaran HI
4/4/2022,47.77 ,27.77 ,23.44 ,77.30 ,0.00 ,1.84 ,0.397538461538462,DKI1 Bundaran HI
4/5/2022,67.05 ,27.02 ,23.47 ,81.00 ,53.60 ,1.42 ,0.467730769230769,DKI1 Bundaran HI
4/6/2022,60.96 ,27.27 ,23.54 ,80.10 ,0.08 ,1.62 ,0.537923076923077,DKI1 Bundaran HI
4/7/2022,60.59 ,27.50 ,23.29 ,77.90 ,0.01 ,2.23 ,0.586857142857143,DKI1 Bundaran HI
4/8/2022,56.84 ,27.42 ,23.25 ,78.00 ,44.76 ,2.25 ,0.621619047619048,DKI1 Bundaran HI
4/9/2022,61.30 ,27.54 ,23.22 ,77.30 ,0.04 ,1.26 ,0.656380952380952,DKI1 Bundaran HI
4/10/2022,80.55 ,27.31 ,23.51 ,79.80 ,0.01 ,1.08 ,0.691142857142857,DKI1 Bundaran HI
4/11/2022,69.95 ,27.02 ,23.82 ,82.70 ,29.16 ,1.52 ,0.68,DKI1 Bundaran HI
4/12/2022,82.95 ,27.10 ,23.76 ,82.00 ,2.13 ,1.27 ,0.63,DKI1 Bundaran HI
4/13/2022,96.94 ,27.72 ,23.52 ,77.90 ,0.01 ,1.22 ,0.58,DKI1 Bundaran HI
4/14/2022,79.33 ,27.92 ,23.92 ,78.90 ,0.40 ,1.55 ,0.53,DKI1 Bundaran HI
4/15/2022,72.30 ,27.83 ,23.88 ,79.20 ,0.07 ,1.63 ,0.48,DKI1 Bundaran HI
4/16/2022,76.85 ,28.33 ,23.79 ,76.40 ,0.65 ,1.23 ,0.43,DKI1 Bundaran HI
4/17/2022,99.37 ,28.49 ,24.44 ,78.80 ,0.04 ,2.22 ,0.38,DKI1 Bundaran HI
4/18/2022,70.58 ,27.89 ,24.33 ,81.10 ,15.88 ,1.81 ,0.33,DKI1 Bundaran HI
4/19/2022,56.47 ,27.09 ,24.10 ,83.70 ,0.50 ,1.74 ,0.28,DKI1 Bundaran HI
4/20/2022,68.63 ,27.41 ,23.91 ,81.30 ,3.89 ,2.09 ,0.37,DKI1 Bundaran HI
