datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
1/1/2022,52.75,26.35,22.13,77.6,0.5,2.06,0.112
1/2/2022,52.75,25.62,21.82,79.6,0.01,1.58,0.112
1/3/2022,52.75,26.51,21.08,72.1,0,0.98,0.112
1/4/2022,52.75,26.3,21.76,76.1,0,1.23,0.112
1/5/2022,52.75,26.68,22.51,77.9,16.89,1,0.112
1/6/2022,52.75,25.36,22.8,85.7,8.46,1.44,0.571
1/7/2022,52.75,25.96,21.92,78.5,1.26,1.54,0.555
1/8/2022,52.75,26.33,22.67,80.3,0.05,1.2,0.54
1/9/2022,52.75,26.04,22.74,82.1,0.18,1.37,0.494
1/10/2022,52.75,25.34,22.91,86.4,8.84,1.68,0.4
1/11/2022,52.75,24.76,22.5,87.2,51.69,1.93,0.307
1/12/2022,52.75,24.56,22.36,87.6,17.03,1.49,0.213
1/13/2022,54.67,24.95,22.57,86.7,5.95,1.34,0.12
1/14/2022,60.92,25.01,22.8,87.6,14.18,1.4,0.026
1/15/2022,68.83,24.93,22.94,88.7,5.34,1.26,0.057
1/16/2022,80.92,25.12,23.24,89.3,6.37,1.31,0.088
1/17/2022,93,25.83,22.93,84.1,9.58,1.75,0.119
1/18/2022,62.13,24.66,22.69,88.8,92.37,1.6,0.15
1/19/2022,57.5,24.97,22.35,85.4,48.87,2.09,0.224
1/20/2022,58.68,23.89,21.54,86.7,8.05,1.79,0.309
1/21/2022,53.85,25.27,22.55,84.9,2.13,1.78,0.393
1/22/2022,68.31,25.05,22.61,86.3,15.39,1.44,0.478
1/23/2022,73.44,26.63,22.65,78.9,0,1.76,0.515
1/24/2022,73.22,26.93,22.44,76.5,0,2.22,0.552
1/25/2022,56.29,26.29,22.89,81.6,2.25,2.1,0.589
1/26/2022,54.08,25.25,22.7,85.8,1.67,1.89,0.488
1/27/2022,75.25,26.23,22.64,80.6,0.41,1.6,0.477
1/28/2022,82.18,25.83,22.39,81.3,6.06,1.25,0.431
1/29/2022,87.11,25.88,22.47,81.5,0,1.36,0.032
1/30/2022,108.47,25.66,22.68,83.6,0.15,1.27,0.547
1/31/2022,97,25.92,22.88,83.4,5.49,1.64,0.528
2/1/2022,88.42,25.75,22.37,81.7,2.41,1.35,0.432
2/2/2022,93.22,25.64,23.14,86.1,7.33,1.22,0.435
2/3/2022,83,26.08,23.08,83.6,2.3,0.94,0.573
2/4/2022,74.95,25.16,22.81,86.8,58.9,1.28,0.854
2/5/2022,58.81,24.3,22.53,89.9,34.16,1.58,1.134
2/6/2022,10.84,25.29,22.54,84.8,5.53,1.77,0.488
2/7/2022,58.32,25.62,22.54,83.1,10.67,1.4,0.371
2/8/2022,71.5,24.35,22.89,91.6,38.45,1.27,0.465
2/9/2022,89,24.9,21.99,83.9,9.14,2.12,0.56
2/10/2022,35.71,24.58,21.72,84.1,0.79,1.92,0.654
2/11/2022,74.4,25.91,22,79,0.15,1.93,0.625
2/12/2022,69.32,25.47,22.82,85.3,0.04,1.41,0.482
2/13/2022,94.57,24.58,22.25,86.9,0.4,1.08,0.417
2/14/2022,88.39,25.05,21.57,81.1,13.04,1.51,0.352
2/15/2022,108.76,26,22.23,79.8,8.34,0.96,0.286
2/16/2022,72.6,25.73,22.49,82.3,25.75,0.94,0.221
2/17/2022,67.21,25.36,22.93,86.4,2.54,1.11,0.742
2/18/2022,66.25,24.45,22.82,90.7,5.41,1.21,0.599
2/19/2022,65.28,25.37,23.08,87.2,1.02,1.08,0.455
2/20/2022,64.31,25.45,23.19,87.3,2.8,1.08,0.312
