datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
1/1/2022,51.75,27.627,23.313,77.4,0.645,3.436,0.112
1/2/2022,51.75,27.053,23.332,80.1,0,3.040,0.112
1/3/2022,51.75,27.652,22.359,72.9,0,1.568,0.112
1/4/2022,51.75,27.745,22.978,75.3,0,1.431,0.112
1/5/2022,51.75,27.958,23.621,77.3,20.392,1.393,0.112
1/6/2022,51.75,27.014,23.920,83.2,11.033,1.997,0.574
1/7/2022,51.75,27.626,23.318,77.4,1.613,2.275,0.559
1/8/2022,51.75,27.779,23.758,78.8,0.045,1.489,0.543
1/9/2022,51.75,27.509,24.157,82,0,2.005,0.512
1/10/2022,51.75,26.781,23.900,84.3,11.141,2.783,0.419
1/11/2022,51.75,26.063,23.601,86.3,58.887,2.261,0.325
1/12/2022,51.75,26.061,23.590,86.3,17.599,1.813,0.232
1/13/2022,50.83,26.295,23.708,85.7,4.394,1.572,0.138
1/14/2022,52.92,26.433,23.983,86.4,13.717,1.637,0.045
1/15/2022,59.83,26.476,23.996,86.3,4.661,1.464,0.051
1/16/2022,66.97,26.609,24.494,88.2,8.146,1.446,0.082
1/17/2022,74.1,27.299,23.972,82.1,9.138,2.311,0.113
1/18/2022,62.93,25.985,23.799,87.8,120.949,1.980,0.144
1/19/2022,49.31,26.523,23.369,82.9,59.672,2.874,0.207
1/20/2022,54.26,25.486,22.750,84.9,4.06,2.129,0.292
1/21/2022,54.08,26.684,23.537,82.9,1.096,2.387,0.376
1/22/2022,59,26.450,23.685,84.8,20.404,1.966,0.460
1/23/2022,58.31,28.040,23.682,77.2,0,2.747,0.508
1/24/2022,58.33,27.996,23.783,77.9,0,3.329,0.544
1/25/2022,55.29,27.315,23.928,81.8,2.973,2.767,0.581
1/26/2022,56.08,26.695,24.189,86.2,2.198,2.189,0.515
1/27/2022,64.92,27.761,23.988,80,0.171,1.939,0.442
1/28/2022,66.18,27.315,23.635,80.4,4.902,1.777,0.470
