datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
1/1/2022,86.55,27.553,23.292,77.6,0.262,3.463,0.112
1/2/2022,86.55,26.869,23.168,80.2,0,2.619,0.112
1/3/2022,86.55,27.826,22.566,73.1,0,1.187,0.112
1/4/2022,86.55,27.534,23.213,77.3,0,1.465,0.112
1/5/2022,86.55,27.796,23.564,77.8,30.762,1.433,0.112
1/6/2022,86.55,26.791,23.893,84.2,6.215,2.008,0.577
1/7/2022,80.15,27.487,23.283,77.9,0.586,2.134,0.562
1/8/2022,58.67,27.564,23.741,79.7,0.165,1.762,0.546
1/9/2022,67.6,27.259,24.031,82.6,0,1.949,0.531
1/10/2022,53.95,26.614,23.899,85.1,12.922,3.212,0.437
1/11/2022,43.13,26.028,23.520,86.1,59.4,2.951,0.344
1/12/2022,50.19,25.995,23.484,86.1,11.109,2.298,0.250
1/13/2022,53.93,26.125,23.609,86.1,9.373,1.977,0.157
1/14/2022,52.63,26.401,23.870,86,23.019,1.896,0.063
1/15/2022,55.71,26.404,23.914,86.2,4.747,1.818,0.045
1/16/2022,70.98,26.477,24.307,87.9,9.154,1.681,0.076
1/17/2022,69.37,27.060,23.881,82.8,25.273,2.765,0.106
1/18/2022,58.6,25.911,23.677,87.5,106.769,2.652,0.137
1/19/2022,53.68,26.342,23.359,83.7,73.133,3.475,0.190
1/20/2022,52.5,25.421,22.504,83.9,1.874,2.474,0.275
1/21/2022,50.07,26.567,23.385,82.7,0.367,2.710,0.359
1/22/2022,49.46,26.347,23.626,85,13.48,2.282,0.444
1/23/2022,50.77,27.904,23.594,77.4,0,2.779,0.500
1/24/2022,53.47,27.918,23.572,77.3,0,3.431,0.537
1/25/2022,36.83,27.223,23.806,81.6,3.035,3.195,0.574
1/26/2022,53.26,26.662,23.983,85.3,1.334,2.720,0.542
1/27/2022,50.01,27.503,23.889,80.7,0.038,2.291,0.407
1/28/2022,56.32,27.199,23.547,80.5,2.383,1.972,0.508
1/29/2022,72.57,26.929,23.761,82.8,0,1.671,0.608
1/30/2022,93.38,26.986,24.034,83.9,0.013,1.838,0.356
1/31/2022,109.55,26.931,23.795,83,0,2.537,0.566
2/1/2022,59.07,26.949,23.529,81.6,0.019,1.875,0.471
2/2/2022,65.55,26.899,23.887,83.6,15.93,1.592,0.375
