datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
1/1/2022,50.75,27.553,23.292,77.6,0.02,3.463,0.112
1/2/2022,50.75,26.869,23.168,80.2,0,2.619,0.112
1/3/2022,50.75,27.826,22.566,73.1,0,1.187,0.112
1/4/2022,50.75,27.534,23.213,77.3,0,1.465,0.112
1/5/2022,50.75,27.796,23.564,77.8,1.102,1.433,0.583
1/6/2022,50.75,26.791,23.893,84.2,0.542,2.008,0.568
1/7/2022,50.75,27.487,23.283,77.9,0.012,2.134,0.552
1/8/2022,50.75,27.564,23.741,79.7,0,1.762,0.537
1/9/2022,50.75,27.259,24.031,82.6,0,1.949,0.475
1/10/2022,50.75,26.614,23.899,85.1,0.434,3.212,0.381
1/11/2022,50.75,26.028,23.520,86.1,2.455,2.951,0.288
1/12/2022,50.75,25.995,23.484,86.1,0.786,2.298,0.194
1/13/2022,53.75,26.125,23.609,86.1,0.018,1.977,0.101
1/14/2022,54.17,26.401,23.870,86,0.514,1.896,0.032
1/15/2022,52.08,26.404,23.914,86.2,0.143,1.818,0.063
1/16/2022,52.99,26.477,24.307,87.9,0.471,1.681,0.094
1/17/2022,53.9,27.060,23.881,82.8,0.214,2.765,0.125
1/18/2022,36.53,25.911,23.677,87.5,6.509,2.652,0.156
1/19/2022,37.25,26.342,23.359,83.7,2.092,3.475,0.241
1/20/2022,46.53,25.421,22.504,83.9,0.001,2.474,0.325
1/21/2022,36.38,26.567,23.385,82.7,0.02,2.710,0.410
1/22/2022,25.19,26.347,23.626,85,0.338,2.282,0.485
1/23/2022,14,27.904,23.594,77.4,0,2.779,0.522
1/24/2022,50.44,27.918,23.572,77.3,0,3.431,0.559
1/25/2022,37.14,27.223,23.806,81.6,0.196,3.195,0.596
1/26/2022,43.42,26.662,23.983,85.3,0.028,2.720,0.461
1/27/2022,49,27.503,23.889,80.7,0,2.291,0.512
1/28/2022,55.71,27.199,23.547,80.5,0.196,1.972,0.490
1/29/2022,89.89,26.929,23.761,82.8,0,1.671,0.165
1/30/2022,97.74,26.986,24.034,83.9,0,1.838,0.553
1/31/2022,98.07,26.931,23.795,83,0,2.537,0.509
2/1/2022,53.92,26.949,23.529,81.6,0,1.875,0.413
2/2/2022,55.67,26.899,23.887,83.6,0.16,1.592,0.513
2/3/2022,62.45,27.267,23.887,81.8,0.039,1.381,0.629
2/4/2022,45.7,26.494,23.862,85.5,4.08,1.872,0.910
2/5/2022,54.43,25.824,23.660,87.9,1.682,2.619,0.695
2/6/2022,25,26.640,23.685,83.9,0,2.762,0.436
2/7/2022,42.05,26.891,23.544,81.9,0.515,2.161,0.390
2/8/2022,64.8,25.806,23.999,89.8,2.736,1.600,0.484
2/9/2022,81.48,26.368,23.178,82.7,0.04,3.072,0.578
2/10/2022,31.71,26.337,22.937,81.6,0,2.752,0.635
2/11/2022,59.95,27.340,23.327,78.8,0.016,2.439,0.721
2/12/2022,58.89,27.103,23.914,82.7,0,2.015,0.469
2/13/2022,66.57,26.193,23.601,85.7,0,1.155,0.404
2/14/2022,86.72,26.773,22.707,78.4,0.942,1.705,0.339
2/15/2022,85.53,27.415,23.185,77.7,0.079,1.156,0.273
2/16/2022,79.1,27.241,23.327,79.2,1.884,1.308,0.208
2/17/2022,74.36,26.363,23.822,86,0,1.423,0.713
2/18/2022,73.2,25.919,23.978,89.1,0.11,1.658,0.570
2/19/2022,72.04,26.676,23.876,84.6,0.094,1.294,0.427
2/20/2022,70.88,26.789,24.114,85.3,0.032,1.381,0.284
2/21/2022,69.72,27.188,23.552,80.6,0,1.705,0.140
2/22/2022,68.56,27.429,23.568,79.5,0.118,1.971,0.416
2/23/2022,67.4,27.199,23.105,78.4,0.636,3.140,0.473
2/24/2022,54.65,27.171,22.282,74.7,0.118,2.987,0.191
2/25/2022,54.64,26.042,22.638,81.5,0.118,3.068,0.348
2/26/2022,41.4,26.067,23.066,83.6,0,3.100,0.341
2/27/2022,40.5,26.367,23.223,82.9,0.04,3.186,0.335
2/28/2022,38.52,26.945,23.185,79.9,0.149,3.284,0.329
3/1/2022,24.55,26.173,23.141,83.4,0.646,3.638,0.323
3/2/2022,48.32,26.789,23.054,80,0.238,4.230,0.317
3/3/2022,46.2,27.353,23.593,80,0,3.199,0.311
3/4/2022,45.76,26.721,23.665,83.4,0.13,1.239,0.305
3/5/2022,55.05,26.473,23.605,84.3,0.474,2.012,0.299
3/6/2022,48.81,26.775,23.500,82.3,0.024,3.068,0.293
3/7/2022,37.28,26.971,23.788,82.8,0,2.461,0.287
3/8/2022,57.8,27.177,23.840,82,0.02,1.961,0.280
3/9/2022,67.32,26.740,23.906,84.5,0,1.256,0.274
3/10/2022,83.89,27.211,23.969,82.5,0,1.261,0.268
3/11/2022,97.35,26.805,24.140,85.4,0.315,2.616,0.262
