epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
1000,0.001,adam,16,0.7587486860966794,0.09411623572274107,-0.031996586,-232.9139555,1879296201690384.5
1000,0.01,adam,32,0.7483514989325664,0.09612290314857135,-0.040934019,-229.6854948,1909111474709768.8
1000,0.01,adam,64,0.6285094235517752,0.11678944804145022,-0.002095278,-173.1153223,1779545445210901.5
1000,0.001,rmsprop,16,0.6201602631707945,0.1180945629758881,-0.019263804,-187.0824301,1836819641987001.2
1000,0.01,rmsprop,32,0.5963447921635106,0.1217404730995435,0.04050272156544822,-187.2937825,1637438530615106.5
1000,0.001,sgd,16,0.5951006266625503,0.12192794592273615,-0.01383173,-189.6728656,1818698247040144.2
1000,0.01,sgd,16,0.5561358282691988,0.12765997365348764,-0.032240311,-166.2991482,1880109266174459.0
1000,0.001,nadam,32,0.5174116342067054,0.13311228207233544,-0.04725911,-177.8355018,1930211975921139.5
1000,0.001,rmsprop,32,0.5110469375478739,0.13398719349176152,-0.033266072,-168.1567901,1883531204776909.5
1000,0.001,nadam,16,0.5107521460668434,0.1340275780752958,-0.033546996,-179.2047996,1884468367082767.2
1000,0.001,nadam,64,0.5081394993425472,0.1343849638769982,-0.062359516,-188.4903844,1980586927825800.8
1000,0.001,sgd,64,0.5007999060284882,0.135383904275348,-0.012096252,-159.0587104,1812908691513905.5
1000,0.001,rmsprop,64,0.4869308189414959,0.13725168008443348,-0.078269866,-216.4983918,2033663848664226.5
1000,0.0001,adam,32,0.4783958293502175,0.138388573536754,-0.025926094,-181.433425,1859045041676739.5
1000,0.0001,adam,16,0.4623034944956693,0.1405071135594145,-0.074529474,-221.1350632,2021185902292007.0
1000,0.001,adam,32,0.45874283058321175,0.14097156988519824,-0.077367798,-205.9590046,2030654550959504.2
1000,0.01,adam,16,0.4498563427125932,0.14212411071519376,-0.089719809,-226.1049395,2071860858251452.8
1000,0.001,adam,64,0.4427071982372155,0.14304458494624508,-0.051658064,-168.6625473,1944886885702626.5
1000,0.01,nadam,32,0.41277889594365713,0.14683531957446197,-0.023583374,-148.1890936,1851229727855631.2
1000,0.01,sgd,32,0.3669792996261799,0.1524539429830583,-0.095272745,-202.1188708,2090385449881255.8
1000,0.0001,sgd,32,0.2768412630966649,0.16294705807845872,-0.073482367,-182.9910492,2017692755753541.5
1000,0.001,sgd,32,0.2627667863219637,0.16452509548294073,-0.11829541,-249.2670605,2167189053692417.5
1000,0.0001,nadam,64,0.2613283188284137,0.1646855254980877,-0.093863788,-206.6938637,2085685167876597.8
1000,0.01,rmsprop,16,0.2333313517806097,0.16777743750174753,-0.086152803,-174.3874091,2059961325847668.8
1000,0.01,nadam,16,0.21734901676742935,0.16951720095047149,-0.124941982,-238.0110815,2189362014571059.5
1000,0.0001,rmsprop,64,0.21152078628598237,0.17014720897964766,-0.108562141,-218.0179216,2134718870426292.2
1000,0.0001,sgd,64,0.20964820441723298,0.17034913290205098,-0.083363267,-184.8725967,2050655435230974.5
1000,0.0001,adam,64,0.1762270100162895,0.17391357363609053,-0.094375811,-194.5641718,2087393278284981.8
1000,0.0001,nadam,16,0.16093025229205626,0.17552085940957918,0.0634564672882189,-159.1050129,1560864841219675.5
1000,0.0001,rmsprop,16,0.09324933006751124,0.18246251120945778,-0.083596151,-166.8020556,2051432335309785.5
1000,0.0001,nadam,32,0.09320620487075848,0.18246685012995686,-0.070933837,-156.9148687,2009190860626623.0
1000,0.0001,sgd,16,0.07543225145673738,0.18424642724973367,-0.044038801,-143.2794503,1919469027689808.5
1000,0.1,adam,16,-0.006028698,0.19219181583235737,-0.0148513,-134.8109673,1822099532682568.2
1000,0.1,adam,64,-0.041216264,0.1955240465319289,-0.038901291,-139.5641956,1902330295042711.2
1000,0.0001,rmsprop,32,-0.116913012,0.20250669242109737,-0.083148903,-161.0261905,2049940317284600.8
1000,0.01,sgd,64,-0.16033567,0.20640562414521219,-0.076733115,-155.6491086,2028537249177873.0
1000,0.1,sgd,16,-0.483172756,0.23335954795179778,0.13319289192859188,-199.2283594,1328224147868167.5
1000,0.1,rmsprop,16,-0.67528158,0.24801252385999573,0.1574629535804575,-225.1656316,1247259228896611.2
1000,0.1,adam,32,-0.953617345,0.2678239780232746,0.18711798847575398,-262.7376089,1148330040671340.5
1000,0.01,rmsprop,64,-1.111724203,0.2784506935108884,-0.202038613,-284.0870135,2446556356211899.0
1000,0.01,nadam,64,-1.484586522,0.30203464912505557,-0.233484585,-334.4429514,2551460109067351.0
1000,0.1,nadam,16,-2.965718291,0.3815844209720504,-0.32995875,-534.307494,2873297896695276.0
1000,0.1,rmsprop,32,-19.60290006,0.8697488899189385,-0.848378918,-2780.391509,4602747436206698.0
1000,0.1,rmsprop,64,-22.46797175,0.9282553983048611,0.9082630357783533,-3167.176187,1257409638078579.8
1000,0.1,sgd,64,-28.14203991,1.0344027810144052,-1.016500256,-3933.175388,5163600173004700.0
1000,0.1,nadam,32,-36.53178021,1.173895093383105,1.1581508737446364,-5065.790691,2091035396559657.0
1000,0.1,sgd,32,-98.74534538,1.9137095510462994,1.904092409376452,-13464.62163,4579496153531410.0
1000,0.1,nadam,64,-110.3935568,2.022365932524247,-2.013267896,-15037.13017,8488816745295031.0
