epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
1000,0.01,adam,32,0.7027545085690647,0.10563902347796277,-0.02624544,-225.7559771,2059704731746107.8
1000,0.01,adam,16,0.67567691583664,0.11034576518302237,-0.032248306,-207.5675807,2079730289249629.0
1000,0.01,nadam,64,0.6419267665455284,0.11594517194155353,-0.053130093,-262.3566344,2149391925462373.0
1000,0.001,adam,64,0.6110733180339603,0.12083718770918599,-0.060044451,-239.1469319,2172458223704941.5
1000,0.01,adam,64,0.611006156128512,0.12084762065942903,-0.007307521,-185.6135679,1996527838133644.2
1000,0.01,rmsprop,16,0.5937223580905842,0.12350319745639972,-0.037715573,-196.8178736,2097969092488866.5
1000,0.001,adam,32,0.4968209638017317,0.13744470370727327,-0.002941646,-170.4264448,1981963279995593.8
1000,0.01,rmsprop,32,0.4897765417732707,0.13840346114768368,-0.054358468,-180.1038483,2153489784174800.8
1000,0.001,sgd,64,0.4182563340639719,0.14778575397342417,-0.053739662,-181.6105162,2151425449237801.2
1000,0.01,sgd,32,0.41537341758010016,0.14815148846411308,-0.050531857,-166.3676531,2140724212709605.5
1000,0.0001,nadam,64,0.398919885311922,0.15022178572299302,-0.024989305,-170.1387221,2055514264274245.8
1000,0.001,rmsprop,32,0.39199900038427504,0.1510841433929498,0.05260360683409598,-178.9108702,1796664332781900.8
1000,0.0001,rmsprop,32,0.38353822676872396,0.15213173404867072,0.020159731097435542,-161.4312502,1904897093284181.2
1000,0.0001,adam,32,0.3467629097118383,0.15660375014448602,-0.070758783,-195.1527889,2208201230966486.2
1000,0.001,sgd,32,0.32118171895630676,0.1596406563798855,-0.088875128,-225.9901904,2268637352176937.0
1000,0.0001,nadam,32,0.307522812539897,0.16123876957490882,-0.009476132,-153.8473986,2003762323171875.0
1000,0.0001,adam,64,0.30348171746067754,0.16170855642439227,-0.077432151,-205.1855198,2230463586375341.5
1000,0.0001,rmsprop,16,0.3029445876852138,0.16177089631101238,-0.078035771,-202.3969782,2232477262497121.5
1000,0.0001,sgd,32,0.301191672887141,0.16197417465882483,-0.067353887,-179.8425933,2196842497690680.0
1000,0.001,adam,16,0.29119866944576445,0.16312818419125613,0.06742143455332521,-177.1276851,1747232063600595.8
1000,0.001,rmsprop,16,0.29111959247972075,0.16313728358311666,-0.05446768,-166.5466891,2153854116264278.5
1000,0.0001,sgd,64,0.2763587386476344,0.1648270177507787,-0.091768766,-211.1464996,2278290529047542.0
1000,0.0001,adam,16,0.26961311728096227,0.16559347593261575,-0.084955268,-192.680852,2255560702681779.5
1000,0.001,nadam,16,0.25142255320606877,0.16764287847959888,-0.069884126,-172.3957121,2205283375118634.5
1000,0.01,nadam,32,0.24199053596468856,0.16869571601735214,-0.118097425,-251.275892,2366122929132920.5
1000,0.01,nadam,16,0.2240774508630895,0.1706773638620431,-0.100740055,-310.291213,2308218747849999.0
1000,0.01,sgd,16,0.22023182902480387,0.1710997960656078,-0.124642566,-258.5158869,2387957514783765.0
1000,0.001,nadam,32,0.19624692683958322,0.17371129709987926,0.0951239064983461,-193.6744682,1654816624838493.8
1000,0.0001,rmsprop,64,0.19315718287706163,0.1740448626112391,-0.070681485,-174.2065957,2207943366491377.2
1000,0.0001,sgd,16,0.13337909275582016,0.18037706707413756,-0.016846888,-138.8150993,2028351163386301.2
1000,0.001,rmsprop,64,0.09785305338901185,0.18403710023235803,-0.121956775,-241.3279527,2378997718847405.0
1000,0.01,sgd,64,0.0901981727462643,0.18481624503268917,-0.124744554,-215.5422671,2388297748070972.0
1000,0.0001,nadam,16,0.06742204581835631,0.1871153051838105,-0.05290887,-147.1408302,2148653927904114.8
1000,0.001,nadam,64,0.06393890643581124,0.18746441340366532,-0.132190506,-254.537856,2413137441034923.0
1000,0.1,adam,16,-0.000103096,0.1937711540774334,-0.001989802,-134.0142371,1978787928633302.8
1000,0.01,rmsprop,64,-0.001914493,0.1939465547615768,0.012113956178420157,-134.5279052,1931737796193205.5
1000,0.1,adam,32,-0.02480629,0.19614969227331291,-0.03049034,-137.3429114,2073865716876049.5
1000,0.1,nadam,16,-0.12577696,0.20558570715236368,0.06871748280599609,-150.9798861,1742908446987421.2
1000,0.1,adam,64,-0.27914575,0.21914257277918842,0.10237214698689298,-171.6846002,1630636496569372.5
1000,0.1,rmsprop,16,-0.289335109,0.2200136593228917,0.1042239304037823,-173.0602647,1624458947601762.2
1000,0.001,sgd,16,-0.49457599,0.2368785524698258,-0.185091134,-284.9010976,2589613922271363.5
1000,0.1,sgd,16,-8.503423743,0.5973196295152694,0.5650199882505934,-1281.963057,87243425814635.95
1000,0.1,nadam,32,-20.27144049,0.8936453306737386,0.8723867186889318,-2870.644465,938131902087976.5
1000,0.1,sgd,32,-22.03228991,0.9298979689046352,-0.909487132,-3108.359137,5006198771241634.0
1000,0.1,rmsprop,32,-43.20483217,1.2882543362568322,1.2735995623896232,-5966.652343,2276577837930052.5
1000,0.1,nadam,64,-65.709388,1.5825601225679484,1.570653733951818,-9004.767381,3267550472268151.5
1000,0.1,rmsprop,64,-69.36939281,1.6253939607787562,1.613803624233354,-9498.868027,3411498494337052.0
1000,0.1,sgd,64,-71.7146347,1.6522572008021021,-1.640856626,-9815.475684,7446047203049223.0
