epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
1000,0.01,adam,64,0.6512894991106231,0.072351347851495,-0.000410196,-215.5842434,0.13945882737686927
1000,0.001,adam,64,0.6494821405726973,0.07253860321925824,-0.009708648,-215.8569205,0.14334062974383718
1000,0.01,nadam,16,0.47925080692594657,0.0884155017991503,-0.010881692,-208.1649169,0.17532011046564586
1000,0.001,sgd,32,0.4003388622347669,0.0948783373453507,0.013853249141107788,-161.6870064,0.1920329827255853
1000,0.001,rmsprop,64,0.39225309345576176,0.0955158603132995,-0.017771021,-167.7692041,0.2049985132671715
1000,0.0001,adam,16,0.377846158029019,0.09664135420290305,-0.022895744,-175.9711694,0.20806987842938768
1000,0.01,rmsprop,16,0.3459868463323693,0.09908487247975,-0.001074898,-145.8500084,0.2113708704510262
1000,0.001,sgd,64,0.3455452333982767,0.0991183196489007,-0.010551972,-151.4972257,0.21444040643772114
1000,0.01,nadam,32,0.3303689525912874,0.10026097046689926,-0.025185136,-155.5339217,0.22280579505621284
1000,0.001,adam,32,0.29652870276622956,0.1027631254246011,0.008518583983930959,-150.0702412,0.2148819999380438
1000,0.0001,rmsprop,64,0.2578873958225618,0.10554775909699685,-0.016303979,-155.3091387,0.230689873228617
1000,0.001,adam,16,0.23196953406993692,0.10737503963830539,-0.028789958,-156.0896839,0.24130679490926576
1000,0.0001,rmsprop,16,0.2297272866191925,0.10753166489684478,-0.035121546,-160.3753884,0.24497512140508285
1000,0.0001,adam,64,0.20868274632236017,0.10899069722086924,-0.028144824,-158.0514292,0.2428662085250278
1000,0.0001,sgd,32,0.1415749083297908,0.1135181526650546,-0.024273576,-152.7905084,0.25773308839715964
1000,0.0001,nadam,64,0.14076968718386096,0.1135713814164184,-0.031222477,-152.4258519,0.25600647124132375
1000,0.001,rmsprop,32,0.12732594582343926,0.11445641669294704,0.06134624996635396,-191.9024979,0.20605891689101558
1000,0.001,nadam,16,0.10603266881972007,0.11584437143870374,-0.042024215,-156.5522669,0.2658887645815119
1000,0.001,rmsprop,16,0.06622729631479785,0.11839536491764324,-0.042625394,-155.6647887,0.27105620972500943
1000,0.01,sgd,16,0.06025755370465413,0.11877322121846937,-0.052604899,-164.2516976,0.2744300134019062
1000,0.01,rmsprop,32,0.05843515726354931,0.1188883309804533,0.04833890119049032,-158.6232266,0.23666529803424843
1000,0.001,nadam,32,0.04212466194337061,0.11991364632756867,-0.055728714,-170.3309996,0.27804944593599484
1000,0.001,sgd,16,0.0243324272142581,0.12102220147888587,-0.075261643,-210.840883,0.28606303416548035
1000,0.0001,nadam,16,0.014725108617707705,0.12161658968814748,-0.028940866,-143.4219115,0.27469433918860237
1000,0.0001,nadam,32,-0.002615265,0.12268211926851734,0.009215119889133188,-136.222244,0.2654249924958662
1000,0.0001,sgd,64,-0.004009853,0.12276741196466662,-0.069166711,-216.7156101,0.2838679787186289
1000,0.01,rmsprop,64,-0.010775842,0.12318038015804307,-0.01249854,-135.4048442,0.27108785626444015
1000,0.001,nadam,64,-0.023808258,0.12397194858704408,-0.079895744,-219.3713195,0.29112230534829053
1000,0.0001,rmsprop,32,-0.058853222,0.126075876056904,-0.019531734,-139.509118,0.2812019891728045
1000,0.0001,adam,32,-0.116272843,0.12944917674863968,-0.051040094,-166.2012742,0.29896882261323626
1000,0.0001,sgd,16,-0.134258193,0.13048785008316938,-0.054364169,-168.0013523,0.30066933524588607
1000,0.01,adam,16,-0.135943053,0.13058472933183868,0.06746732202909358,-177.0536261,0.2522059396942302
1000,0.1,adam,16,-0.168925337,0.13246693856396857,-0.050358123,-156.8057632,0.30222294598802024
1000,0.1,nadam,16,-0.245133479,0.1367168578635163,0.060661438515537,-167.0926047,0.27439673034898304
1000,0.01,nadam,64,-0.441088664,0.14708197883081073,-0.088500383,-204.9088018,0.3463589764436888
1000,0.01,sgd,64,-0.493035644,0.1497094453203431,0.08603531438959716,-200.5670089,0.28784276923139696
1000,0.01,adam,32,-0.523030649,0.15120579460483508,-0.112227853,-256.5543404,0.3647975199821799
1000,0.01,sgd,32,-1.419732554,0.1905889848750853,-0.164440152,-392.3712788,0.465548285973899
1000,0.1,adam,32,-2.958504106,0.2437696664943621,0.21074108003430647,-533.3962151,0.427268023728414
1000,0.1,adam,64,-4.888125496,0.29730529367354475,-0.270885155,-793.8966951,0.7274608822506644
1000,0.1,nadam,32,-6.349191092,0.3321497143156307,-0.308726083,-991.1408412,0.8123039077687502
1000,0.1,sgd,64,-14.01389707,0.474745471039812,-0.45866286,-2025.876105,1.1510554810650477
1000,0.1,rmsprop,16,-15.20518977,0.493220562101618,-0.47776027,-2186.700576,1.1942228650327817
1000,0.1,nadam,64,-85.32315564,1.1383551254588498,-1.131742351,-11652.62601,2.6724698274398677
1000,0.1,rmsprop,32,-96.75640629,1.2113976508047628,-1.205185719,-13196.11477,2.8384796586770813
1000,0.1,sgd,16,-108.3918896,1.2814647828895378,-1.275594115,-14766.90509,2.9976292613188136
1000,0.1,rmsprop,64,-129.4108076,1.3991713554397198,-1.393796556,-17604.45903,3.2648114935525405
1000,0.1,sgd,32,-175.3814737,1.6271987303575135,-1.622579448,-23810.49895,3.7819474028600686
