epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
1000,0.01,adam,32,0.7410438567477814,0.09611464300450291,-0.000476021,-235.7471949,64.93403494335625
1000,0.001,adam,16,0.6386568994175428,0.11353671682336743,-0.029852757,-194.9310401,63.32471744812821
1000,0.01,adam,16,0.613177370195658,0.11747146491745002,0.0033963010476574036,-187.5168325,59.18544568922625
1000,0.001,nadam,64,0.4902401593985537,0.13485257919653248,0.01483721315749158,-164.927962,55.835492536051554
1000,0.001,nadam,32,0.46684714236266933,0.13791208321450069,-0.010441471,-161.6003361,57.86226877596915
1000,0.001,adam,64,0.4646231631847607,0.1381994252105824,0.009113387508512675,-160.8491977,55.93332000706058
1000,0.001,sgd,64,0.46199328277311547,0.13853844129843218,-0.006163003,-157.2470799,57.13451580816869
1000,0.001,adam,32,0.4618458247989775,0.13855742544644922,0.004191436391173718,-161.9412743,56.470261528490425
1000,0.001,rmsprop,64,0.45937125496823283,0.1388756212287362,0.025743416745341516,-160.9729111,54.516161843707756
1000,0.01,adam,64,0.4377003404852301,0.14163166422760362,0.018642649848139976,-151.7234739,54.40820502414483
1000,0.01,rmsprop,16,0.41744992673286585,0.1441594373673286,0.012712723037698784,-148.4093552,54.69991134149782
1000,0.001,rmsprop,16,0.4146606608027299,0.14450414493764888,0.032269196619578014,-158.6708756,53.75381896427099
1000,0.0001,adam,16,0.413183104037959,0.1446864140002492,-0.024109867,-156.3095462,58.648807535007705
1000,0.0001,adam,64,0.38480818760730084,0.148143199982818,-0.007862099,-155.4465917,56.99145879445252
1000,0.001,rmsprop,32,0.3684274184795773,0.15010255401932696,0.016623006285328586,-150.0413219,54.451939471678756
1000,0.001,nadam,16,0.36609423026270604,0.15037955674929362,0.040559682602119694,-162.3515443,53.34279837237097
1000,0.001,sgd,16,0.3619972861944166,0.15086472694765696,0.05396170982496498,-165.5594786,52.45393238992858
1000,0.0001,nadam,32,0.34331383986936737,0.1530577693915522,-0.051069502,-166.854788,62.48561794096595
1000,0.0001,sgd,16,0.31860496156779505,0.15591070362270745,0.010999176920551974,-149.4141217,54.85836248595282
1000,0.0001,rmsprop,32,0.26830330091474597,0.16156303241220643,0.023251750755077186,-151.5483679,54.01047039520142
1000,0.0001,rmsprop,64,0.2590770573546174,0.16257844654084214,-0.024363408,-145.2338852,57.7113455820917
1000,0.01,sgd,32,0.2124302364665872,0.16761811995511253,-0.053203485,-150.1597202,60.86839482215706
1000,0.0001,rmsprop,16,0.20534046474987777,0.16837088610324613,0.002976067440365227,-141.0538631,54.95832316677466
1000,0.01,sgd,16,0.16816859664340256,0.17226383204969264,-0.001664911,-135.7302271,54.981253043668076
1000,0.0001,sgd,64,0.15548694355435644,0.17357198581058425,-0.019074807,-139.2999337,56.689686549543005
1000,0.01,nadam,32,0.10666263555897504,0.17851889811886631,0.06124854531441467,-150.9845727,50.77144375409761
1000,0.0001,adam,32,0.10571449908696795,0.17861360779856894,0.03163652113078813,-142.3068187,52.648616117962455
1000,0.0001,nadam,64,0.07552101079938311,0.18160381628888386,0.014406006445475222,-136.5512929,53.69138225442811
1000,0.01,nadam,64,0.0738396605906323,0.18176888272835026,0.0405299425334721,-141.0916911,51.84020183023732
1000,0.001,sgd,32,0.06943694667400413,0.18220041036751036,-0.114854293,-208.7077361,73.8271623211854
1000,0.01,rmsprop,32,0.0681613343523576,0.1823252474180848,0.04634328310024852,-143.0900714,51.49440376568452
1000,0.01,sgd,64,-0.052099808,0.19373358662834936,-0.044126712,-141.3689399,58.90366838323594
1000,0.01,nadam,16,-0.05994474,0.1944545277868362,0.051759967780763375,-144.1508226,51.14046048527755
1000,0.1,sgd,16,-0.065486614,0.19496221348026394,-0.048335331,-142.8411806,59.38255220640799
1000,0.0001,sgd,32,-0.097429619,0.1978630897938278,0.02226281962901246,-136.851655,53.062447518216274
1000,0.0001,nadam,16,-0.237670324,0.21012558565525613,0.050544823340783536,-145.92447,51.33302408326578
1000,0.01,rmsprop,64,-0.476268975,0.2294875843648207,0.14235628359736008,-211.1368759,48.094237464896636
1000,0.1,rmsprop,16,-0.607594707,0.23947750889301997,0.14722568924668655,-216.0253448,48.098359155693835
1000,0.1,adam,16,-1.338119494,0.2888083859723597,0.21842465800156088,-314.5445525,49.61565852454969
1000,0.1,adam,64,-1.348989709,0.28947896097045156,0.21937178596190726,-316.1136146,49.66690304251521
1000,0.1,adam,32,-5.108135521,0.46679992773203416,-0.426881833,-823.5983558,153.220894145442
1000,0.1,nadam,16,-7.238598291,0.5421295894919197,0.5081637181827194,-1111.210626,115.38468825393397
1000,0.1,sgd,64,-31.80589186,1.0818134397370394,-1.065197742,-4427.795401,336.17442777668464
1000,0.1,rmsprop,32,-35.86841969,1.1468423166838186,1.1311822178396793,-4976.236658,294.192730869261
1000,0.1,nadam,64,-55.22729111,1.4162829550652694,1.4036321880850406,-7589.6843,372.3866302751387
1000,0.1,rmsprop,64,-89.15314707,1.7933575846458873,1.7833836800731875,-12169.6749,481.3763649299498
1000,0.1,sgd,32,-106.3111807,1.9565859683647595,1.9474482181105224,-14486.00939,528.4633437679722
1000,0.1,nadam,32,-114.5344841,2.0301693305442545,-2.021364248,-15596.15535,610.5968749640541
