epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE
100,0.0001,adam,16,-3.4720447681246327,0.40973099489509884,-0.32323811101363936,-601.0059926656086
100,0.0001,adam,32,0.45258200628194745,0.14335250332913307,0.007238482295339251,-173.75795870119438
100,0.0001,adam,64,0.45952150714607287,0.14244098080403425,-0.0027447897273319166,-174.76434710079144
100,0.0001,rmsprop,16,-0.1588932152588456,0.20857749972778714,0.10934005398770003,-206.60465514145787
100,0.0001,rmsprop,32,0.18672096380093073,0.1747292190525674,0.09072016584981199,-198.4286474197703
100,0.0001,rmsprop,64,0.3387195579282747,0.15755732041757894,0.0576424185578232,-226.0869356729539
100,0.001,adam,16,0.41983191725539726,0.1475783544397965,0.06482068672553086,-190.42001874048103
100,0.001,adam,32,0.5061546229729591,0.13615739798893634,-0.002263067637352531,-172.12607540125063
100,0.001,adam,64,0.5151589148854276,0.13491040755996436,-0.029345823026389495,-206.47428294458138
100,0.001,rmsprop,16,0.47211549212081705,0.14077165139530418,0.02400128463129032,-176.75477619710486
100,0.001,rmsprop,32,0.4589785390832809,0.1425125113921095,0.02245026404435817,-168.80554757108825
100,0.001,rmsprop,64,0.4595101246546879,0.1424424807015529,-0.06656299523404523,-232.47230168053395
100,0.01,adam,16,0.5153456058195416,0.1348844310330085,-0.018127647844753386,-195.88370657323827
100,0.01,adam,32,0.5468662093979832,0.1304244372637078,0.013355179708289278,-205.88593856117404
100,0.01,adam,64,0.5918744337558038,0.12377776814254328,-0.02709473727701059,-197.19030885859456
100,0.01,rmsprop,16,0.12337267796238138,0.18140666870288438,-0.11379945965499962,-219.09062747756536
100,0.01,rmsprop,32,0.5656274649727411,0.12769589186938254,-0.0010163693814603826,-173.88956946638413
100,0.01,rmsprop,64,0.22843720374267285,0.17018896070856196,-0.11768584629674923,-265.20878734770616
