ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,83.5,75.2,77.3,0.02,13.4,0.42679998
,2022-01-02,82.6,75.1,79.3,0.0,14.1,
,2022-01-03,83.8,73.2,72.4,0.0,12.8,0.1822
,2022-01-04,83.0,74.1,75.4,0.0,11.4,0.48439997
,2022-01-05,83.9,75.5,77.3,1.102,9.1,0.57919997
86.55388471177945,2022-01-06,81.7,77.2,87.0,0.542,11.4,
80.15402059474117,2022-01-07,82.6,74.8,79.2,0.012,10.6,0.0786
58.66784543309719,2022-01-08,83.2,75.7,79.4,0.0,13.0,0.118
67.60354085526487,2022-01-09,83.9,76.0,77.9,0.0,18.3,0.5708
53.94685972817455,2022-01-10,82.4,76.3,82.4,0.434,12.3,
43.130224737295485,2022-01-11,79.9,75.9,88.3,2.455,12.2,
50.18779046213021,2022-01-12,79.7,75.5,87.9,0.786,14.9,0.4642
53.933073473713215,2022-01-13,80.7,75.7,85.4,0.018,15.0,
52.62965438520431,2022-01-14,80.2,75.9,86.9,0.514,12.0,
55.70530387759518,2022-01-15,80.4,76.1,87.2,0.143,10.3,
70.9839402565576,2022-01-16,80.9,77.6,90.1,0.471,9.2,
69.36789356626828,2022-01-17,82.0,76.9,85.1,0.214,13.9,
58.59572808387322,2022-01-18,79.0,76.4,91.9,6.509,13.8,
53.68229725105828,2022-01-19,80.6,75.6,85.6,2.092,18.2,
52.50482590772285,2022-01-20,78.5,74.1,86.9,0.001,9.2,
50.07487385788067,2022-01-21,81.3,74.9,81.8,0.02,14.9,0.0638
49.46181437218012,2022-01-22,80.9,75.7,84.9,0.338,10.3,0.3432
50.767920255223835,2022-01-23,84.2,75.4,76.0,0.0,16.1,0.233
53.47008332936585,2022-01-24,84.6,74.9,74.2,0.0,17.8,0.18879999
36.83005224032167,2022-01-25,83.5,76.1,79.0,0.196,15.7,0.4958
53.25812962520087,2022-01-26,81.1,76.6,86.7,0.028,8.1,
50.00716743794169,2022-01-27,82.8,75.6,80.2,0.0,12.6,0.98279995
56.32091390665365,2022-01-28,81.6,75.5,83.0,0.196,11.4,0.3644
72.5723891581547,2022-01-29,82.1,75.4,81.1,0.0,12.7,
93.37961709669484,2022-01-30,82.5,75.5,79.9,0.0,11.4,1.3476
109.55481597112208,2022-01-31,83.0,75.1,77.6,0.0,10.3,0.5614
59.06652543018598,2022-02-01,82.9,76.3,81.1,0.0,10.1,0.6798
65.54520062544373,2022-02-02,81.7,75.5,82.4,0.16,13.9,
52.44697589674101,2022-02-03,83.7,76.0,78.8,0.039,9.5,0.2838
52.055416886061174,2022-02-04,80.4,75.8,86.9,4.08,12.7,0.45819998
57.189646642095674,2022-02-05,79.2,75.8,89.7,1.682,12.8,
52.00100225667607,2022-02-06,81.7,75.6,82.4,0.0,16.0,0.7244
