ISPU PM2.5;datetime;temp;dew;humidity;precip;windspeed;AOD
;01/01/2022;28.5;23.8;76.8;0.451;22.3;0.47219998
;02/01/2022;28.2;23.8;78.7;0.0;24.1;
;03/01/2022;28.6;22.6;72.6;0.0;18.5;0.1672
;04/01/2022;28.1;23.2;75.8;0.0;14.8;0.39299998
;05/01/2022;28.3;23.8;78.4;24.792;17.9;0.2784
;06/01/2022;27.3;24.9;88.0;9.308;16.6;
;07/01/2022;27.6;23.6;81.0;0.915;29.1;0.2452
;08/01/2022;28.2;24.1;80.0;0.072;22.3;
;09/01/2022;28.6;24.1;77.6;0.0;16.6;
;10/01/2022;27.9;24.6;83.1;10.657;18.4;
;11/01/2022;26.3;24.4;90.6;56.46;16.8;
;12/01/2022;26.3;24.2;89.2;15.799;18.5;0.3788
59.416.666.666.666.600;13/01/2022;27.1;24.2;85.3;5.332;24.1;
61.166.666.666.666.600;14/01/2022;26.9;24.5;87.5;15.945;18.4;
6.916.666.666.666.660;15/01/2022;26.9;24.3;86.6;4.084;16.6;
;16/01/2022;27.0;25.2;90.4;8.99;11.0;
93.6;17/01/2022;27.9;24.7;83.8;13.371;18.4;0.2136
6.586.666.666.666.660;18/01/2022;26.0;24.6;92.5;120.516;18.4;
524.375;19/01/2022;27.1;24.0;84.5;60.05;27.7;
5.610.526.315.789.470;20/01/2022;25.8;23.3;86.5;3.272;17.8;
4.923.076.923.076.920;21/01/2022;27.1;23.7;82.6;0.957;14.8;0.0866
7.084.615.384.615.380;22/01/2022;27.1;24.1;84.4;14.151;16.6;
666.875;23/01/2022;29.0;23.8;75.3;0.0;16.6;0.1156
6.933.333.333.333.330;24/01/2022;28.9;23.3;73.5;0.0;27.8;0.2052
57.714.285.714.285.700;25/01/2022;28.5;24.1;77.5;3.308;27.6;0.387
54.333.333.333.333.300;26/01/2022;27.1;24.7;87.0;1.489;13.0;
73.75;27/01/2022;28.2;23.8;79.0;0.163;18.4;0.895
7.170.588.235.294.110;28/01/2022;27.2;23.7;82.7;4.444;14.8;
11.610.526.315.789.400;29/01/2022;27.8;23.9;80.4;0.0;14.8;0.2562
12.636.842.105.263.100;30/01/2022;27.9;24.0;80.0;0.068;13.0;
12.635.714.285.714.200;31/01/2022;28.5;23.7;76.0;0.0;16.6;0.2528
88.25;01/02/2022;28.0;24.3;81.4;0.082;21.8;
10.055.555.555.555.500;02/02/2022;27.6;24.0;81.7;8.624;22.3;
93.9;03/02/2022;28.7;24.2;78.2;1.692;14.8;
65.5;04/02/2022;26.7;24.1;86.7;69.661;18.2;
60.095.238.095.238.000;05/02/2022;26.3;24.2;88.8;43.553;20.5;
2.431.578.947.368.420;06/02/2022;27.4;24.0;82.5;1.666;23.6;
5.831.578.947.368.420;07/02/2022;27.6;24.3;83.7;12.338;18.3;
105.05;08/02/2022;26.2;24.9;92.7;44.592;11.1;
1.029.047.619.047.610;09/02/2022;27.4;23.9;82.3;5.609;37.1;
3.738.095.238.095.230;10/02/2022;26.9;23.2;81.0;0.155;22.3;
62.05;11/02/2022;27.3;23.9;82.4;0.224;18.4;
6.778.947.368.421.050;12/02/2022;27.7;24.6;83.6;0.0;12.9;
9.685.714.285.714.280;13/02/2022;26.9;24.3;86.2;0.135;16.6;
11.155.555.555.555.500;14/02/2022;26.3;23.6;86.1;17.056;18.3;
1.093.529.411.764.700;15/02/2022;27.3;23.7;82.7;4.789;16.3;
110.5;16/02/2022;28.0;24.0;80.5;31.224;33.5;
7.971.428.571.428.570;17/02/2022;27.2;24.0;83.9;0.658;14.7;
;18/02/2022;27.0;24.4;86.1;3.689;17.8;
;19/02/2022;27.0;24.4;86.0;1.35;18.4;
;20/02/2022;27.3;24.7;86.2;1.888;14.8;
;21/02/2022;28.1;23.4;76.8;0.633;18.3;
;22/02/2022;28.6;23.5;75.5;3.122;18.4;
83.0;23/02/2022;28.1;23.0;75.3;11.026;29.5;
5.764.705.882.352.940;24/02/2022;27.8;21.8;72.6;4.164;33.3;
5.972.727.272.727.270;25/02/2022;26.8;22.7;79.3;3.796;30.9;
56.4;26/02/2022;26.4;23.3;83.9;1.777;31.6;
5.592.857.142.857.140;27/02/2022;27.0;23.7;82.6;3.639;27.7;
40.904.761.904.761.900;28/02/2022;27.3;23.9;82.4;3.905;20.5;
39.9;01/03/2022;25.7;23.8;89.8;15.819;24.1;
391.578.947.368.421;02/03/2022;27.4;24.0;82.7;9.79;26.9;
52.55;03/03/2022;28.3;23.6;77.2;0.37;27.7;0.294
55.523.809.523.809.500;04/03/2022;28.1;23.8;79.2;3.535;16.6;
6.494.736.842.105.260;05/03/2022;27.1;23.8;82.8;14.338;22.5;0.2006
7.057.142.857.142.850;06/03/2022;27.4;23.6;80.8;1.512;27.8;
