epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE
100,0.0001,adam,16,0.2363391825319605,0.16524531004819518,0.059850111308258985,-161.3510364471604
100,0.0001,adam,32,0.3562668856138663,0.15171615002321182,0.06354244468626793,-176.1561264568122
100,0.0001,adam,64,0.4995029717969851,0.13377644163751876,0.031898553618620706,-172.79913417613545
100,0.0001,rmsprop,16,0.38606936516363044,0.14816258302584354,0.013710856587016,-151.3038218658037
100,0.0001,rmsprop,32,0.38217742696942214,0.1486314703759603,0.04614048410517168,-165.7799403461063
100,0.0001,rmsprop,64,0.5009528499334257,0.13358253418152405,-0.021758283992435387,-175.35559408995442
100,0.001,adam,16,0.5540791576786926,0.12627220785956342,0.06325292335327092,-202.11858910975508
100,0.001,adam,32,0.501456329890099,0.13351513263393588,0.013929949249670703,-165.16309835881734
100,0.001,adam,64,0.6636863542391747,0.1096607300359776,0.009112823959483268,-195.38179636906276
100,0.001,rmsprop,16,0.4660109936440143,0.1381799547905386,0.06614665179364819,-188.39194743250192
100,0.001,rmsprop,32,0.6607744024485964,0.11013445229134818,-0.01625174524814234,-187.03656887868118
100,0.001,rmsprop,64,0.6506253109263163,0.11176983444243128,-0.02572877245353128,-186.82957454681926
100,0.01,adam,16,0.5355796420080947,0.12886486191502225,0.03587442784866392,-179.84945259431208
100,0.01,adam,32,0.6517673369917352,0.11158700988628714,0.0010896525657542973,-184.0391733216362
100,0.01,adam,64,0.4350802858046495,0.1421255811861249,0.07950351646841564,-204.82740442521668
100,0.01,rmsprop,16,0.4890904029597116,0.13516085133565778,0.05814034873679604,-181.68790391426734
100,0.01,rmsprop,32,-0.003097435713897534,0.1893871237364687,0.01052398060494496,-133.41505638566227
100,0.01,rmsprop,64,0.6176091544078954,0.11693179907544766,0.006604225371187428,-167.1654682412554
