epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE
100,0.0001,adam,16,0.5006433667583539,0.1311323449369656,0.017907407943775946,-158.56503934962123
100,0.0001,adam,32,0.4798143421950444,0.13383928343749343,-0.0218020097338614,-158.10001875938792
100,0.0001,adam,64,0.5451308034950542,0.12515484872669988,-0.041252801470008704,-179.40306205673355
100,0.0001,rmsprop,16,0.3762752738301568,0.14655508656402894,-0.05194072783715635,-167.4743671340466
100,0.0001,rmsprop,32,0.3905377460938553,0.14486978731493255,0.030388754892598884,-152.06831055660223
100,0.0001,rmsprop,64,0.5826745193728724,0.11987865645335255,-0.020423880511361608,-174.27391993331105
100,0.001,adam,16,0.5817724126987217,0.12000815364736787,-0.023204271498117324,-169.20599458192328
100,0.001,adam,32,0.6822619862554384,0.10460176290661793,-0.009398257023469176,-184.6101275682483
100,0.001,adam,64,0.7548643975099173,0.09187717036132928,-0.008146712386892253,-219.38017647491
100,0.001,rmsprop,16,0.6378252141262353,0.11167694417895596,0.003495712308635119,-170.48529728765544
100,0.001,rmsprop,32,0.7196746875461628,0.09825068190386313,-0.011161536225738266,-189.70324002900495
100,0.001,rmsprop,64,0.7277558833175606,0.09682414427809265,-0.007067192426474583,-200.33869611828703
100,0.01,adam,16,0.6866940436578761,0.10386966753391004,0.0119262563175947,-178.89533804999604
100,0.01,adam,32,0.7266679782862507,0.09701740915538865,-0.006279918265093076,-189.44971167879874
100,0.01,adam,64,0.3740476985841329,0.14681655729463788,-0.05007696020791725,-158.8888717490038
100,0.01,rmsprop,16,0.6134438018792041,0.1153747402876331,-0.03919872488381203,-185.22621746114868
100,0.01,rmsprop,32,0.628466774981808,0.11311058395062168,0.001408509996293739,-166.30185893852857
100,0.01,rmsprop,64,0.6562913463145961,0.1087926734480314,-0.04005094608986501,-189.25042730015116
