epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE
100,0.0001,adam,16,-7.09260317847232e+29,0.04675015609826504,0.04628440312306176,-9.50408825915291e+31
100,0.0001,adam,32,-2.508402738978947e+29,0.027802181058564492,0.02088988402707156,-3.3612596702317894e+31
100,0.0001,adam,64,-1.4344936949349031e+29,0.02102468782021676,0.013933869856496065,-1.9222215512127698e+31
100,0.0001,rmsprop,16,-8.485434681376552e+29,0.05113488475630712,0.05100526135180217,-1.1370482473044577e+32
100,0.0001,rmsprop,32,-2.5903727410883614e+29,0.028252791519951494,0.026984412695033936,-3.471099473058405e+31
100,0.0001,rmsprop,64,-2.2774905436160265e+29,0.026491620519730745,0.024736394382223862,-3.0518373284454754e+31
100,0.001,adam,16,-5.633587201384825e+28,0.013175671086036548,0.010796447714751934,-7.549006849855667e+30
100,0.001,adam,32,-1.1476024052176351e+28,0.005946699032518069,-0.0049224716353881955,-1.5377872229916314e+30
100,0.001,adam,64,-1.546177741182824e+29,0.021827798830258698,-0.014831640410790095,-2.0718781731849837e+31
100,0.001,rmsprop,16,-1.1724305122545255e+28,0.00601068253197822,-0.005680468351104657,-1.5710568864210643e+30
100,0.001,rmsprop,32,-7.33292613194018e+28,0.015032073452446011,-0.015012449766283896,-9.826121016799839e+30
100,0.001,rmsprop,64,-1.3276423148426031e+29,0.02022650178193335,-0.020220336880267847,-1.779040701889088e+31
100,0.01,adam,16,-3.3462320021153554e+29,0.03211132738144797,0.028944865952665835,-4.483950882834578e+31
100,0.01,adam,32,-8.632789817760476e+29,0.05157696914496024,-0.05157696914496024,-1.1567938355799041e+32
100,0.01,adam,64,-3.907631364372383e+27,0.0034700603467424647,-0.003470060346742465,-5.236226028258992e+29
100,0.01,rmsprop,16,-7.855435291257654e+27,0.0049200029355486175,-0.0049200029355486175,-1.0526283290285254e+30
100,0.01,rmsprop,32,-7.517714624080785e+29,0.04813080794314596,-0.047508411693939816,-1.0073737596268251e+32
100,0.01,rmsprop,64,-1.424236559397114e+29,0.020949386005833973,0.0190292916795991,-1.9084769895921327e+31
