DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2024-11-15 13:00:00,-6.154,106.911,500.0,941.6,302.0,296.8,1.0,450.7,85.9,110.7,221.3,
2024-11-15 12:00:00,-6.141,106.898,506.2,941.6,302.0,296.8,1.0,461.5,85.0,100.4,330.8,
2024-11-15 11:00:00,-6.108,106.901,513.3,942.9,302.1,297.0,0.4,494.1,83.1,76.7,418.8,
2024-11-15 10:00:00,-6.038,106.921,519.2,947.0,302.0,297.3,0.4,528.0,81.0,27.4,512.0,
2024-11-15 09:00:00,-5.928,106.964,526.9,948.7,301.9,297.4,0.3,530.5,79.2,0.0,590.9,
2024-11-15 08:00:00,-5.81,107.021,547.8,946.8,301.9,297.2,0.0,564.2,79.5,0.0,632.8,
2024-11-15 07:00:00,-5.713,107.081,590.0,942.5,302.0,296.9,0.0,622.6,80.3,0.0,679.6,
2024-11-15 06:00:00,-5.636,107.144,647.5,936.7,302.0,296.4,0.0,684.7,81.6,0.0,729.1,
2024-11-15 05:00:00,-5.584,107.218,695.4,932.3,302.0,296.0,0.2,697.2,82.1,0.0,680.5,
2024-11-15 04:00:00,-5.555,107.306,711.4,931.4,302.0,295.9,0.2,690.0,82.4,0.0,633.8,
2024-11-15 03:00:00,-5.543,107.404,695.6,933.8,301.8,296.0,0.2,660.6,82.7,0.0,585.4,
2024-11-15 02:00:00,-5.543,107.504,665.1,936.8,301.7,296.1,0.0,616.4,83.1,0.0,396.6,
2024-11-15 01:00:00,-5.554,107.603,635.6,939.7,301.6,296.3,0.0,589.8,83.7,0.0,213.3,
2024-11-15 00:00:00,-5.575,107.701,607.3,942.6,301.5,296.4,0.0,587.5,83.9,0.0,34.1,
2024-11-14 23:00:00,-5.601,107.797,585.0,944.4,301.5,296.6,0.1,560.7,83.7,0.0,23.1,
2024-11-14 22:00:00,-5.626,107.886,572.3,945.2,301.5,296.7,0.1,531.3,83.4,0.0,11.8,
2024-11-14 21:00:00,-5.649,107.969,566.8,945.2,301.6,296.8,0.1,497.1,83.0,0.0,0.0,
2024-11-14 20:00:00,-5.673,108.05,557.3,946.5,301.7,297.0,0.0,529.9,82.4,0.0,0.0,
2024-11-14 19:00:00,-5.698,108.131,535.6,949.0,301.7,297.3,0.0,558.8,81.8,0.0,0.0,
2024-11-14 18:00:00,-5.724,108.213,506.3,952.4,301.8,297.6,0.0,583.9,81.3,0.0,0.0,
2024-11-14 17:00:00,-5.744,108.3,482.4,955.6,301.8,297.9,0.0,571.4,79.6,0.0,0.0,
2024-11-14 16:00:00,-5.754,108.398,473.7,957.1,301.9,298.1,0.0,560.8,77.9,0.0,0.0,
2024-11-14 15:00:00,-5.756,108.506,480.0,956.9,302.0,298.3,0.0,549.9,75.9,0.0,0.0,
2024-11-14 14:00:00,-5.757,108.623,494.9,954.7,302.1,298.1,0.0,576.5,76.6,0.0,124.9,
2024-11-14 13:00:00,-5.755,108.746,509.9,952.5,302.1,298.0,0.0,607.4,77.9,0.0,249.1,
