DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2023-09-22 13:00:00,-6.289,106.909,500.0,933.4,300.8,294.8,0.0,511.2,78.6,207.9,274.6,NaN
2023-09-22 13:00:00,-6.289,106.909,1000.0,881.1,303.0,292.2,0.0,511.2,73.4,207.9,274.6,NaN
2023-09-22 13:00:00,-6.289,106.909,1500.0,831.1,305.7,289.9,0.0,511.2,67.9,207.9,274.6,NaN
2023-09-22 12:00:00,-6.175,106.956,558.6,934.5,300.8,295.0,0.0,608.2,81.7,132.6,405.1,NaN
2023-09-22 12:00:00,-6.208,106.922,1043.6,881.8,303.3,292.5,0.0,577.4,72.2,151.4,406.5,NaN
2023-09-22 12:00:00,-6.305,106.904,1461.3,833.4,305.8,290.2,0.0,513.8,66.5,218.3,408.9,NaN
2023-09-22 11:00:00,-6.011,106.978,595.9,942.5,300.6,295.6,0.0,739.6,82.5,8.8,510.0,NaN
2023-09-22 11:00:00,-6.136,106.904,1072.1,883.5,303.8,293.1,0.0,681.5,67.6,97.5,513.9,NaN
2023-09-22 11:00:00,-6.333,106.882,1429.4,834.6,306.2,290.7,0.0,613.5,62.6,232.7,517.9,NaN
2023-09-22 10:00:00,-5.825,106.958,550.8,947.4,300.7,296.1,0.0,730.5,79.9,0.0,613.9,NaN
2023-09-22 10:00:00,-6.085,106.855,1040.8,889.9,304.0,294.0,0.0,753.6,64.0,57.4,622.6,NaN
2023-09-22 10:00:00,-6.391,106.855,1415.7,832.2,306.7,290.9,0.0,727.3,58.7,264.6,627.0,NaN
2023-09-22 09:00:00,-5.668,106.914,463.5,956.1,300.8,297.0,0.0,756.7,77.8,0.0,716.5,NaN
2023-09-22 09:00:00,-6.045,106.781,940.6,902.4,303.9,295.0,0.0,834.7,61.7,27.6,731.9,NaN
2023-09-22 09:00:00,-6.479,106.826,1427.1,825.9,307.3,290.9,0.0,871.0,54.7,313.5,735.8,NaN
2023-09-22 08:00:00,-5.564,106.867,398.6,963.8,300.9,297.7,0.0,732.8,73.1,0.0,743.6,NaN
2023-09-22 08:00:00,-6.019,106.691,827.1,916.5,303.5,296.1,0.0,821.6,60.9,10.3,757.3,NaN
2023-09-22 08:00:00,-6.591,106.809,1490.2,814.1,307.2,289.6,0.0,956.7,57.5,378.3,763.6,NaN
2023-09-22 07:00:00,-5.516,106.823,375.7,967.0,300.9,298.1,0.0,726.1,70.0,0.0,772.8,NaN
2023-09-22 07:00:00,-6.042,106.597,762.1,923.0,303.6,296.7,0.0,841.4,58.3,19.8,781.7,NaN
2023-09-22 07:00:00,-6.712,106.81,1618.3,795.1,307.4,287.8,0.0,1102.8,57.8,456.8,792.2,NaN
2023-09-22 06:00:00,-5.508,106.775,378.1,967.3,301.0,298.2,0.0,725.6,67.5,0.0,802.3,NaN
2023-09-22 06:00:00,-6.117,106.508,722.1,925.1,303.8,297.0,0.0,891.9,55.7,47.0,805.0,NaN
2023-09-22 06:00:00,-6.838,106.816,1808.7,769.9,308.1,285.8,0.0,1314.0,52.4,541.2,821.7,NaN
2023-09-22 05:00:00,-5.523,106.733,391.2,966.7,300.8,297.9,0.0,721.0,68.9,0.0,736.7,NaN
2023-09-22 05:00:00,-6.216,106.45,687.7,926.7,302.8,296.3,0.0,870.0,60.5,76.8,738.6,NaN
2023-09-22 05:00:00,-6.966,106.814,1970.0,748.6,309.7,285.0,0.0,1294.8,38.8,622.2,757.8,NaN
2023-09-22 04:00:00,-5.545,106.707,404.4,966.2,300.5,297.5,0.0,710.6,70.9,0.0,671.1,NaN
2023-09-22 04:00:00,-6.308,106.441,662.7,927.1,301.9,295.4,0.0,817.5,65.2,107.6,673.0,NaN
2023-09-22 04:00:00,-7.096,106.803,2046.8,746.6,310.0,285.0,0.0,1145.7,34.7,574.1,689.6,NaN
2023-09-22 03:00:00,-5.568,106.7,419.2,965.5,300.1,297.1,0.0,694.4,73.6,0.0,605.6,NaN
2023-09-22 03:00:00,-6.395,106.475,652.9,924.8,301.2,294.5,0.0,762.0,70.1,148.6,608.3,NaN
2023-09-22 03:00:00,-7.236,106.782,2060.6,755.1,309.4,285.4,0.0,990.9,36.7,472.7,620.6,NaN
2023-09-22 02:00:00,-5.593,106.704,432.3,963.8,299.8,296.7,0.2,581.4,75.8,0.0,411.8,NaN
2023-09-22 02:00:00,-6.488,106.536,656.5,918.1,301.1,293.8,0.0,621.0,71.7,206.9,415.0,NaN
2023-09-22 02:00:00,-7.382,106.759,2069.4,763.2,308.5,285.5,0.0,804.4,42.1,371.0,419.5,NaN
2023-09-22 01:00:00,-5.623,106.713,438.9,962.8,299.6,296.3,0.1,463.4,77.9,0.0,217.9,NaN
2023-09-22 01:00:00,-6.6,106.611,673.7,907.4,301.2,292.9,0.0,482.1,72.6,290.4,220.6,NaN
2023-09-22 01:00:00,-7.528,106.74,2119.0,767.0,308.0,285.4,0.0,701.5,46.1,276.4,220.8,NaN
2023-09-22 00:00:00,-5.66,106.726,437.4,962.7,299.3,296.1,0.1,340.1,79.8,0.0,24.0,NaN
2023-09-22 00:00:00,-6.731,106.696,711.5,891.6,301.6,291.8,0.0,315.4,72.0,402.7,24.0,NaN
2023-09-22 00:00:00,-7.674,106.722,2196.8,767.7,307.7,285.2,0.0,673.0,49.2,186.4,24.0,NaN
2023-09-21 23:00:00,-5.702,106.739,425.3,963.5,299.4,296.2,0.1,309.8,79.5,0.0,16.0,NaN
