DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2023-10-01 00:00:00,-6.195,106.824,500.0,943.5,299.8,294.8,0.0,315.2,81.1,126.9,24.6,
2023-09-30 23:00:00,-6.21,106.913,511.1,939.2,300.3,294.9,0.0,264.3,78.5,151.7,16.6,
2023-09-30 22:00:00,-6.223,106.98,501.8,937.4,300.7,295.2,0.0,210.1,76.0,173.3,8.4,
2023-09-30 21:00:00,-6.238,107.03,475.7,938.1,301.0,295.5,0.0,161.8,73.3,188.7,0.0,
2023-09-30 20:00:00,-6.257,107.065,453.9,939.0,301.1,295.7,0.0,149.3,72.2,203.3,0.0,
2023-09-30 19:00:00,-6.278,107.082,450.2,937.7,301.3,295.7,0.0,134.0,71.4,220.0,0.0,
2023-09-30 18:00:00,-6.3,107.083,460.5,934.9,301.6,295.7,0.0,116.2,70.8,237.3,0.0,
2023-09-30 17:00:00,-6.317,107.077,477.9,932.0,301.9,295.8,0.0,114.2,68.7,250.7,0.0,
2023-09-30 16:00:00,-6.324,107.073,497.9,929.7,302.2,295.9,0.0,114.2,66.5,256.6,0.0,
2023-09-30 15:00:00,-6.322,107.072,521.5,927.8,302.5,296.0,0.0,116.0,64.1,255.2,0.0,
2023-09-30 14:00:00,-6.311,107.073,538.9,926.5,302.6,296.0,0.0,144.8,63.1,246.3,127.6,
2023-09-30 13:00:00,-6.289,107.076,541.5,927.7,302.6,296.1,0.0,177.1,62.1,228.9,255.8,
2023-09-30 12:00:00,-6.255,107.079,533.1,930.9,302.5,296.3,0.0,214.5,61.4,202.1,385.2,
2023-09-30 11:00:00,-6.208,107.085,536.2,933.9,302.7,296.8,0.0,341.8,58.1,164.3,484.8,
2023-09-30 10:00:00,-6.14,107.101,571.6,935.1,303.1,297.3,0.0,429.2,54.1,110.8,588.2,
2023-09-30 09:00:00,-6.046,107.136,645.7,934.2,303.5,297.6,0.0,449.2,49.9,36.5,696.9,
2023-09-30 08:00:00,-5.961,107.186,753.4,927.1,303.4,296.9,0.0,393.3,56.0,0.0,738.3,
2023-09-30 07:00:00,-5.926,107.243,877.6,914.5,303.6,295.9,0.0,376.9,62.1,0.0,775.4,
2023-09-30 06:00:00,-5.945,107.308,1012.4,900.9,303.7,294.8,0.0,349.7,67.4,0.0,813.4,
2023-09-30 05:00:00,-6.0,107.384,1146.0,887.9,303.8,293.6,0.0,359.3,68.6,0.0,758.5,
2023-09-30 04:00:00,-6.07,107.473,1245.6,872.9,304.0,292.4,0.0,491.5,68.5,55.6,705.4,
2023-09-30 03:00:00,-6.143,107.57,1311.8,861.3,304.1,291.3,0.0,570.9,68.6,113.0,651.9,
2023-09-30 02:00:00,-6.225,107.665,1359.2,850.1,304.8,290.9,0.0,562.1,57.8,178.2,447.7,
2023-09-30 01:00:00,-6.328,107.748,1390.8,839.0,305.7,290.6,0.0,508.6,46.1,259.2,241.1,
2023-09-30 00:00:00,-6.445,107.822,1419.0,827.1,306.6,290.3,0.0,376.0,33.6,352.5,31.9,
2023-09-29 23:00:00,-6.569,107.889,1446.2,814.7,307.2,289.6,0.0,330.4,32.1,450.3,21.7,
2023-09-29 22:00:00,-6.69,107.947,1468.7,802.9,307.8,289.0,0.0,255.3,30.9,546.3,11.1,
2023-09-29 21:00:00,-6.807,107.996,1486.6,792.0,308.3,288.3,0.0,150.5,29.8,638.4,0.0,
2023-09-29 20:00:00,-6.916,108.038,1508.2,784.2,308.6,287.8,0.0,113.5,32.8,700.7,0.0,
2023-09-29 19:00:00,-7.019,108.079,1537.0,779.5,308.6,287.4,0.0,72.6,37.6,722.2,0.0,
2023-09-29 18:00:00,-7.117,108.13,1571.9,786.3,308.0,287.5,0.0,95.7,46.5,617.6,0.0,
2023-09-29 17:00:00,-7.213,108.203,1592.7,795.1,307.5,287.9,0.0,137.5,52.9,510.3,0.0,
2023-09-29 16:00:00,-7.305,108.299,1593.2,805.7,307.2,288.7,0.0,176.4,54.3,403.9,0.0,
2023-09-29 15:00:00,-7.394,108.42,1575.1,817.8,307.1,289.8,0.0,205.9,52.1,300.3,0.0,
2023-09-29 14:00:00,-7.485,108.568,1551.9,829.2,306.7,290.6,0.1,182.5,50.5,201.4,117.8,
2023-09-29 13:00:00,-7.586,108.742,1529.2,839.8,306.6,291.6,0.0,151.3,46.4,111.3,245.4,
2023-09-29 12:00:00,-7.703,108.944,1480.7,851.5,306.6,292.8,0.0,114.7,38.7,37.6,380.5,
2023-09-29 11:00:00,-7.831,109.186,1390.4,861.5,306.6,293.7,0.0,297.2,35.2,20.8,486.7,
2023-09-29 10:00:00,-7.961,109.475,1292.9,872.0,306.5,294.8,0.0,386.0,30.1,6.9,594.3,
2023-09-29 09:00:00,-8.101,109.802,1202.6,881.4,306.6,295.7,0.0,485.9,27.3,0.0,697.4,
2023-09-29 08:00:00,-8.241,110.126,1162.8,882.5,306.5,295.7,0.0,546.1,31.7,33.0,740.1,
2023-09-29 07:00:00,-8.35,110.415,1202.0,872.7,306.8,295.0,0.0,814.0,35.6,92.6,793.2,
2023-09-29 06:00:00,-8.425,110.685,1254.9,863.4,307.0,294.3,0.0,1161.5,39.8,135.3,853.6,
2023-09-29 05:00:00,-8.48,110.959,1270.7,858.8,306.7,293.6,0.0,1315.1,44.4,171.4,807.8,
2023-09-29 04:00:00,-8.533,111.248,1273.8,862.4,305.9,293.3,0.0,1213.4,47.2,138.3,757.0,
2023-09-29 03:00:00,-8.593,111.556,1273.1,867.4,305.4,293.2,0.0,1158.7,47.9,96.4,707.7,
2023-09-29 02:00:00,-8.662,111.889,1282.1,870.1,304.9,293.0,0.0,965.4,48.8,58.4,489.4,
2023-09-29 01:00:00,-8.732,112.252,1317.6,860.5,304.9,292.0,0.0,801.6,50.1,122.7,270.7,
2023-09-29 00:00:00,-8.793,112.636,1367.7,849.1,305.2,291.1,0.0,698.9,49.3,191.3,48.8,
