DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2024-11-17 00:00:00,-6.207,106.753,100.0,983.0,301.1,299.6,0.2,291.0,77.6,123.6,26.1,NaN
2024-11-17 00:00:00,-6.207,106.753,500.0,939.4,302.1,296.7,0.2,291.0,80.5,123.6,26.1,NaN
2024-11-17 00:00:00,-6.207,106.753,1000.0,887.1,304.1,293.8,0.2,291.0,80.7,123.6,26.1,NaN
2024-11-16 23:00:00,-6.227,106.775,101.4,980.6,301.1,299.3,0.2,264.0,78.7,139.3,17.6,NaN
2024-11-16 23:00:00,-6.214,106.767,507.5,937.4,302.1,296.6,0.2,265.6,81.0,130.1,17.5,NaN
2024-11-16 23:00:00,-6.191,106.779,1006.1,886.5,304.2,293.8,0.2,266.9,80.3,117.5,17.4,NaN
2024-11-16 22:00:00,-6.243,106.793,102.0,978.6,301.0,299.1,0.2,237.6,79.7,152.7,8.8,NaN
2024-11-16 22:00:00,-6.213,106.773,505.9,937.0,302.1,296.5,0.2,241.6,81.6,130.3,8.8,NaN
2024-11-16 22:00:00,-6.168,106.79,995.7,888.3,304.1,294.0,0.2,246.6,79.8,105.1,8.7,NaN
2024-11-16 21:00:00,-6.256,106.807,101.9,976.9,300.9,298.8,0.2,211.8,80.8,163.5,0.0,NaN
2024-11-16 21:00:00,-6.204,106.77,494.6,938.3,302.0,296.5,0.2,219.2,82.3,124.3,0.0,NaN
2024-11-16 21:00:00,-6.138,106.783,967.1,892.6,304.0,294.2,0.2,229.0,79.5,85.7,0.0,NaN
2024-11-16 20:00:00,-6.265,106.822,103.6,975.9,301.0,298.9,0.8,217.7,80.6,172.5,0.0,NaN
2024-11-16 20:00:00,-6.192,106.767,481.5,940.7,302.0,296.7,0.8,225.6,82.2,116.6,0.0,NaN
2024-11-16 20:00:00,-6.106,106.769,937.3,897.9,303.7,294.5,0.7,236.4,79.8,64.7,0.0,NaN
2024-11-16 19:00:00,-6.271,106.842,109.7,974.5,301.1,298.9,0.8,225.4,80.5,180.4,0.0,NaN
2024-11-16 19:00:00,-6.181,106.775,476.2,942.0,302.0,296.9,0.8,232.4,82.1,111.3,0.0,NaN
2024-11-16 19:00:00,-6.08,106.762,924.8,901.1,303.5,294.6,0.7,242.1,80.1,48.1,0.0,NaN
2024-11-16 18:00:00,-6.271,106.868,120.5,972.8,301.2,298.8,0.8,235.4,80.4,186.5,0.0,NaN
2024-11-16 18:00:00,-6.172,106.793,479.5,942.3,302.1,296.9,0.8,240.8,82.0,107.8,0.0,NaN
2024-11-16 18:00:00,-6.06,106.761,929.8,902.1,303.5,294.7,0.7,247.1,80.3,36.0,0.0,NaN
2024-11-16 17:00:00,-6.265,106.898,137.0,971.6,301.4,298.9,0.5,267.7,79.9,188.4,0.0,NaN
2024-11-16 17:00:00,-6.159,106.819,491.5,942.2,302.1,297.0,0.5,273.8,81.6,103.1,0.0,NaN
2024-11-16 17:00:00,-6.042,106.769,940.0,902.8,303.6,294.8,0.4,279.0,79.1,25.5,0.0,NaN
2024-11-16 16:00:00,-6.248,106.933,160.7,970.3,301.5,298.9,0.5,306.5,79.4,183.4,0.0,NaN
2024-11-16 16:00:00,-6.14,106.849,512.6,941.6,302.2,297.0,0.5,312.7,81.2,94.0,0.0,NaN
2024-11-16 16:00:00,-6.022,106.786,941.9,904.5,303.6,295.0,0.4,315.9,77.7,13.7,0.0,NaN
2024-11-16 15:00:00,-6.22,106.971,193.6,968.9,301.7,298.9,0.5,354.8,79.0,169.1,0.0,NaN
2024-11-16 15:00:00,-6.114,106.883,544.8,940.3,302.3,297.0,0.5,359.2,80.6,79.4,0.0,NaN
2024-11-16 15:00:00,-6.001,106.812,938.1,906.9,303.6,295.2,0.4,359.6,76.2,0.5,0.0,NaN
2024-11-16 14:00:00,-6.175,107.002,225.8,968.2,301.8,299.0,0.2,410.6,78.5,138.3,122.9,NaN
2024-11-16 14:00:00,-6.076,106.907,577.4,939.0,302.3,296.9,0.1,421.8,80.3,54.4,123.9,NaN
2024-11-16 14:00:00,-5.973,106.83,933.7,906.9,303.7,295.3,0.0,422.6,75.6,0.0,124.6,NaN
2024-11-16 13:00:00,-6.109,107.009,243.9,971.3,301.8,299.3,0.2,475.3,77.4,86.4,250.2,NaN
2024-11-16 13:00:00,-6.022,106.907,594.7,940.7,302.3,297.1,0.0,488.4,79.6,15.8,251.4,NaN
2024-11-16 13:00:00,-5.935,106.83,927.4,907.1,303.8,295.4,0.0,475.9,75.2,0.0,249.5,NaN
2024-11-16 12:00:00,-6.02,106.994,249.2,977.8,301.8,299.8,0.0,562.0,75.7,15.8,384.3,NaN
2024-11-16 12:00:00,-5.953,106.884,598.2,941.4,302.4,297.2,0.0,540.8,79.1,0.0,378.1,NaN
2024-11-16 12:00:00,-5.888,106.812,919.6,907.5,303.9,295.6,0.0,520.8,75.0,0.0,373.8,NaN
2024-11-16 11:00:00,-5.917,106.962,257.4,978.0,301.8,299.8,0.2,553.1,75.4,0.0,482.5,NaN
2024-11-16 11:00:00,-5.879,106.851,612.5,939.3,302.6,297.2,0.2,536.8,77.6,0.0,473.7,NaN
2024-11-16 11:00:00,-5.837,106.785,928.0,906.1,304.1,295.6,0.2,527.3,74.5,0.0,469.4,NaN
