DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2024-11-17 00:00:00,-6.154,106.911,100.0,984.5,301.1,299.7,0.2,277.5,77.1,110.7,25.9,NaN
2024-11-17 00:00:00,-6.154,106.911,500.0,940.8,302.1,296.8,0.2,277.5,79.3,110.7,25.9,NaN
2024-11-17 00:00:00,-6.154,106.911,1000.0,888.4,304.1,293.9,0.2,277.5,80.2,110.7,25.9,NaN
2024-11-16 23:00:00,-6.186,106.939,106.0,980.3,301.1,299.4,0.2,258.0,78.4,138.1,17.6,NaN
2024-11-16 23:00:00,-6.174,106.932,519.8,936.3,302.2,296.6,0.2,259.6,80.0,128.5,17.5,NaN
2024-11-16 23:00:00,-6.152,106.944,1020.3,885.5,304.3,293.8,0.2,261.2,79.8,113.1,17.4,NaN
2024-11-16 22:00:00,-6.213,106.961,111.5,976.6,301.1,299.0,0.2,237.8,79.7,161.8,8.9,NaN
2024-11-16 22:00:00,-6.184,106.941,531.0,933.6,302.3,296.4,0.2,242.9,80.8,136.9,8.8,NaN
2024-11-16 22:00:00,-6.141,106.96,1023.4,885.2,304.3,293.9,0.2,249.9,79.0,107.2,8.7,NaN
2024-11-16 21:00:00,-6.235,106.974,116.8,973.3,301.0,298.7,0.1,216.4,81.0,181.2,0.0,NaN
2024-11-16 21:00:00,-6.183,106.937,532.6,933.0,302.3,296.3,0.2,227.8,81.6,135.7,0.0,NaN
2024-11-16 21:00:00,-6.121,106.957,1007.5,887.8,304.3,294.0,0.2,242.9,78.4,92.0,0.0,NaN
2024-11-16 20:00:00,-6.251,106.986,124.1,971.1,301.2,298.6,0.7,224.6,81.0,195.9,0.0,NaN
2024-11-16 20:00:00,-6.176,106.932,532.2,933.8,302.3,296.3,0.7,238.8,81.8,130.2,0.0,NaN
2024-11-16 20:00:00,-6.098,106.947,993.2,891.3,304.1,294.2,0.6,256.7,78.8,73.7,0.0,NaN
2024-11-16 19:00:00,-6.259,107.002,135.9,968.9,301.3,298.5,0.7,235.7,81.0,205.2,0.0,NaN
2024-11-16 19:00:00,-6.169,106.938,539.5,933.8,302.3,296.4,0.7,250.6,81.9,125.3,0.0,NaN
2024-11-16 19:00:00,-6.08,106.943,1002.7,892.0,304.0,294.2,0.6,269.2,79.2,59.6,0.0,NaN
2024-11-16 18:00:00,-6.259,107.025,153.1,967.2,301.4,298.5,0.7,250.7,81.1,205.2,0.0,NaN
2024-11-16 18:00:00,-6.16,106.955,555.6,932.7,302.3,296.3,0.7,264.2,82.0,121.1,0.0,NaN
2024-11-16 18:00:00,-6.066,106.947,1039.1,889.6,304.0,294.0,0.6,281.5,79.6,49.2,0.0,NaN
2024-11-16 17:00:00,-6.251,107.052,177.2,966.1,301.5,298.5,0.5,287.3,80.7,198.5,0.0,NaN
2024-11-16 17:00:00,-6.147,106.98,583.7,931.2,302.4,296.3,0.4,306.7,81.7,114.2,0.0,NaN
2024-11-16 17:00:00,-6.051,106.96,1090.6,886.1,304.2,293.9,0.4,325.3,78.6,38.6,0.0,NaN
2024-11-16 16:00:00,-6.233,107.086,208.8,964.9,301.6,298.5,0.5,325.3,80.3,184.3,0.0,NaN
2024-11-16 16:00:00,-6.126,107.011,627.3,928.7,302.5,296.1,0.4,354.2,81.2,100.0,0.0,NaN
2024-11-16 16:00:00,-6.033,106.985,1138.0,883.2,304.4,293.8,0.4,375.9,77.5,25.8,0.0,NaN
2024-11-16 15:00:00,-6.205,107.124,245.9,963.9,301.7,298.5,0.5,364.7,80.0,162.6,0.0,NaN
2024-11-16 15:00:00,-6.099,107.046,682.3,925.9,302.7,296.0,0.4,400.0,80.0,78.7,0.0,NaN
2024-11-16 15:00:00,-6.014,107.02,1176.1,881.4,304.6,293.8,0.4,427.5,76.3,11.3,0.0,NaN
2024-11-16 14:00:00,-6.165,107.154,276.9,963.4,301.8,298.6,0.3,409.4,79.7,130.9,121.9,NaN
2024-11-16 14:00:00,-6.064,107.071,725.7,923.7,302.9,296.0,0.1,452.1,79.0,50.5,126.3,NaN
2024-11-16 14:00:00,-5.99,107.052,1197.0,880.0,304.8,293.8,0.0,478.7,75.6,0.0,128.7,NaN
2024-11-16 13:00:00,-6.107,107.164,292.9,966.2,301.8,298.8,0.2,467.7,78.9,84.4,248.0,NaN
2024-11-16 13:00:00,-6.013,107.072,743.6,925.5,302.9,296.2,0.1,516.3,77.8,10.5,256.2,NaN
2024-11-16 13:00:00,-5.957,107.065,1202.1,879.0,304.9,293.9,0.0,524.2,74.8,0.0,257.2,NaN
2024-11-16 12:00:00,-6.025,107.152,297.1,972.1,301.8,299.3,0.1,546.8,77.4,19.9,381.6,NaN
2024-11-16 12:00:00,-5.945,107.05,741.3,926.3,303.0,296.4,0.0,568.5,77.1,0.0,386.1,NaN
2024-11-16 12:00:00,-5.914,107.062,1197.4,879.1,305.0,294.0,0.0,566.8,74.0,0.0,385.9,NaN
2024-11-16 11:00:00,-5.925,107.126,304.3,972.9,301.8,299.4,0.1,557.2,76.6,0.0,483.4,NaN
2024-11-16 11:00:00,-5.866,107.019,749.3,924.9,303.2,296.5,0.2,558.6,75.2,0.0,485.3,NaN
2024-11-16 11:00:00,-5.868,107.05,1203.3,878.0,305.2,294.1,0.2,558.4,72.9,0.0,484.8,NaN
2024-11-16 10:00:00,-5.821,107.094,328.4,969.6,301.9,299.2,0.1,555.1,76.4,0.0,582.6,NaN
2024-11-16 10:00:00,-5.786,106.986,790.2,920.0,303.6,296.4,0.1,549.0,73.5,0.0,583.3,NaN
2024-11-16 10:00:00,-5.825,107.044,1235.5,874.2,305.5,294.0,0.1,551.4,71.9,0.0,583.6,NaN
2024-11-16 09:00:00,-5.716,107.057,371.2,964.3,302.0,298.9,0.1,553.2,76.5,0.0,682.0,NaN
2024-11-16 09:00:00,-5.713,106.953,859.4,912.2,304.0,296.1,0.1,546.8,72.2,0.0,679.5,NaN
2024-11-16 09:00:00,-5.791,107.044,1289.6,868.1,305.9,293.8,0.1,546.4,71.0,0.0,682.3,NaN
2024-11-16 08:00:00,-5.62,107.02,429.9,958.4,302.0,298.4,0.1,564.8,77.0,0.0,716.4,NaN
2024-11-16 08:00:00,-5.651,106.929,942.2,904.0,304.2,295.5,0.1,561.9,73.4,0.0,713.2,NaN
2024-11-16 08:00:00,-5.761,107.054,1352.8,862.2,306.0,293.2,0.1,559.0,72.4,0.0,713.6,NaN
2024-11-16 07:00:00,-5.538,106.989,495.5,951.8,302.1,297.9,0.1,579.4,77.7,0.0,752.0,NaN
2024-11-16 07:00:00,-5.598,106.922,1023.5,896.1,304.3,294.9,0.1,575.2,74.7,0.0,748.4,NaN
2024-11-16 07:00:00,-5.728,107.076,1415.1,856.5,306.0,292.7,0.1,571.4,73.4,0.0,743.8,NaN
2024-11-16 06:00:00,-5.469,106.961,561.9,945.0,302.2,297.3,0.1,592.9,78.8,0.0,786.6,NaN
2024-11-16 06:00:00,-5.549,106.929,1099.4,888.7,304.4,294.3,0.1,588.1,75.7,0.0,784.4,NaN
2024-11-16 06:00:00,-5.692,107.108,1475.5,850.8,306.1,292.3,0.2,581.7,74.0,0.0,771.8,NaN
2024-11-16 05:00:00,-5.417,106.94,627.1,938.7,302.3,296.9,0.2,529.4,78.4,0.0,726.7,NaN
2024-11-16 05:00:00,-5.506,106.946,1169.2,882.2,304.6,293.9,0.2,531.9,75.7,0.0,726.4,NaN
2024-11-16 05:00:00,-5.658,107.148,1535.5,845.6,306.3,291.9,0.3,530.3,74.4,0.0,708.4,NaN
2024-11-16 04:00:00,-5.382,106.932,691.5,932.7,302.6,296.6,0.2,462.5,77.3,0.0,666.4,NaN
2024-11-16 04:00:00,-5.472,106.972,1234.6,876.2,304.8,293.5,0.2,470.2,75.6,0.0,668.8,NaN
2024-11-16 04:00:00,-5.633,107.193,1596.5,840.2,306.5,291.6,0.3,473.9,74.7,0.0,643.1,NaN
