DATETIME,LATITUDE,LONGITUDE,HEIGHT,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,Location_Name
10/1/2023 7:00,-6.195,106.824,100.00 ,987.20 ,299.20 ,298.00 ,0.00 ,315.20 ,79.40 ,126.90 ,24.6,"Central Jakarta, Java"
10/1/2023 2:00,-6.286,107.153,128.20 ,972.00 ,299.60 ,297.10 ,0.00 ,145.90 ,73.10 ,226.30 ,0,"Pasirgombong, West Java"
9/30/2023 21:00,-6.287,107.172,178.40 ,967.50 ,300.70 ,297.80 ,0.00 ,163.00 ,67.40 ,227.00 ,128.8,"Simpangan, West Java"
9/30/2023 16:00,-5.937,107.15,188.30 ,987.90 ,300.50 ,299.50 ,0.00 ,413.60 ,60.10 ,0.00 ,701.8,"Unknown Area, West Java"
9/30/2023 11:00,-5.688,107.475,450.20 ,962.50 ,300.50 ,297.30 ,0.00 ,475.20 ,69.80 ,0.00 ,698,"Unknown Area, West Java"
9/30/2023 6:00,-6.258,108.087,774.60 ,908.00 ,301.90 ,293.60 ,0.00 ,394.60 ,60.10 ,188.80 ,22.6,"Unknown Area, West Java"
9/30/2023 1:00,-6.807,108.424,1098.80 ,853.10 ,304.70 ,291.10 ,0.00 ,226.90 ,52.10 ,397.50 ,0,"Pasawahan, Java"
9/29/2023 20:00,-7.231,108.674,1078.60 ,871.60 ,304.30 ,292.50 ,0.10 ,91.80 ,68.20 ,243.80 ,226.3,"Palugon, Central Java"
9/29/2023 15:00,-7.87,109.382,434.50 ,960.50 ,299.60 ,296.10 ,0.00 ,616.90 ,73.70 ,21.00 ,726,"Unknown Area, Central Java"
9/29/2023 10:00,-8.569,110.622,449.20 ,954.30 ,300.30 ,296.30 ,0.00 ,912.70 ,70.90 ,92.10 ,693.3,Ocean/Remote
