DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2023-10-01 00:00:00,-6.195,106.824,100.0,987.2,299.2,298.0,0.0,315.2,79.4,126.9,24.6,
2023-09-30 23:00:00,-6.22,106.912,109.3,982.3,299.2,297.7,0.0,263.5,78.1,158.9,16.7,
2023-09-30 22:00:00,-6.237,106.992,115.6,978.1,299.3,297.4,0.0,207.2,76.3,186.0,8.4,
2023-09-30 21:00:00,-6.251,107.062,119.2,975.8,299.2,297.1,0.0,165.3,74.5,198.4,0.0,
2023-09-30 20:00:00,-6.267,107.118,122.9,974.1,299.4,297.1,0.0,157.2,73.7,211.7,0.0,
2023-09-30 19:00:00,-6.286,107.153,128.2,972.0,299.6,297.1,0.0,145.9,73.1,226.3,0.0,
2023-09-30 18:00:00,-6.303,107.169,134.2,969.9,299.9,297.2,0.0,132.0,72.5,239.5,0.0,
2023-09-30 17:00:00,-6.313,107.174,142.2,968.7,300.1,297.3,0.0,131.9,71.3,247.8,0.0,
2023-09-30 16:00:00,-6.314,107.177,153.7,967.8,300.4,297.5,0.0,132.8,69.9,248.6,0.0,
2023-09-30 15:00:00,-6.305,107.176,168.1,967.5,300.6,297.7,0.0,135.0,68.4,241.3,0.0,
2023-09-30 14:00:00,-6.287,107.172,178.4,967.5,300.7,297.8,0.0,163.0,67.4,227.0,128.8,
2023-09-30 13:00:00,-6.261,107.165,178.9,969.3,300.7,298.0,0.0,194.2,66.7,206.2,258.1,
2023-09-30 12:00:00,-6.225,107.153,172.0,972.7,300.7,298.2,0.0,230.3,65.9,177.9,388.2,
2023-09-30 11:00:00,-6.169,107.144,166.2,977.4,301.0,299.0,0.0,345.1,62.8,134.0,488.7,
2023-09-30 10:00:00,-6.077,107.142,170.2,984.1,300.9,299.5,0.0,406.0,60.7,61.1,594.0,
2023-09-30 09:00:00,-5.937,107.15,188.3,987.9,300.5,299.5,0.0,413.6,60.1,0.0,701.8,
2023-09-30 08:00:00,-5.801,107.177,220.9,985.0,300.4,299.1,0.0,407.7,63.1,0.0,738.0,
2023-09-30 07:00:00,-5.711,107.224,267.0,980.5,300.4,298.7,0.0,416.5,65.4,0.0,773.6,
2023-09-30 06:00:00,-5.667,107.291,326.6,974.4,300.5,298.3,0.0,427.0,67.1,0.0,810.1,
2023-09-30 05:00:00,-5.661,107.376,391.1,968.1,300.5,297.8,0.0,458.4,68.5,0.0,753.5,
2023-09-30 04:00:00,-5.688,107.475,450.2,962.5,300.5,297.3,0.0,475.2,69.8,0.0,698.0,
2023-09-30 03:00:00,-5.748,107.587,512.5,956.6,300.4,296.6,0.0,474.6,71.1,0.0,644.0,
2023-09-30 02:00:00,-5.84,107.708,585.1,948.5,300.6,296.1,0.0,425.0,69.2,0.0,442.8,
