DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS,Location_Name,LandCover_Class,LandCover_Color
2024-06-18 00:00:00,-6.357,106.804,100.0,974.5,300.0,297.8,0.2,191.5,86.0,227.0,8.0,,"South Jakarta, Java",Unknown/No Data,Unknown
2024-06-17 19:00:00,-6.608,107.083,158.9,940.1,301.1,295.8,0.3,137.2,89.9,481.1,0.0,,"Bogor, West Java",Unknown/No Data,Unknown
2024-06-17 14:00:00,-6.726,107.269,100.4,936.9,301.6,295.9,0.2,159.5,88.8,574.2,96.3,,"Mande, West Java",Unknown/No Data,Unknown
2024-06-17 09:00:00,-6.677,107.411,9.5,948.1,304.3,299.7,0.1,549.1,69.1,535.5,534.1,,"Depok, West Java",Unknown/No Data,Unknown
2024-06-17 04:00:00,-6.533,107.587,0.0,962.8,306.5,303.1,0.0,861.2,64.4,422.0,535.6,,"Banggalamulya, Java",Unknown/No Data,Unknown
2024-06-16 23:00:00,-6.728,107.802,6.4,946.1,299.8,295.0,0.0,168.6,86.9,576.2,5.3,,"Kawungluwuk, Java",Unknown/No Data,Unknown
2024-06-16 18:00:00,-7.038,107.869,60.3,920.7,299.7,292.7,0.0,89.0,90.9,761.0,0.0,,"Bojong, Java",Unknown/No Data,Unknown
2024-06-16 13:00:00,-7.317,108.14,160.5,941.1,301.4,296.2,0.1,366.0,80.4,473.4,214.9,,"Tawangbanteng, Java",Unknown/No Data,Unknown
2024-06-16 08:00:00,-7.549,108.716,32.8,991.3,303.4,302.6,0.0,1007.6,61.4,129.8,485.0,,"Paledah, Java",Unknown/No Data,Unknown
2024-06-16 03:00:00,-7.849,109.113,20.6,1008.0,301.6,302.3,0.0,731.4,69.6,16.5,254.4,,"Unknown Area, Central Java",Unknown/No Data,Unknown
