DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2024-06-18 00:00:00,-6.357,106.804,1000.0,879.1,303.8,292.7,0.2,191.5,80.7,227.0,8.0,
2024-06-17 23:00:00,-6.381,106.923,1006.2,873.1,304.2,292.5,0.1,164.0,77.5,278.1,5.3,
2024-06-17 22:00:00,-6.397,107.034,1014.2,868.4,304.5,292.4,0.1,154.5,74.6,314.5,2.7,
2024-06-17 21:00:00,-6.409,107.138,1022.0,866.4,304.7,292.3,0.1,169.6,73.3,323.9,0.0,
2024-06-17 20:00:00,-6.416,107.241,1027.7,865.7,304.7,292.3,0.2,209.9,76.3,329.1,0.0,
2024-06-17 19:00:00,-6.415,107.349,1030.6,865.7,304.6,292.2,0.2,264.9,78.1,328.6,0.0,
2024-06-17 18:00:00,-6.408,107.46,1025.6,867.1,304.5,292.3,0.2,336.4,78.9,323.1,0.0,
2024-06-17 17:00:00,-6.401,107.573,1012.1,869.3,304.6,292.6,0.1,363.0,77.3,317.6,0.0,
2024-06-17 16:00:00,-6.4,107.689,994.3,871.5,304.8,292.9,0.1,381.0,75.0,316.2,0.0,
2024-06-17 15:00:00,-6.402,107.809,975.4,873.5,305.0,293.3,0.0,390.8,72.1,317.8,0.0,
2024-06-17 14:00:00,-6.409,107.93,941.3,876.0,305.1,293.7,0.1,406.0,70.9,323.4,109.7,
2024-06-17 13:00:00,-6.423,108.049,878.9,882.4,304.9,294.1,0.1,393.5,71.6,319.8,220.7,
2024-06-17 12:00:00,-6.44,108.166,799.0,892.7,304.5,294.7,0.1,360.6,73.3,296.7,330.4,
2024-06-17 11:00:00,-6.45,108.276,739.6,901.1,304.1,295.1,0.0,470.9,75.3,269.0,415.1,
2024-06-17 10:00:00,-6.452,108.376,725.2,905.2,303.9,295.3,0.0,595.2,75.9,238.0,499.1,
2024-06-17 09:00:00,-6.446,108.466,746.0,905.7,303.8,295.3,0.0,724.7,76.1,206.5,582.4,
2024-06-17 08:00:00,-6.442,108.552,787.6,904.4,303.8,295.1,0.0,830.4,75.7,177.8,604.3,
2024-06-17 07:00:00,-6.444,108.64,839.7,901.7,303.7,294.8,0.0,940.0,75.8,151.4,626.8,
2024-06-17 06:00:00,-6.45,108.727,910.4,896.9,303.7,294.4,0.0,1054.6,76.5,125.9,650.0,
2024-06-17 05:00:00,-6.464,108.82,993.9,891.5,303.6,293.7,0.0,998.6,78.2,99.3,594.1,
2024-06-17 04:00:00,-6.489,108.926,1076.7,886.7,303.5,293.2,0.0,945.6,79.9,68.1,538.8,
2024-06-17 03:00:00,-6.52,109.045,1152.8,881.2,303.5,292.7,0.0,879.3,81.4,50.0,485.1,
2024-06-17 02:00:00,-6.552,109.17,1204.6,874.2,303.8,292.3,0.1,717.8,80.5,66.2,330.5,
2024-06-17 01:00:00,-6.58,109.288,1225.0,870.5,303.8,292.0,0.1,552.6,81.1,82.8,174.1,
2024-06-17 00:00:00,-6.606,109.397,1219.2,869.4,303.7,291.8,0.1,384.4,82.3,99.1,16.0,
2024-06-16 23:00:00,-6.634,109.5,1205.9,868.7,303.8,291.8,0.1,363.5,82.3,116.2,10.7,
2024-06-16 22:00:00,-6.668,109.6,1202.6,866.7,303.9,291.7,0.1,340.0,82.1,135.3,5.3,
2024-06-16 21:00:00,-6.707,109.696,1210.0,863.4,304.1,291.6,0.1,312.6,81.8,156.3,0.0,
2024-06-16 20:00:00,-6.749,109.786,1222.2,860.3,304.2,291.4,0.1,286.8,82.1,178.4,0.0,
2024-06-16 19:00:00,-6.787,109.874,1232.3,857.3,304.3,291.2,0.2,255.2,83.1,201.0,0.0,
2024-06-16 18:00:00,-6.823,109.961,1238.1,854.7,304.3,291.0,0.2,219.9,85.1,223.9,0.0,
2024-06-16 17:00:00,-6.859,110.047,1243.2,853.5,304.6,291.1,0.0,183.5,84.8,232.2,0.0,
