DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS
2024-11-17 00:00:00,-6.207,106.753,500.0,939.4,302.1,296.7,0.2,291.0,80.5,123.6,26.1,
2024-11-16 23:00:00,-6.214,106.767,507.5,937.4,302.1,296.6,0.2,265.6,81.0,130.1,17.5,
2024-11-16 22:00:00,-6.213,106.773,505.9,937.0,302.1,296.5,0.2,241.6,81.6,130.3,8.8,
2024-11-16 21:00:00,-6.204,106.77,494.6,938.3,302.0,296.5,0.2,219.2,82.3,124.3,0.0,
2024-11-16 20:00:00,-6.192,106.767,481.5,940.7,302.0,296.7,0.8,225.6,82.2,116.6,0.0,
2024-11-16 19:00:00,-6.181,106.775,476.2,942.0,302.0,296.9,0.8,232.4,82.1,111.3,0.0,
2024-11-16 18:00:00,-6.172,106.793,479.5,942.3,302.1,296.9,0.8,240.8,82.0,107.8,0.0,
2024-11-16 17:00:00,-6.159,106.819,491.5,942.2,302.1,297.0,0.5,273.8,81.6,103.1,0.0,
2024-11-16 16:00:00,-6.14,106.849,512.6,941.6,302.2,297.0,0.5,312.7,81.2,94.0,0.0,
2024-11-16 15:00:00,-6.114,106.883,544.8,940.3,302.3,297.0,0.5,359.2,80.6,79.4,0.0,
2024-11-16 14:00:00,-6.076,106.907,577.4,939.0,302.3,296.9,0.1,421.8,80.3,54.4,123.9,
2024-11-16 13:00:00,-6.022,106.907,594.7,940.7,302.3,297.1,0.0,488.4,79.6,15.8,251.4,
2024-11-16 12:00:00,-5.953,106.884,598.2,941.4,302.4,297.2,0.0,540.8,79.1,0.0,378.1,
2024-11-16 11:00:00,-5.879,106.851,612.5,939.3,302.6,297.2,0.2,536.8,77.6,0.0,473.7,
2024-11-16 10:00:00,-5.81,106.813,655.8,934.2,302.9,297.1,0.2,541.5,76.2,0.0,568.9,
2024-11-16 09:00:00,-5.749,106.772,723.7,926.5,303.3,296.8,0.2,553.7,75.1,0.0,663.7,
2024-11-16 08:00:00,-5.696,106.736,804.2,918.5,303.6,296.3,0.1,566.6,75.9,0.0,700.8,
2024-11-16 07:00:00,-5.649,106.715,888.5,910.1,303.8,295.7,0.1,576.5,76.8,0.0,738.7,
2024-11-16 06:00:00,-5.603,106.706,976.2,901.4,304.0,295.1,0.1,584.1,77.6,0.0,776.3,
2024-11-16 05:00:00,-5.565,106.709,1058.3,893.6,304.2,294.5,0.2,535.1,77.4,0.0,715.3,
2024-11-16 04:00:00,-5.538,106.72,1128.0,887.1,304.4,294.1,0.2,484.2,77.2,0.0,654.4,
2024-11-16 03:00:00,-5.52,106.736,1187.2,881.7,304.5,293.8,0.2,431.7,77.0,0.0,594.0,
2024-11-16 02:00:00,-5.508,106.756,1232.8,877.0,304.7,293.5,0.2,392.8,77.0,0.0,404.5,
2024-11-16 01:00:00,-5.504,106.778,1261.7,873.9,304.8,293.3,0.2,357.8,77.3,0.0,214.3,
2024-11-16 00:00:00,-5.505,106.802,1273.3,872.7,304.9,293.2,0.2,326.5,77.7,0.0,23.1,
2024-11-15 23:00:00,-5.519,106.819,1274.4,872.0,304.9,293.2,0.1,348.3,78.5,0.0,15.5,
2024-11-15 22:00:00,-5.553,106.823,1273.9,871.4,304.9,293.1,0.1,372.9,79.5,0.0,7.8,
2024-11-15 21:00:00,-5.606,106.811,1275.2,870.7,304.9,293.0,0.1,399.0,80.7,0.0,0.0,
2024-11-15 20:00:00,-5.669,106.789,1265.1,871.8,304.8,293.1,0.6,332.3,81.4,0.0,0.0,
2024-11-15 19:00:00,-5.733,106.763,1226.9,875.8,304.6,293.3,0.6,251.6,82.0,0.0,0.0,
2024-11-15 18:00:00,-5.798,106.73,1160.9,882.6,304.3,293.6,0.7,159.0,82.5,0.0,0.0,
2024-11-15 17:00:00,-5.866,106.692,1093.0,890.3,304.0,294.1,0.1,236.6,83.8,0.0,0.0,
2024-11-15 16:00:00,-5.935,106.649,1051.0,895.3,303.8,294.3,0.2,319.2,85.6,0.0,0.0,
2024-11-15 15:00:00,-6.007,106.598,1038.7,896.9,303.6,294.3,0.2,402.7,87.7,3.1,0.0,
2024-11-15 14:00:00,-6.069,106.554,1040.6,893.6,303.8,294.2,0.7,391.3,85.2,30.1,117.3,
