DATETIME,LATITUDE,LONGITUDE,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,WIND_U_MS,WIND_V_MS,Location_Name
2024-11-17 00:00:00,-6.154,106.911,100.0,984.5,301.1,299.7,0.2,277.5,77.1,110.7,25.9,,"North Jakarta, Java"
2024-11-16 19:00:00,-6.259,107.002,135.9,968.9,301.3,298.5,0.7,235.7,81.0,205.2,0.0,,"Bekasi, West Java"
2024-11-16 14:00:00,-6.165,107.154,276.9,963.4,301.8,298.6,0.3,409.4,79.7,130.9,121.9,,"Sukawijaya, West Java"
2024-11-16 09:00:00,-5.716,107.057,371.2,964.3,302.0,298.9,0.1,553.2,76.5,0.0,682.0,,"Unknown Area, West Java"
2024-11-16 04:00:00,-5.382,106.932,691.5,932.7,302.6,296.6,0.2,462.5,77.3,0.0,666.4,,"Unknown Area, West Java"
2024-11-15 23:00:00,-5.363,106.956,798.9,921.1,302.9,295.8,0.1,337.9,77.1,0.0,14.7,,"Unknown Area, West Java"
2024-11-15 18:00:00,-5.59,106.806,709.5,929.6,302.5,296.2,0.5,205.9,80.3,0.0,0.0,,"Special Capital Region of Jakarta, Java"
2024-11-15 13:00:00,-5.733,106.68,525.9,950.4,301.8,297.4,0.5,425.9,80.9,0.0,216.5,,"Special Capital Region of Jakarta, Java"
2024-11-15 08:00:00,-5.502,106.909,730.9,927.3,302.3,295.9,0.0,607.5,80.7,0.0,586.9,,"Unknown Area, West Java"
2024-11-15 03:00:00,-5.385,107.406,843.0,918.2,302.2,294.9,0.2,726.9,82.7,0.0,567.7,,"Unknown Area, West Java"
