DATETIME,LATITUDE,LONGITUDE,HEIGHT,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,Location_Name
11/15/2024 10:00,-5.385,107.406,843,918.2,302.2,294.9,0.2,726.9,82.7,0,567.7,"Unknown Area, West Java"
11/15/2024 15:00,-5.502,106.909,730.9,927.3,302.3,295.9,0,607.5,80.7,0,586.9,"Unknown Area, West Java"
11/15/2024 20:00,-5.733,106.68,525.9,950.4,301.8,297.4,0.5,425.9,80.9,0,216.5,"Special Capital Region of Jakarta, Java"
11/16/2024 1:00,-5.59,106.806,709.5,929.6,302.5,296.2,0.5,205.9,80.3,0,0,"Special Capital Region of Jakarta, Java"
11/16/2024 6:00,-5.363,106.956,798.9,921.1,302.9,295.8,0.1,337.9,77.1,0,14.7,"Unknown Area, West Java"
11/16/2024 11:00,-5.382,106.932,691.5,932.7,302.6,296.6,0.2,462.5,77.3,0,666.4,"Unknown Area, West Java"
11/16/2024 16:00,-5.716,107.057,371.2,964.3,302,298.9,0.1,553.2,76.5,0,682,"Unknown Area, West Java"
11/16/2024 21:00,-6.165,107.154,276.9,963.4,301.8,298.6,0.3,409.4,79.7,130.9,121.9,"Sukawijaya, West Java"
11/17/2024 2:00,-6.259,107.002,135.9,968.9,301.3,298.5,0.7,235.7,81,205.2,0,"Bekasi, West Java"
11/17/2024 7:00,-6.154,106.911,100,984.5,301.1,299.7,0.2,277.5,77.1,110.7,25.9,"North Jakarta, Java"
