DATETIME,LATITUDE,LONGITUDE,HEIGHT,PRESSURE_MB,THETA_K,AIR_TEMP_K,RAINFALL_MM,MIXDEPTH_M,RELHUMID_PERCENT,TERR_MSL_M,SUN_FLUX,Location_Name
9/26/2023 10:00,-10.425,112.597,402.5,968.7,298.1,295.4,0,879.5,84.2,0,658.9,Ocean/Remote
9/26/2023 15:00,-9.708,111.69,380.4,968.2,298.4,295.6,0,902.3,84.3,0,714.9,Ocean/Remote
9/26/2023 20:00,-8.573,110.631,312.4,967,298.3,295.5,0,476.6,80.4,92.6,253.5,Ocean/Remote
9/27/2023 1:00,-7.767,109.475,565.4,943.8,298.9,294,0.1,351.9,80.4,41.7,0,"Karangbolong, Central Java"
9/27/2023 6:00,-7.083,108.83,247.3,963.4,298.2,295,0,307.1,73.8,189.7,22.6,"Blandongan, Central Java"
9/27/2023 11:00,-6.624,108.717,0,991.6,309.4,308.5,0,1545.5,48,178.9,726.4,"Unknown Area, West Java"
9/27/2023 16:00,-6.805,108.106,51.7,940.1,308.6,303.2,0,1520,40.4,576.8,726.8,"Cipeles, Java"
9/27/2023 21:00,-6.789,107.665,410.5,899.3,302.1,293,0,221.2,76.8,624.5,127,"Cikole, Java"
9/28/2023 2:00,-6.467,107.23,191.9,948.8,299.4,294.9,0,268.5,81.4,369.6,0,"Desa Ciptasari, West Java"
9/28/2023 7:00,-6.289,106.909,100,978.2,299.5,297.5,0,226.3,75.4,207.9,24,"East Jakarta, Java"
