ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,28.3,23.8,77.8,0.502,21.8,0.34559998
,2022-01-02,27.9,23.7,79.2,0.009,23.2,
,2022-01-03,28.4,22.5,72.3,0.0,20.0,0.24159999
,2022-01-04,28.0,23.1,75.7,0.0,15.1,
,2022-01-05,28.3,23.8,78.1,16.889,14.2,0.168
,2022-01-06,27.3,24.8,87.2,8.459,16.6,
,2022-01-07,27.7,23.5,79.8,1.258,23.7,0.096
,2022-01-08,28.1,24.0,80.0,0.051,21.4,0.106199995
,2022-01-09,28.4,24.1,78.3,0.177,17.8,
,2022-01-10,27.7,24.5,83.4,8.84,19.3,
,2022-01-11,26.3,24.3,89.7,51.69,14.8,
52.75,2022-01-12,26.2,24.1,88.8,17.026,20.6,
54.666666666666664,2022-01-13,26.9,24.1,85.6,5.949,24.1,
60.916666666666664,2022-01-14,26.7,24.3,87.3,14.183,19.0,
68.83333333333333,2022-01-15,26.7,24.3,87.2,5.342,16.6,
,2022-01-16,26.9,25.2,90.3,6.368,11.6,
93.0,2022-01-17,27.7,24.7,84.6,9.578,18.4,
62.13333333333333,2022-01-18,25.9,24.6,92.5,92.373,18.4,
57.5,2022-01-19,26.9,24.0,85.1,48.866,27.7,
58.68421052631579,2022-01-20,25.6,23.3,87.2,8.048,14.2,
53.84615384615385,2022-01-21,27.0,23.7,82.8,2.127,14.8,0.117199995
68.3076923076923,2022-01-22,27.0,24.1,85.0,15.391,16.6,
73.4375,2022-01-23,28.7,23.9,76.3,0.0,17.3,0.156
73.22222222222223,2022-01-24,28.8,23.5,74.6,0.0,28.4,0.251
56.285714285714285,2022-01-25,28.3,24.2,78.8,2.25,26.2,0.3822
54.083333333333336,2022-01-26,27.0,24.6,87.2,1.665,13.0,
75.25,2022-01-27,28.0,24.0,80.1,0.405,19.6,0.9702
82.17647058823529,2022-01-28,27.1,23.9,83.6,6.057,15.7,0.0075999997
87.10526315789474,2022-01-29,27.6,23.9,81.2,0.0,14.8,
108.47368421052632,2022-01-30,27.7,23.9,80.4,0.147,13.9,
97.0,2022-01-31,28.2,23.7,77.3,5.491,16.6,0.7468
88.41666666666667,2022-02-01,27.9,24.3,81.8,2.409,15.7,0.6382
93.22222222222223,2022-02-02,27.4,24.0,82.3,7.327,22.3,
83.0,2022-02-03,28.4,24.2,79.1,2.295,15.1,0.37539998
74.95,2022-02-04,26.6,24.1,87.0,58.9,15.4,0.5166
58.80952380952381,2022-02-05,26.1,24.2,89.6,34.161,20.5,
10.842105263157896,2022-02-06,27.2,23.9,82.9,5.534,21.1,
58.31578947368421,2022-02-07,27.5,24.3,83.9,10.668,18.1,
71.5,2022-02-08,26.2,24.8,92.4,38.448,10.6,
89.0,2022-02-09,27.1,23.9,83.3,9.139,37.1,
35.714285714285715,2022-02-10,26.8,23.2,81.3,0.788,22.3,
74.4,2022-02-11,27.3,23.8,81.8,0.153,18.4,1.1776
69.3157894736842,2022-02-12,27.6,24.5,83.5,0.035,11.8,
94.57142857142857,2022-02-13,26.8,24.2,85.9,0.395,16.6,
88.38888888888889,2022-02-14,26.2,23.5,86.0,13.043,18.1,
108.76470588235294,2022-02-15,27.3,23.8,82.7,8.338,13.7,
72.6,2022-02-16,27.9,23.9,80.5,25.751,33.5,0.1174
67.21428571428571,2022-02-17,27.1,24.0,84.2,2.535,14.5,0.4604
,2022-02-18,26.9,24.4,86.8,5.406,11.4,
,2022-02-19,27.0,24.3,85.9,1.016,18.4,
,2022-02-20,27.3,24.7,86.3,2.797,13.0,
,2022-02-21,28.0,23.4,77.4,1.041,17.8,
,2022-02-22,28.5,23.6,75.9,4.097,19.0,0.0924
61.4,2022-02-23,27.8,23.1,76.9,7.932,29.5,1.189
6.764705882352941,2022-02-24,27.5,21.9,73.8,5.983,30.1,
50.5,2022-02-25,26.5,22.8,80.8,5.273,21.7,
54.85,2022-02-26,26.4,23.3,83.6,5.213,30.7,
43.0,2022-02-27,26.8,23.6,83.3,5.617,27.7,0.0682
30.142857142857142,2022-02-28,27.2,23.9,83.0,4.798,20.5,
26.4,2022-03-01,25.6,23.8,90.0,17.231,24.1,
27.31578947368421,2022-03-02,27.1,24.0,83.9,10.782,26.3,0.3818
32.95,2022-03-03,28.0,23.7,78.5,0.627,27.7,0.28599998
49.476190476190474,2022-03-04,27.8,23.8,80.3,3.675,16.6,
59.578947368421055,2022-03-05,27.0,23.7,83.0,14.647,23.1,1.0432
41.38095238095238,2022-03-06,27.2,23.7,81.8,3.253,28.7,
45.611111111111114,2022-03-07,28.2,23.0,74.5,0.104,24.1,0.2254
63.25,2022-03-08,27.5,24.1,82.6,1.93,20.5,
63.21052631578947,2022-03-09,27.2,24.4,85.2,0.372,18.3,0.472
80.47368421052632,2022-03-10,27.7,24.2,82.5,7.261,22.0,1.1711999
81.65,2022-03-11,27.7,24.6,83.8,9.353,23.2,0.3574
64.3157894736842,2022-03-12,26.9,24.8,88.6,20.184,16.6,0.1936
58.714285714285715,2022-03-13,27.6,24.7,85.5,11.046,15.4,0.12719999
72.5,2022-03-14,28.4,24.8,82.1,18.031,16.6,0.1068
0.0,2022-03-15,26.4,24.5,90.0,6.513,19.3,
41.85,2022-03-16,28.1,24.0,80.4,0.809,17.8,0.2528
110.23809523809524,2022-03-17,28.3,25.2,84.2,7.192,18.4,
84.04761904761905,2022-03-18,27.9,24.8,84.2,2.295,25.0,
32.31578947368421,2022-03-19,28.8,24.1,77.0,0.0,28.7,0.2932
61.95,2022-03-20,29.0,23.1,72.0,0.0,34.3,0.2582
47.0,2022-03-21,28.6,23.3,73.9,0.053,27.7,
61.11764705882353,2022-03-22,28.4,24.0,77.6,1.207,18.4,0.31759998
42.25,2022-03-23,27.3,24.1,83.0,3.781,25.1,0.4308
0.0,2022-03-24,28.4,23.7,77.4,2.177,18.4,0.1542
52.95652173913044,2022-03-25,28.8,24.8,80.2,1.059,19.0,0.479
85.47058823529412,2022-03-26,26.1,24.4,90.7,15.908,10.0,
,2022-03-27,27.1,24.4,86.0,21.542,29.5,0.1576
53.1875,2022-03-28,27.7,24.2,82.4,25.765,15.1,0.5222
76.38095238095238,2022-03-29,28.7,24.3,78.1,0.0,13.0,1.3032
78.80952380952381,2022-03-30,28.7,23.9,76.2,0.0,11.5,
42.5,2022-03-31,28.0,24.2,80.8,1.629,14.6,0.3814
77.13636363636364,2022-04-01,28.1,24.2,79.9,1.702,13.0,
69.3,2022-04-02,27.8,24.4,83.0,7.056,17.8,0.14899999
58.625,2022-04-03,26.8,23.9,85.1,15.759,29.5,0.2534
51.59090909090909,2022-04-04,28.1,23.5,77.7,0.062,19.3,0.2672
55.142857142857146,2022-04-05,27.3,23.9,83.2,33.288,22.3,0.5148
52.52173913043478,2022-04-06,28.4,23.4,76.1,1.374,29.5,0.0444
54.22727272727273,2022-04-07,28.5,24.1,77.9,0.303,24.1,0.0968
65.89473684210526,2022-04-08,27.9,23.4,77.5,26.845,29.5,0.5862
73.35,2022-04-09,28.2,23.5,77.5,2.712,14.8,0.1502
95.4,2022-04-10,28.0,24.1,80.3,0.514,18.4,0.353
90.19047619047619,2022-04-11,28.2,24.2,79.6,15.591,18.4,0.3872
94.23809523809524,2022-04-12,27.8,24.5,83.4,10.975,24.1,
105.0,2022-04-13,28.5,24.5,79.8,0.996,14.8,0.1778
84.66666666666667,2022-04-14,28.8,24.0,76.3,0.824,20.5,0.12459999
82.4,2022-04-15,29.1,24.5,77.4,7.067,20.5,0.28759998
98.15,2022-04-16,28.9,24.1,76.3,1.807,16.6,0.4648
109.15789473684211,2022-04-17,29.0,24.9,79.3,2.908,20.5,0.5748
97.0,2022-04-18,29.1,25.2,80.3,18.068,20.5,0.398
58.89473684210526,2022-04-19,28.1,24.5,81.8,7.563,22.3,0.361
81.47368421052632,2022-04-20,28.2,24.5,81.2,2.236,27.7,0.7614
2.55,2022-04-21,26.5,24.4,88.5,9.283,16.6,
87.5,2022-04-22,26.0,24.2,90.0,10.056,16.6,0.6044
72.5,2022-04-23,28.0,24.7,82.9,1.254,16.6,0.04
90.5,2022-04-24,28.4,24.6,80.9,4.562,13.0,0.41959998
79.61904761904762,2022-04-25,28.2,24.5,81.6,18.25,25.9,0.2582
64.3,2022-04-26,28.2,24.4,81.1,2.007,22.3,0.7324
68.76190476190476,2022-04-27,27.8,24.5,82.4,11.982,31.7,
51.714285714285715,2022-04-28,27.1,24.2,85.2,4.089,22.3,
52.857142857142854,2022-04-29,28.4,24.6,81.0,0.0,22.3,0.727
68.55,2022-04-30,27.6,25.2,86.8,0.724,16.6,
92.45,2022-05-01,27.4,25.1,87.6,5.517,11.2,0.0802
84.7,2022-05-02,27.3,24.8,86.8,53.156,18.4,0.52779996
51.94444444444444,2022-05-03,27.8,24.8,85.2,7.733,20.5,0.0862
72.73684210526316,2022-05-04,28.1,24.9,83.7,0.811,25.9,0.9356
72.1,2022-05-05,28.4,25.1,83.0,0.018,27.7,0.3096
59.05,2022-05-06,29.1,25.3,81.2,0.0,24.1,0.1444
84.47619047619048,2022-05-07,28.9,24.8,79.7,0.348,16.6,0.3076
94.94444444444444,2022-05-08,29.5,25.0,77.5,0.0,20.5,0.114
66.75,2022-05-09,28.4,25.1,82.9,0.591,22.3,
69.9,2022-05-10,29.4,25.3,79.2,0.036,18.4,0.41399997
