ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,28.5,23.8,76.8,0.451,22.3,0.47219998
,2022-01-02,28.2,23.8,78.7,0.0,24.1,
,2022-01-03,28.6,22.6,72.6,0.0,18.5,0.1672
,2022-01-04,28.1,23.2,75.8,0.0,14.8,0.39299998
,2022-01-05,28.3,23.8,78.4,24.792,17.9,0.2784
,2022-01-06,27.3,24.9,88.0,9.308,16.6,
,2022-01-07,27.6,23.6,81.0,0.915,29.1,0.2452
,2022-01-08,28.2,24.1,80.0,0.072,22.3,
,2022-01-09,28.6,24.1,77.6,0.0,16.6,
,2022-01-10,27.9,24.6,83.1,10.657,18.4,
,2022-01-11,26.3,24.4,90.6,56.46,16.8,
63.25,2022-01-12,26.3,24.2,89.2,15.799,18.5,0.3788
59.416666666666664,2022-01-13,27.1,24.2,85.3,5.332,24.1,
61.166666666666664,2022-01-14,26.9,24.5,87.5,15.945,18.4,
69.16666666666667,2022-01-15,26.9,24.3,86.6,4.084,16.6,
,2022-01-16,27.0,25.2,90.4,8.99,11.0,
93.6,2022-01-17,27.9,24.7,83.8,13.371,18.4,0.2136
65.86666666666666,2022-01-18,26.0,24.6,92.5,120.516,18.4,
52.4375,2022-01-19,27.1,24.0,84.5,60.05,27.7,
56.10526315789474,2022-01-20,25.8,23.3,86.5,3.272,17.8,
49.23076923076923,2022-01-21,27.1,23.7,82.6,0.957,14.8,0.0866
70.84615384615384,2022-01-22,27.1,24.1,84.4,14.151,16.6,
66.6875,2022-01-23,29.0,23.8,75.3,0.0,16.6,0.1156
69.33333333333333,2022-01-24,28.9,23.3,73.5,0.0,27.8,0.2052
57.714285714285715,2022-01-25,28.5,24.1,77.5,3.308,27.6,0.387
54.333333333333336,2022-01-26,27.1,24.7,87.0,1.489,13.0,
73.75,2022-01-27,28.2,23.8,79.0,0.163,18.4,0.895
71.70588235294117,2022-01-28,27.2,23.7,82.7,4.444,14.8,
116.10526315789474,2022-01-29,27.8,23.9,80.4,0.0,14.8,0.2562
126.36842105263158,2022-01-30,27.9,24.0,80.0,0.068,13.0,
126.35714285714286,2022-01-31,28.5,23.7,76.0,0.0,16.6,0.2528
88.25,2022-02-01,28.0,24.3,81.4,0.082,21.8,
100.55555555555556,2022-02-02,27.6,24.0,81.7,8.624,22.3,
93.9,2022-02-03,28.7,24.2,78.2,1.692,14.8,
65.5,2022-02-04,26.7,24.1,86.7,69.661,18.2,
60.095238095238095,2022-02-05,26.3,24.2,88.8,43.553,20.5,
24.31578947368421,2022-02-06,27.4,24.0,82.5,1.666,23.6,
58.31578947368421,2022-02-07,27.6,24.3,83.7,12.338,18.3,
105.05,2022-02-08,26.2,24.9,92.7,44.592,11.1,
102.9047619047619,2022-02-09,27.4,23.9,82.3,5.609,37.1,
37.38095238095238,2022-02-10,26.9,23.2,81.0,0.155,22.3,
62.05,2022-02-11,27.3,23.9,82.4,0.224,18.4,
67.78947368421052,2022-02-12,27.7,24.6,83.6,0.0,12.9,
96.85714285714286,2022-02-13,26.9,24.3,86.2,0.135,16.6,
111.55555555555556,2022-02-14,26.3,23.6,86.1,17.056,18.3,
109.3529411764706,2022-02-15,27.3,23.7,82.7,4.789,16.3,
110.5,2022-02-16,28.0,24.0,80.5,31.224,33.5,
79.71428571428571,2022-02-17,27.2,24.0,83.9,0.658,14.7,
,2022-02-18,27.0,24.4,86.1,3.689,17.8,
,2022-02-19,27.0,24.4,86.0,1.35,18.4,
,2022-02-20,27.3,24.7,86.2,1.888,14.8,
,2022-02-21,28.1,23.4,76.8,0.633,18.3,
