valid_time,latitude,longitude,msl,number
2024-12-01,-6.3,106.7,100770.375,0
2024-12-01,-6.3,106.95,100758.83,0
2024-12-02,-6.3,106.7,100819.4,0
2024-12-02,-6.3,106.95,100810.41,0
2024-12-03,-6.3,106.7,100918.45,0
2024-12-03,-6.3,106.95,100910.836,0
2024-12-04,-6.3,106.7,100857.91,0
2024-12-04,-6.3,106.95,100853.96,0
2024-12-05,-6.3,106.7,100743.33,0
2024-12-05,-6.3,106.95,100740.74,0
2024-12-06,-6.3,106.7,100766.81,0
2024-12-06,-6.3,106.95,100767.4,0
2024-12-07,-6.3,106.7,100765.945,0
2024-12-07,-6.3,106.95,100768.92,0
2024-12-08,-6.3,106.7,100783.45,0
2024-12-08,-6.3,106.95,100784.47,0
2024-12-09,-6.3,106.7,100780.1,0
2024-12-09,-6.3,106.95,100779.53,0
2024-12-10,-6.3,106.7,100675.68,0
2024-12-10,-6.3,106.95,100664.57,0
2024-12-11,-6.3,106.7,100660.625,0
2024-12-11,-6.3,106.95,100652.48,0
2024-12-12,-6.3,106.7,100698.14,0
2024-12-12,-6.3,106.95,100691.56,0
2024-12-13,-6.3,106.7,100714.42,0
2024-12-13,-6.3,106.95,100711.14,0
2024-12-14,-6.3,106.7,100851.875,0
2024-12-14,-6.3,106.95,100846.01,0
2024-12-15,-6.3,106.7,100940.31,0
2024-12-15,-6.3,106.95,100935.11,0
2024-12-16,-6.3,106.7,100944.82,0
2024-12-16,-6.3,106.95,100944.586,0
2024-12-17,-6.3,106.7,100940.66,0
2024-12-17,-6.3,106.95,100933.914,0
2024-12-18,-6.3,106.7,100883.52,0
2024-12-18,-6.3,106.95,100873.516,0
2024-12-19,-6.3,106.7,100858.2,0
2024-12-19,-6.3,106.95,100846.78,0
2024-12-20,-6.3,106.7,100860.4,0
2024-12-20,-6.3,106.95,100853.77,0
2024-12-21,-6.3,106.7,100931.73,0
2024-12-21,-6.3,106.95,100929.58,0
2024-12-22,-6.3,106.7,100958.805,0
2024-12-22,-6.3,106.95,100964.05,0
2024-12-23,-6.3,106.7,100921.04,0
2024-12-23,-6.3,106.95,100919.78,0
2024-12-24,-6.3,106.7,100965.37,0
2024-12-24,-6.3,106.95,100960.87,0
2024-12-25,-6.3,106.7,101066.58,0
2024-12-25,-6.3,106.95,101066.11,0
2024-12-26,-6.3,106.7,101157.125,0
2024-12-26,-6.3,106.95,101154.07,0
2024-12-27,-6.3,106.7,101125.53,0
2024-12-27,-6.3,106.95,101124.26,0
2024-12-28,-6.3,106.7,101047.766,0
2024-12-28,-6.3,106.95,101042.93,0
2024-12-29,-6.3,106.7,101022.234,0
2024-12-29,-6.3,106.95,101017.33,0
2024-12-30,-6.3,106.7,101091.13,0
2024-12-30,-6.3,106.95,101076.055,0
2024-12-31,-6.3,106.7,100969.81,0
2024-12-31,-6.3,106.95,100960.91,0
