name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.2155, 106.803",1/1/2022,32.1,25,28.5,37.6,25,31.8,24,77.5,0.507,100,12.5,rain,0,0,37.1,21.6,261.3,1009.6,49.8,6.8,249.2,20.6,9,,2022-01-01T05:41:59,2022-01-01T18:10:28,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.2155, 106.803",1/2/2022,32.7,25,28.1,37.8,25,30.8,23.9,79.2,0,0,0,,0,0,30.6,22.7,263.4,1009.2,47.6,6.9,220.2,19,7,,2022-01-02T05:42:30,2022-01-02T18:10:54,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/3/2022,34.3,23.7,28.7,38.3,23.7,31.3,22.8,72.2,0,0,0,,0,0,18.4,20.7,300.6,1008.9,42.2,6.7,283.9,24.5,9,,2022-01-03T05:43:00,2022-01-03T18:11:18,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.2155, 106.803",1/4/2022,32.7,24,28.3,37.2,24,31.4,23.3,75.5,0,0,0,,0,0,18,16.2,335.7,1009.9,42.3,6.2,291.8,25.1,10,,2022-01-04T05:43:31,2022-01-04T18:11:42,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/5/2022,32.7,25,28.7,38.5,25,32.3,24.1,77.4,26.499,100,4.17,rain,0,0,19.4,12.5,340.6,1009.8,46.7,5.4,255.1,22.1,8,,2022-01-05T05:44:01,2022-01-05T18:12:06,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/6/2022,32,25,27.6,39.6,25,30.4,25,86.9,12.303,100,16.67,rain,0,0,27.4,16.6,303.5,1010.5,59.7,5.2,226.3,19.5,8,,2022-01-06T05:44:32,2022-01-06T18:12:29,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/7/2022,33.9,24.3,28,39.3,24.3,30.2,23.7,79.4,0.615,100,12.5,rain,0,0,31,17.6,246.7,1010.8,52,6.1,233.4,20.1,8,,2022-01-07T05:45:02,2022-01-07T18:12:51,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/8/2022,32,24.3,28.4,38.2,24.3,31.6,24.2,79.5,0.027,100,4.17,rain,0,0,23.8,20.9,295.3,1009.9,51.1,6,266.6,23.1,9,,2022-01-08T05:45:32,2022-01-08T18:13:12,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/9/2022,31.8,25.3,28.7,38.2,25.3,32.7,24.4,78.1,0,0,0,,0,0,30.6,25.2,282,1009.1,51.1,6.3,218.9,18.9,8,,2022-01-09T05:46:01,2022-01-09T18:13:33,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/10/2022,31.5,25.3,27.9,38.5,25.3,31.1,24.6,82.8,11.327,100,8.33,rain,0,0,30.6,19.8,293.9,1009.2,53.7,6.2,235.5,20.2,8,10,2022-01-10T05:46:30,2022-01-10T18:13:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/11/2022,31.5,24,26.6,38.5,24,28.4,24.4,88.8,59.072,100,25,rain,0,0,36.4,17.2,273.2,1011,68.3,5.5,143.7,12.4,6,10,2022-01-11T05:46:59,2022-01-11T18:14:12,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.2155, 106.803",1/12/2022,30.9,24,26.5,36.9,24,28.7,24.2,88.2,18.528,100,16.67,rain,0,0,51.8,21.7,292.6,1011,64.2,5.8,205,17.6,7,10,2022-01-12T05:47:28,2022-01-12T18:14:30,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.2155, 106.803",1/13/2022,30.7,24,27,36.5,24,30.1,24.3,85.5,2.249,100,16.67,rain,0,0,27.4,24.1,311.9,1010.9,55.1,6.3,130.6,11.3,6,30,2022-01-13T05:47:56,2022-01-13T18:14:48,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
