name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.207349, 106.753187",1/1/2022,31.7,25,28.3,38,25,31.6,24.1,79.3,0.645,100,12.5,rain,0,0,37.1,21,261.2,1009.6,49.6,7.5,249.2,20.6,9,,2022-01-01T05:42:11,2022-01-01T18:10:40,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.207349, 106.753187",1/2/2022,32.4,25,27.8,37.4,25,30.1,23.8,79.8,0,0,0,,0,0,30.6,20.9,262,1009.2,47.9,7.3,220.2,19,7,,2022-01-02T05:42:42,2022-01-02T18:11:05,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/3/2022,34.6,23.4,28.7,39.7,23.4,31.2,22.7,71.8,0,0,0,,0,0,18.4,22.5,263.4,1008.9,40,7.4,283.9,24.5,9,,2022-01-03T05:43:13,2022-01-03T18:11:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.207349, 106.753187",1/4/2022,32.4,24,28.1,37.3,24,31.1,23.3,76,0,0,0,,0,0,18,15.8,336,1009.9,40.4,6.8,291.8,25.1,10,,2022-01-04T05:43:44,2022-01-04T18:11:54,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/5/2022,32.4,25,28.7,38.5,25,32.1,24.1,77.7,20.392,100,4.17,rain,0,0,19.4,13.2,334.6,1009.8,45.1,5.7,255.1,22.1,8,,2022-01-05T05:44:14,2022-01-05T18:12:17,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/6/2022,32,25,27.6,40,25,30.6,25.1,86.8,11.033,100,16.67,rain,0,0,27.4,16.6,296.8,1010.5,58.9,5.3,226.3,19.5,8,,2022-01-06T05:44:44,2022-01-06T18:12:40,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/7/2022,33.6,24.6,28,38.8,24.6,30.5,23.8,79.4,1.613,100,12.5,rain,0,0,31,22.4,249.6,1010.8,52.4,6.5,233.4,20.1,8,,2022-01-07T05:45:14,2022-01-07T18:13:02,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/8/2022,32,24.6,28.4,38.6,24.6,31.4,24.3,79.9,0.045,100,4.17,rain,0,0,23.8,21.9,296.8,1009.9,49.3,6.3,266.6,23.1,9,,2022-01-08T05:45:44,2022-01-08T18:13:23,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/9/2022,31.5,25.6,28.6,38.6,25.6,32.5,24.6,79.6,0,0,0,,0,0,30.6,22.3,280.3,1009.1,50.8,6.9,218.9,18.9,8,,2022-01-09T05:46:14,2022-01-09T18:13:44,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",1/10/2022,31,25.4,27.6,37.7,25.4,30.3,24.6,84.1,11.141,100,8.33,rain,0,0,30.6,21.6,291.3,1009.3,52.1,6.7,235.5,20.2,8,10,2022-01-10T05:46:43,2022-01-10T18:14:04,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
