name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.1535777, 106.910887",1/1/2022,31.8,25,28.6,37.7,25,31.8,23.9,76.9,0.262,100,12.5,rain,0,0,34.9,21.8,259,1009.6,50.1,6.7,255,21,9,,2022-01-01T05:41:39,2022-01-01T18:09:56,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",1/2/2022,32.8,25,28.2,37.9,25,30.9,23.8,78.4,0,0,0,,0,0,30.2,23.1,259.3,1009.1,46.6,6.9,231,19.8,8,,2022-01-02T05:42:10,2022-01-02T18:10:21,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/3/2022,34.2,23.8,28.7,38,23.8,31.2,22.7,71.9,0,0,0,,0,0,19.1,20,330.3,1008.9,42.9,6.9,292.5,25.2,9,,2022-01-03T05:42:41,2022-01-03T18:10:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.1535777, 106.910887",1/4/2022,32.8,24,28.4,37,24,31.5,23.3,74.9,0,0,0,,0,0,19.1,15.1,349.4,1009.9,43.7,6.2,284,24.5,9,,2022-01-04T05:43:11,2022-01-04T18:11:10,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/5/2022,32.8,25,28.7,38.2,25,31.8,24,77.2,30.762,100,4.17,rain,0,0,20.2,11.8,357.4,1009.7,47.9,5.4,263.7,22.9,8,,2022-01-05T05:43:42,2022-01-05T18:11:34,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/6/2022,32,25,27.6,39.4,25,30.2,24.9,86.4,6.215,100,16.67,rain,0,0,27.4,16.6,296.5,1010.5,58.4,5.2,225.5,19.5,8,,2022-01-06T05:44:12,2022-01-06T18:11:57,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/7/2022,33.8,24.2,28,39.1,24.2,30.1,23.7,79.6,0.586,100,12.5,rain,0,0,30.6,21.9,242.9,1010.8,51.8,6.1,231.2,20,8,,2022-01-07T05:44:42,2022-01-07T18:12:19,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/8/2022,32.1,24.2,28.4,38.1,24.2,31.6,24.2,79,0.165,100,4.17,rain,0,0,24.8,21.3,294.6,1009.9,51.6,6.2,260.4,22.6,9,,2022-01-08T05:45:12,2022-01-08T18:12:40,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/9/2022,31.8,25.2,28.8,38.1,25.2,32.7,24.3,77.6,0,0,0,,0,0,30.6,17.8,275.3,1009.1,49.6,6.3,220.4,19.1,8,,2022-01-09T05:45:41,2022-01-09T18:13:01,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.1535777, 106.910887",1/10/2022,31.7,25.2,28,38.7,25.2,31.1,24.6,82.6,12.922,100,8.33,rain,0,0,32.4,19.3,290.8,1009.2,52.7,6.3,239.9,20.5,9,10,2022-01-10T05:46:10,2022-01-10T18:13:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
