name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.28889, 106.90919",1/1/2022,32,25,28.5,37.9,25,31.7,23.8,76.8,0.451,100,12.5,rain,0,0,34.9,22.3,253.8,1009.5,42.5,6.2,255,21,9,,2022-01-01T05:41:26,2022-01-01T18:10:11,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/2/2022,33,25,28.2,38.1,25,30.9,23.8,78.7,0,0,0,,0,0,30.2,24.1,248.5,1009,35,6.5,231,19.8,8,,2022-01-02T05:41:56,2022-01-02T18:10:36,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/3/2022,34.9,24,28.6,37.4,24,30.9,22.6,72.6,0,0,0,,0,0,19.1,18.5,65.1,1008.8,39.2,6.2,292.5,25.2,9,,2022-01-03T05:42:27,2022-01-03T18:11:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/4/2022,33,24,28.1,37,24,31,23.2,75.8,0,0,0,,0,0,19.1,14.8,351.9,1009.8,36.2,5.5,284,24.5,9,,2022-01-04T05:42:58,2022-01-04T18:11:24,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/5/2022,33,24.1,28.3,39.2,24.1,30.9,23.8,78.4,24.792,100,4.17,rain,0,0,20.2,17.9,15.1,1009.7,40.3,4.6,263.7,22.9,8,,2022-01-05T05:43:28,2022-01-05T18:11:48,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/6/2022,32,25,27.3,40.5,25,29.5,24.9,88,9.308,100,16.67,rain,0,0,27.4,16.6,294.3,1010.4,50.2,4.6,225.5,19.5,8,,2022-01-06T05:43:59,2022-01-06T18:12:11,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/7/2022,34,24,27.6,38.3,24,29.3,23.6,81,0.915,100,12.5,rain,0,0,30.6,29.1,220.5,1010.7,43.7,5.6,231.2,20,8,,2022-01-07T05:44:29,2022-01-07T18:12:33,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/8/2022,32.9,24,28.2,38,24,30.8,24.1,80,0.072,100,4.17,rain,0,0,24.8,22.3,293.2,1009.9,46.7,5.7,260.4,22.6,9,,2022-01-08T05:44:59,2022-01-08T18:12:54,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/9/2022,32,25,28.6,37.9,25,31.9,24.1,77.6,0,0,0,,0,0,30.6,16.6,268.2,1009.1,39.9,5.7,220.4,19.1,8,,2022-01-09T05:45:28,2022-01-09T18:13:15,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/10/2022,32,25,27.9,39.2,25,30.9,24.6,83.1,10.657,100,8.33,rain,0,0,32.4,18.4,284.1,1009,44.2,5.6,239.9,20.5,9,10,2022-01-10T05:45:57,2022-01-10T18:13:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
