name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.236658728205383, 106.79319751533286",1/1/2022,31.9,25,28.5,37.6,25,31.7,24,77.7,0.529,100,12.5,rain,0,0,37.1,21.6,260.6,1009.6,48.9,6.8,249.2,20.6,9,,2022-01-01T05:41:59,2022-01-01T18:10:33,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.236658728205383, 106.79319751533286",1/2/2022,32.8,25,28.1,37.8,25,30.7,23.8,79.2,0,0,0,,0,0,30.6,22.7,261.2,1009.2,46,6.9,220.2,19,7,,2022-01-02T05:42:30,2022-01-02T18:10:58,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/3/2022,34.2,23.8,28.7,38.3,23.8,31.1,22.7,72.2,0,0,0,,0,0,18.4,20.6,301.7,1008.9,41.5,6.7,283.9,24.5,9,,2022-01-03T05:43:00,2022-01-03T18:11:23,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.236658728205383, 106.79319751533286",1/4/2022,32.8,24,28.2,37.1,24,31.3,23.3,75.6,0,0,0,,0,0,18,15.2,339.6,1009.9,41.4,6.2,291.8,25.1,10,,2022-01-04T05:43:31,2022-01-04T18:11:47,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/5/2022,32.8,25,28.7,38.3,25,32,24,77.5,24.597,100,4.17,rain,0,0,19.4,12,344,1009.8,45.8,5.3,255.1,22.1,8,,2022-01-05T05:44:02,2022-01-05T18:12:10,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/6/2022,32,25,27.5,39.5,25,30.2,25,86.9,11.417,100,16.67,rain,0,0,27.4,16.6,299.6,1010.5,58.4,5.1,226.3,19.5,8,,2022-01-06T05:44:32,2022-01-06T18:12:33,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/7/2022,33.8,24.2,28,38.9,24.2,30.1,23.7,79.6,0.885,100,12.5,rain,0,0,31,20.5,245.9,1010.8,50.9,6.1,233.4,20.1,8,,2022-01-07T05:45:02,2022-01-07T18:12:55,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/8/2022,32,24.2,28.4,38.2,24.2,31.4,24.2,79.6,0.039,100,4.17,rain,0,0,23.8,20.9,295.8,1009.9,50.3,6,266.6,23.1,9,,2022-01-08T05:45:32,2022-01-08T18:13:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/9/2022,31.8,25.2,28.7,38.2,25.2,32.6,24.4,78.2,0,0,0,,0,0,30.6,22.8,279.2,1009.1,49.5,6.3,218.9,18.9,8,,2022-01-09T05:46:01,2022-01-09T18:13:37,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.236658728205383, 106.79319751533286",1/10/2022,31.5,25.2,27.9,38.5,25.2,30.8,24.6,83,11.234,100,8.33,rain,0,0,30.6,19.8,292.2,1009.2,52.2,6.2,235.5,20.2,8,10,2022-01-10T05:46:30,2022-01-10T18:13:57,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
