ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,28.5,24.0,77.5,0.507,21.6,0.54719996
,2022-01-02,28.1,23.9,79.2,0.0,22.7,
,2022-01-03,28.7,22.8,72.2,0.0,20.7,0.114
,2022-01-04,28.3,23.3,75.5,0.0,16.2,0.5118
,2022-01-05,28.7,24.1,77.4,26.499,12.5,0.2786
,2022-01-06,27.6,25.0,86.9,12.303,16.6,
71.11764705882354,2022-01-07,28.0,23.7,79.4,0.615,17.6,0.0528
57.54545454545455,2022-01-08,28.4,24.2,79.5,0.027,20.9,0.048
71.66666666666667,2022-01-09,28.7,24.4,78.1,0.0,25.2,
,2022-01-10,27.9,24.6,82.8,11.327,19.8,
,2022-01-11,26.6,24.4,88.8,59.072,17.2,
53.0,2022-01-12,26.5,24.2,88.2,18.528,21.7,0.421
50.54545454545455,2022-01-13,27.0,24.3,85.5,2.249,24.1,
52.642857142857146,2022-01-14,26.8,24.4,87.1,14.158,19.4,
56.09090909090909,2022-01-15,26.9,24.5,87.3,3.928,16.6,
95.35714285714286,2022-01-16,27.1,25.3,90.1,10.801,14.1,
65.88888888888889,2022-01-17,27.8,24.9,85.0,8.233,21.1,
61.1578947368421,2022-01-18,26.1,24.7,92.1,148.985,18.7,
50.10526315789474,2022-01-19,27.0,24.2,85.5,56.288,27.7,
50.13636363636363,2022-01-20,25.8,23.4,87.1,1.203,14.9,
46.25,2022-01-21,27.3,23.9,82.2,0.648,20.0,0.0632
47.04761904761905,2022-01-22,27.1,24.3,85.0,11.577,16.6,
49.4,2022-01-23,28.9,24.1,76.2,0.0,22.7,0.2622
44.666666666666664,2022-01-24,29.1,23.8,74.5,0.0,28.7,0.233
35.73913043478261,2022-01-25,28.6,24.5,79.0,4.326,25.4,
45.041666666666664,2022-01-26,27.2,24.8,87.0,1.09,13.0,
51.458333333333336,2022-01-27,28.2,24.2,80.3,0.051,20.3,0.9472
54.541666666666664,2022-01-28,27.5,24.2,83.2,4.75,16.9,0.23259999
75.29166666666667,2022-01-29,27.8,24.1,81.2,0.0,17.2,
107.95833333333333,2022-01-30,28.0,24.1,80.0,0.011,16.0,
106.125,2022-01-31,28.3,23.9,77.6,0.0,16.6,
60.11764705882353,2022-02-01,28.3,24.6,81.2,0.026,16.2,0.4852
,2022-02-02,27.6,24.1,82.5,5.79,22.3,
63.3125,2022-02-03,28.7,24.5,79.0,1.325,15.2,0.288
50.083333333333336,2022-02-04,26.9,24.3,86.9,91.594,18.5,0.555
55.541666666666664,2022-02-05,26.2,24.3,89.7,43.013,20.5,
42.25,2022-02-06,27.5,24.2,82.6,0.675,22.0,
40.458333333333336,2022-02-07,27.7,24.5,83.7,11.841,17.9,
55.083333333333336,2022-02-08,26.4,25.0,91.9,60.393,10.3,
70.70833333333333,2022-02-09,27.3,24.1,83.3,2.862,37.1,
40.5,2022-02-10,27.1,23.3,80.8,0.055,22.3,
66.375,2022-02-11,27.5,24.0,81.2,0.331,18.4,
64.625,2022-02-12,27.9,24.6,83.0,0.0,13.0,
80.4,2022-02-13,27.0,24.3,85.4,0.053,17.7,
83.79166666666667,2022-02-14,26.4,23.7,85.9,21.241,17.9,
91.35,2022-02-15,27.5,24.1,82.6,2.96,16.1,
74.75,2022-02-16,28.1,24.0,80.0,41.699,33.5,0.1584
61.5,2022-02-17,27.3,24.3,83.8,0.255,14.3,0.51519996
67.66666666666667,2022-02-18,27.2,24.7,86.6,3.041,10.6,
87.41666666666667,2022-02-19,27.3,24.5,85.5,1.989,18.4,
75.04166666666667,2022-02-20,27.6,24.8,85.2,1.309,17.4,
66.20833333333333,2022-02-21,28.2,23.6,77.3,0.117,17.5,
55.0,2022-02-22,28.8,23.8,75.9,3.04,19.4,0.0844
62.75,2022-02-23,27.8,23.5,78.3,14.192,29.5,
46.458333333333336,2022-02-24,27.7,22.1,73.7,3.302,28.3,0.03
35.95652173913044,2022-02-25,26.7,23.0,80.6,3.265,21.3,
35.583333333333336,2022-02-26,26.8,23.4,82.0,0.559,30.2,0.8998
38.916666666666664,2022-02-27,27.0,23.7,82.7,2.285,27.7,0.1072
36.375,2022-02-28,27.5,24.1,82.6,3.773,23.5,
39.416666666666664,2022-03-01,25.9,23.9,89.3,16.185,24.1,
35.75,2022-03-02,27.3,24.2,83.8,7.307,27.4,0.3646
33.791666666666664,2022-03-03,28.2,23.9,78.6,0.045,27.7,0.0056
36.0,2022-03-04,27.9,24.0,80.2,3.459,17.4,
49.166666666666664,2022-03-05,27.2,23.8,82.3,12.982,28.6,0.363
49.25,2022-03-06,27.4,23.9,81.8,0.916,29.2,0.57019997
27.541666666666668,2022-03-07,28.5,23.3,74.5,0.011,24.1,
40.791666666666664,2022-03-08,27.7,24.2,82.2,0.893,20.5,
57.833333333333336,2022-03-09,27.5,24.5,84.2,0.0,22.8,
69.71428571428571,2022-03-10,28.0,24.4,81.7,0.75,20.9,0.9608
,2022-03-11,28.0,24.7,83.3,8.218,30.4,
39.8,2022-03-12,27.2,24.9,87.6,30.201,16.6,0.617
56.708333333333336,2022-03-13,27.9,24.9,84.8,3.258,15.7,1.2888
66.125,2022-03-14,28.6,25.0,82.1,5.332,16.6,0.3362
72.04166666666667,2022-03-15,26.7,24.7,89.2,5.649,19.8,
67.875,2022-03-16,28.3,24.2,80.1,0.103,17.5,0.36879998
102.16666666666667,2022-03-17,28.7,25.4,83.1,1.401,18.4,
85.47368421052632,2022-03-18,28.2,25.0,83.1,0.0,24.6,
49.458333333333336,2022-03-19,29.0,24.2,76.2,0.0,29.2,0.1558
48.208333333333336,2022-03-20,29.3,23.3,71.1,0.0,33.8,0.2944
33.125,2022-03-21,29.0,23.5,73.2,0.0,27.7,0.2386
43.083333333333336,2022-03-22,28.6,24.1,77.1,1.657,21.1,
52.75,2022-03-23,27.5,24.3,82.7,1.206,26.5,0.2522
50.833333333333336,2022-03-24,28.6,23.9,77.2,4.149,23.3,0.515
87.20833333333333,2022-03-25,29.0,25.0,80.0,0.076,19.4,
77.19047619047619,2022-03-26,26.4,24.5,89.7,22.507,11.3,
,2022-03-27,27.4,24.5,85.5,10.552,29.5,0.2392
55.13333333333333,2022-03-28,27.9,24.4,82.5,8.205,22.8,
66.0,2022-03-29,29.0,24.5,77.7,0.0,13.0,0.99259996
90.79166666666667,2022-03-30,28.9,24.0,76.0,0.0,11.6,
111.52173913043478,2022-03-31,28.3,24.3,80.0,0.049,18.1,0.24139999
86.375,2022-04-01,28.3,24.4,79.9,3.345,14.4,
