ISPU PM2.5,datetime,temp,dew,humidity,precip,windspeed,AOD
,2022-01-01,28.5,24.0,77.7,0.529,21.6,0.47
,2022-01-02,28.1,23.8,79.2,0.0,22.7,
,2022-01-03,28.7,22.7,72.2,0.0,20.6,0.1748
,2022-01-04,28.2,23.3,75.6,0.0,15.2,
,2022-01-05,28.7,24.0,77.5,24.597,12.0,0.4364
,2022-01-06,27.5,25.0,86.9,11.417,16.6,0.5848
73.16905586106311,2022-01-07,28.0,23.7,79.6,0.885,20.5,0.1484
60.124440641019255,2022-01-08,28.4,24.2,79.6,0.039,20.9,0.075399995
77.55403901125972,2022-01-09,28.7,24.4,78.2,0.0,22.8,
62.700470184937956,2022-01-10,27.9,24.6,83.0,11.234,19.8,
57.229169603511444,2022-01-11,26.5,24.4,89.2,57.783,16.3,
56.9113880465164,2022-01-12,26.4,24.2,88.4,17.907,21.6,
54.847978959997135,2022-01-13,27.0,24.3,85.5,3.269,24.1,
57.993499917905204,2022-01-14,26.8,24.4,87.1,14.312,19.3,
61.414023898064976,2022-01-15,26.9,24.5,87.3,4.092,16.6,
86.37977300042907,2022-01-16,27.1,25.3,90.2,9.807,13.8,
77.54122126732737,2022-01-17,27.8,24.9,84.9,9.213,20.1,
66.10591993763764,2022-01-18,26.1,24.7,92.3,136.777,18.4,
55.019073573713094,2022-01-19,27.0,24.2,85.5,57.204,27.7,0.38959998
55.707083832912645,2022-01-20,25.8,23.4,87.3,2.404,14.8,
49.78662423687525,2022-01-21,27.3,23.8,82.4,0.859,17.6,0.0964
57.28197293748181,2022-01-22,27.1,24.2,85.0,13.911,16.6,0.014599999
58.47790218802414,2022-01-23,28.9,24.0,76.2,0.0,20.8,0.2276
54.46881547616792,2022-01-24,29.1,23.8,74.7,0.0,28.7,0.2298
43.69188108491028,2022-01-25,28.5,24.5,79.1,3.815,25.4,0.3908
53.44547203647803,2022-01-26,27.2,24.8,87.1,1.395,13.0,
57.10400238034966,2022-01-27,28.2,24.2,80.3,0.115,20.2,0.81079996
62.35460595067743,2022-01-28,27.4,24.1,83.4,4.862,16.2,0.426
73.56395163442424,2022-01-29,27.8,24.1,81.3,0.0,15.2,0.4702
101.74997208796975,2022-01-30,28.0,24.1,80.1,0.025,14.7,0.8606
115.66160716234542,2022-01-31,28.3,23.9,77.6,0.0,16.6,
67.06603305896206,2022-02-01,28.2,24.5,81.3,0.057,16.2,0.7032
79.34499388220567,2022-02-02,27.6,24.1,82.5,6.392,22.3,
59.04547143737065,2022-02-03,28.6,24.4,79.1,1.656,15.2,0.22659999
60.52886079378299,2022-02-04,26.8,24.3,86.9,83.28,17.3,0.471
60.02518081870296,2022-02-05,26.2,24.3,89.7,42.127,20.5,
51.21680367996555,2022-02-06,27.5,24.1,82.6,1.339,20.5,
52.10660833660202,2022-02-07,27.6,24.4,83.7,11.105,17.9,
59.10739515851565,2022-02-08,26.4,25.0,92.0,54.155,10.3,
82.07561951028107,2022-02-09,27.3,24.0,83.3,4.558,37.1,0.4244
53.61797918691301,2022-02-10,27.0,23.3,80.9,0.12,22.3,
60.75404182417649,2022-02-11,27.5,23.9,81.3,0.284,18.4,
69.24496571225443,2022-02-12,27.8,24.6,83.1,0.0,12.0,
81.13169532880575,2022-02-13,27.0,24.3,85.6,0.108,16.6,
87.63054441033601,2022-02-14,26.3,23.7,86.0,19.254,17.9,
,2022-02-15,27.5,24.0,82.6,4.071,14.6,
,2022-02-16,28.1,24.0,80.1,36.853,33.5,0.1628
,2022-02-17,27.3,24.2,83.9,0.487,14.3,0.509
,2022-02-18,27.1,24.6,86.6,3.376,10.7,
,2022-02-19,27.2,24.5,85.6,1.707,18.4,
,2022-02-20,27.5,24.8,85.5,1.775,15.7,0.4858
,2022-02-21,28.1,23.6,77.3,0.233,17.5,0.5176
,2022-02-22,28.8,23.8,75.9,3.185,19.3,0.0682
,2022-02-23,27.9,23.4,77.9,12.666,29.5,
,2022-02-24,27.7,22.1,73.8,3.646,28.5,
,2022-02-25,26.7,23.0,80.8,3.611,21.4,
38.26709178196488,2022-02-26,26.7,23.4,82.4,1.252,30.3,0.5376
46.60732176655542,2022-02-27,27.0,23.7,83.0,3.384,27.7,0.096599996
33.26483335964435,2022-02-28,27.4,24.1,82.8,3.911,21.2,
37.47633767640813,2022-03-01,25.9,23.9,89.6,16.296,24.1,
36.6600121158081,2022-03-02,27.3,24.1,83.9,8.215,27.3,0.34739998
36.76785319474938,2022-03-03,28.2,23.9,78.6,0.092,27.7,
49.43089118889237,2022-03-04,27.9,24.0,80.3,3.603,16.6,
52.87333959964291,2022-03-05,27.2,23.8,82.6,13.678,27.9,0.3674
53.636374956887266,2022-03-06,27.3,23.8,82.0,1.32,29.1,
31.92894246189948,2022-03-07,28.4,23.3,74.7,0.023,24.1,
44.39338117865583,2022-03-08,27.7,24.2,82.3,1.048,20.5,0.4648
59.947825259900874,2022-03-09,27.5,24.5,84.5,0.0,21.2,
75.82118336092701,2022-03-10,27.9,24.4,81.9,1.679,21.0,1.938
91.97465014074508,2022-03-11,27.9,24.7,83.4,8.269,27.7,0.4886
64.82196132353606,2022-03-12,27.1,24.9,87.9,26.811,16.6,0.275
55.30852788891085,2022-03-13,27.8,24.9,84.9,3.862,15.6,0.28219998
72.49758184653616,2022-03-14,28.6,25.0,82.1,7.785,16.6,0.2278
77.04355767782823,2022-03-15,26.6,24.7,89.4,5.669,19.8,
68.8479720008282,2022-03-16,28.3,24.2,80.2,0.23,17.5,0.3576
98.26967232424386,2022-03-17,28.6,25.3,83.3,2.406,18.4,1.2508
99.60598012088536,2022-03-18,28.2,24.9,83.4,0.0,24.6,
67.20168334125248,2022-03-19,29.0,24.2,76.4,0.0,29.1,1.0058
52.028082293185605,2022-03-20,29.3,23.2,71.4,0.0,33.9,0.3798
40.32737374901543,2022-03-21,28.9,23.4,73.4,0.0,27.7,0.066
40.797310438675034,2022-03-22,28.6,24.1,77.2,1.422,20.3,
58.2203180758244,2022-03-23,27.5,24.2,82.8,2.246,26.3,
50.97327440994041,2022-03-24,28.5,23.8,77.3,3.568,20.9,0.831
89.14058321857469,2022-03-25,29.0,25.0,80.0,0.159,19.3,
88.5528486230461,2022-03-26,26.4,24.6,90.0,21.497,11.1,
,2022-03-27,27.3,24.5,85.6,12.454,29.5,0.19999999
54.60516902080131,2022-03-28,27.9,24.4,82.6,11.559,20.0,
